"Plot Title: CT_740_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494740)","Salinity, ppt (LGR S/N: 20494740)","Coupler Detached (LGR S/N: 20494740)","Coupler Attached (LGR S/N: 20494740)","Host Connected (LGR S/N: 20494740)","Stopped (LGR S/N: 20494740)","End Of File (LGR S/N: 20494740)"
1,05/22/21 12:24:00 PM,0.0,24.28,0.0,0.0123,Logged,,,,
2,05/22/21 12:24:30 PM,0.0,24.28,0.0,0.0123,,,,,
3,05/22/21 12:25:00 PM,0.0,24.28,0.0,0.0123,,,,,
4,05/22/21 12:25:30 PM,0.0,24.27,0.0,0.0123,,,,,
5,05/22/21 12:26:00 PM,0.0,24.26,0.0,0.0123,,,,,
6,05/22/21 12:26:30 PM,0.0,24.26,0.0,0.0123,,,,,
7,05/22/21 12:27:00 PM,0.0,24.26,0.0,0.0123,,,,,
8,05/22/21 12:27:30 PM,0.0,24.25,0.0,0.0123,,,,,
9,05/22/21 12:28:00 PM,0.0,24.97,0.0,0.0123,,,,,
10,05/22/21 12:28:30 PM,0.0,25.59,0.0,0.0123,,,,,
11,05/22/21 12:29:00 PM,0.0,25.36,0.0,0.0123,,,,,
12,05/22/21 12:29:30 PM,0.0,25.50,0.0,0.0123,,,,,
13,05/22/21 12:30:00 PM,46142.1,29.29,56130.2,37.2867,,,,,
14,05/22/21 12:30:30 PM,46081.7,29.66,55672.3,36.9436,,,,,
15,05/22/21 12:31:00 PM,46003.3,29.72,55515.6,36.8263,,,,,
16,05/22/21 12:31:30 PM,46015.4,29.78,55468.5,36.7911,,,,,
17,05/22/21 12:32:00 PM,45931.1,29.80,55346.2,36.6996,,,,,
18,05/22/21 12:32:30 PM,45847.1,29.84,55203.9,36.5932,,,,,
19,05/22/21 12:33:00 PM,45793.2,29.85,55128.6,36.5370,,,,,
20,05/22/21 12:33:30 PM,45781.2,29.86,55104.0,36.5185,,,,,
21,05/22/21 12:34:00 PM,45823.1,29.86,55154.5,36.5563,,,,,
22,05/22/21 12:34:30 PM,45745.4,29.86,55060.8,36.4863,,,,,
23,05/22/21 12:35:00 PM,45679.7,29.84,55001.9,36.4423,,,,,
24,05/22/21 12:35:30 PM,45643.9,29.82,54979.0,36.4252,,,,,
25,05/22/21 12:36:00 PM,45620.1,29.81,54960.5,36.4113,,,,,
26,05/22/21 12:36:30 PM,45614.2,29.81,54953.3,36.4060,,,,,
27,05/22/21 12:37:00 PM,45584.4,29.79,54937.7,36.3944,,,,,
28,05/22/21 12:37:30 PM,45560.7,29.79,54909.1,36.3730,,,,,
29,05/22/21 12:38:00 PM,45584.4,29.78,54947.9,36.4020,,,,,
30,05/22/21 12:38:30 PM,45554.7,29.78,54912.0,36.3752,,,,,
31,05/22/21 12:39:00 PM,45519.1,29.78,54869.0,36.3430,,,,,
32,05/22/21 12:39:30 PM,45513.2,29.80,54841.6,36.3226,,,,,
33,05/22/21 12:40:00 PM,45477.6,29.80,54798.6,36.2905,,,,,
34,05/22/21 12:40:30 PM,45471.7,29.81,54781.3,36.2776,,,,,
