"Plot Title: CT_341_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739341, SEN S/N: 20739341)","Temp, °C (LGR S/N: 20739341, SEN S/N: 20739341)","Specific Conductance, μS/cm (LGR S/N: 20739341)","Salinity, ppt (LGR S/N: 20739341)","Coupler Detached (LGR S/N: 20739341)","Coupler Attached (LGR S/N: 20739341)","Host Connected (LGR S/N: 20739341)","Stopped (LGR S/N: 20739341)","End Of File (LGR S/N: 20739341)"
1,05/22/21 12:15:30 PM,0.0,23.68,0.0,0.0123,Logged,,,,
2,05/22/21 12:16:00 PM,0.0,23.69,0.0,0.0123,,,,,
3,05/22/21 12:16:30 PM,0.0,23.71,0.0,0.0123,,,,,
4,05/22/21 12:17:00 PM,0.0,23.72,0.0,0.0123,,,,,
5,05/22/21 12:17:30 PM,0.0,23.72,0.0,0.0123,,,,,
6,05/22/21 12:18:00 PM,0.0,23.72,0.0,0.0123,,,,,
7,05/22/21 12:18:30 PM,0.0,23.73,0.0,0.0123,,,,,
8,05/22/21 12:19:00 PM,0.0,23.73,0.0,0.0123,,,,,
9,05/22/21 12:19:30 PM,0.0,23.73,0.0,0.0123,,,,,
10,05/22/21 12:20:00 PM,0.0,23.73,0.0,0.0123,,,,,
11,05/22/21 12:20:30 PM,0.0,23.73,0.0,0.0123,,,,,
12,05/22/21 12:21:00 PM,0.0,23.72,0.0,0.0123,,,,,
13,05/22/21 12:21:30 PM,0.0,23.72,0.0,0.0123,,,,,
14,05/22/21 12:22:00 PM,0.0,23.71,0.0,0.0123,,,,,
15,05/22/21 12:22:30 PM,0.0,23.71,0.0,0.0123,,,,,
16,05/22/21 12:23:00 PM,0.0,23.69,0.0,0.0123,,,,,
17,05/22/21 12:23:30 PM,0.0,23.68,0.0,0.0123,,,,,
18,05/22/21 12:24:00 PM,0.0,23.67,0.0,0.0123,,,,,
19,05/22/21 12:24:30 PM,0.0,23.67,0.0,0.0123,,,,,
20,05/22/21 12:25:00 PM,0.0,23.64,0.0,0.0123,,,,,
21,05/22/21 12:25:30 PM,0.0,23.62,0.0,0.0123,,,,,
22,05/22/21 12:26:00 PM,0.0,23.61,0.0,0.0123,,,,,
23,05/22/21 12:26:30 PM,0.0,23.60,0.0,0.0123,,,,,
24,05/22/21 12:27:00 PM,0.0,23.58,0.0,0.0123,,,,,
25,05/22/21 12:27:30 PM,0.0,23.57,0.0,0.0123,,,,,
26,05/22/21 12:28:00 PM,0.0,24.20,0.0,0.0123,,,,,
27,05/22/21 12:28:30 PM,0.0,24.71,0.0,0.0123,,,,,
28,05/22/21 12:29:00 PM,0.0,24.78,0.0,0.0123,,,,,
29,05/22/21 12:29:30 PM,0.0,25.05,0.0,0.0123,,,,,
30,05/22/21 12:30:00 PM,49129.9,28.72,55271.3,36.6436,,,,,
31,05/22/21 12:30:30 PM,48930.0,28.89,54871.0,36.3445,,,,,
32,05/22/21 12:31:00 PM,48923.6,28.94,54812.5,36.3008,,,,,
33,05/22/21 12:31:30 PM,48827.3,28.98,54663.5,36.1897,,,,,
34,05/22/21 12:32:00 PM,48833.7,29.00,54650.3,36.1798,,,,,
35,05/22/21 12:32:30 PM,48769.7,29.03,54547.9,36.1034,,,,,
36,05/22/21 12:33:00 PM,48833.7,29.05,54599.2,36.1417,,,,,
37,05/22/21 12:33:30 PM,48737.7,29.05,54491.7,36.0615,,,,,
38,05/22/21 12:34:00 PM,48763.3,29.06,54510.2,36.0753,,,,,
39,05/22/21 12:34:30 PM,48763.3,29.06,54510.2,36.0753,,,,,
40,05/22/21 12:35:00 PM,48635.6,29.04,54387.5,35.9838,,,,,
41,05/22/21 12:35:30 PM,48661.1,29.04,54416.1,36.0051,,,,,
42,05/22/21 12:36:00 PM,48616.5,29.03,54376.3,35.9754,,,,,
43,05/22/21 12:36:30 PM,48610.2,29.03,54369.2,35.9702,,,,,
44,05/22/21 12:37:00 PM,48572.0,29.01,54346.7,35.9534,,,,,
45,05/22/21 12:37:30 PM,48597.5,29.01,54375.3,35.9747,,,,,
46,05/22/21 12:38:00 PM,48616.5,29.00,54406.7,35.9982,,,,,
47,05/22/21 12:38:30 PM,48514.9,28.99,54303.0,35.9208,,,,,
48,05/22/21 12:39:00 PM,48629.3,29.00,54421.1,36.0089,,,,,
49,05/22/21 12:39:30 PM,48565.7,29.01,54339.6,35.9481,,,,,
50,05/22/21 12:40:00 PM,48610.2,29.01,54389.5,35.9853,,,,,
51,05/22/21 12:40:30 PM,48584.7,29.03,54340.6,35.9489,,,,,
52,05/22/21 12:41:00 PM,48559.3,29.04,54302.0,35.9201,,,,,
53,05/22/21 12:41:30 PM,48559.3,29.05,54291.9,35.9125,,,,,
54,05/22/21 12:42:00 PM,48591.1,29.05,54327.5,35.9391,,,,,
55,05/22/21 12:42:30 PM,48603.8,29.06,54331.6,35.9421,,,,,
56,05/22/21 12:43:00 PM,48584.7,29.07,54300.0,35.9186,,,,,
57,05/22/21 12:43:30 PM,48572.0,29.07,54285.8,35.9080,,,,,
58,05/22/21 12:44:00 PM,48559.3,29.09,54251.3,35.8823,,,,,
59,05/22/21 12:44:30 PM,48546.6,29.07,54257.4,35.8868,,,,,
60,05/22/21 12:45:00 PM,48597.5,29.09,54294.1,35.9142,,,,,
61,05/22/21 12:45:30 PM,48546.6,29.09,54237.1,35.8717,,,,,
62,05/22/21 12:46:00 PM,48591.1,29.07,54307.2,35.9240,,,,,
63,05/22/21 12:46:30 PM,48476.8,29.06,54189.3,35.8361,,,,,
64,05/22/21 12:47:00 PM,48559.3,29.05,54291.9,35.9125,,,,,
65,05/22/21 12:47:30 PM,48540.3,29.06,54260.5,35.8891,,,,,
66,05/22/21 12:48:00 PM,48508.5,29.06,54224.8,35.8626,,,,,
67,05/22/21 12:48:30 PM,48553.0,29.06,54274.7,35.8997,,,,,
68,05/22/21 12:49:00 PM,48502.2,29.07,54207.7,35.8498,,,,,
69,05/22/21 12:49:30 PM,48483.2,29.07,54186.4,35.8339,,,,,
70,05/22/21 12:50:00 PM,48553.0,29.10,54234.2,35.8695,,,,,
71,05/22/21 12:50:30 PM,48572.0,29.10,54255.4,35.8854,,,,,
72,05/22/21 12:51:00 PM,48610.2,29.09,54308.3,35.9248,,,,,
73,05/22/21 12:51:30 PM,48591.1,29.07,54307.2,35.9240,,,,,
74,05/22/21 12:52:00 PM,48553.0,29.07,54264.5,35.8922,,,,,
75,05/22/21 12:52:30 PM,48622.9,29.10,54312.4,35.9278,,,,,
76,05/22/21 12:53:00 PM,48591.1,29.10,54276.8,35.9013,,,,,
77,05/22/21 12:53:30 PM,48476.8,29.11,54138.8,35.7985,,,,,
78,05/22/21 12:54:00 PM,48495.8,29.10,54170.2,35.8219,,,,,
79,05/22/21 12:54:30 PM,48597.5,29.11,54273.8,35.8991,,,,,
80,05/22/21 12:55:00 PM,48553.0,29.14,54193.7,35.8394,,,,,
81,05/22/21 12:55:30 PM,48502.2,29.12,54157.1,35.8121,,,,,
82,05/22/21 12:56:00 PM,48553.0,29.11,54224.0,35.8620,,,,,
83,05/22/21 12:56:30 PM,48591.1,29.10,54276.8,35.9013,,,,,
84,05/22/21 12:57:00 PM,48546.6,29.10,54227.0,35.8642,,,,,
85,05/22/21 12:57:30 PM,48457.8,29.10,54127.6,35.7902,,,,,
86,05/22/21 12:58:00 PM,48578.4,29.09,54272.7,35.8983,,,,,
87,05/22/21 12:58:30 PM,48508.5,29.07,54214.7,35.8551,,,,,
88,05/22/21 12:59:00 PM,48565.7,29.07,54278.8,35.9028,,,,,
89,05/22/21 12:59:30 PM,48483.2,29.07,54186.4,35.8339,,,,,
90,05/22/21 01:00:00 PM,48533.9,29.06,54253.3,35.8838,,,,,
91,05/22/21 01:00:30 PM,48597.5,29.06,54324.5,35.9369,,,,,
92,05/22/21 01:01:00 PM,48483.2,29.05,54206.6,35.8490,,,,,
