"Plot Title: CT_738_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494738, SEN S/N: 20494738, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494738, SEN S/N: 20494738, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494738)","Salinity, ppt (LGR S/N: 20494738)","Coupler Detached (LGR S/N: 20494738)","Coupler Attached (LGR S/N: 20494738)","Host Connected (LGR S/N: 20494738)","Stopped (LGR S/N: 20494738)","End Of File (LGR S/N: 20494738)"
1,05/22/21 12:25:30 PM,0.0,21.86,0.0,0.0123,Logged,,,,
2,05/22/21 12:26:00 PM,0.0,21.95,0.0,0.0123,,,,,
3,05/22/21 12:26:30 PM,0.0,21.97,0.0,0.0123,,,,,
4,05/22/21 12:27:00 PM,0.0,22.02,0.0,0.0123,,,,,
5,05/22/21 12:27:30 PM,0.0,22.02,0.0,0.0123,,,,,
6,05/22/21 12:28:00 PM,0.0,22.27,0.0,0.0123,,,,,
7,05/22/21 12:28:30 PM,0.0,22.93,0.0,0.0123,,,,,
8,05/22/21 12:29:00 PM,0.0,22.85,0.0,0.0123,,,,,
9,05/22/21 12:29:30 PM,0.0,23.36,0.0,0.0123,,,,,
10,05/22/21 12:30:00 PM,41802.0,27.88,56693.9,37.7098,,,,,
11,05/22/21 12:30:30 PM,41944.2,28.99,55706.7,36.9694,,,,,
12,05/22/21 12:31:00 PM,41978.4,29.23,55502.2,36.8164,,,,,
13,05/22/21 12:31:30 PM,41892.9,29.17,55451.2,36.7781,,,,,
14,05/22/21 12:32:00 PM,41830.4,29.31,55223.6,36.6080,,,,,
15,05/22/21 12:32:30 PM,41864.5,29.40,55176.0,36.5724,,,,,
16,05/22/21 12:33:00 PM,41768.0,29.43,55017.8,36.4542,,,,,
17,05/22/21 12:33:30 PM,41768.0,29.45,54997.3,36.4388,,,,,
18,05/22/21 12:34:00 PM,41819.0,29.53,54982.6,36.4278,,,,,
19,05/22/21 12:34:30 PM,41802.0,29.59,54898.8,36.3653,,,,,
20,05/22/21 12:35:00 PM,41717.0,29.50,54878.8,36.3504,,,,,
21,05/22/21 12:35:30 PM,41666.2,29.50,54811.9,36.3004,,,,,
22,05/22/21 12:36:00 PM,41638.0,29.49,54784.9,36.2803,,,,,
23,05/22/21 12:36:30 PM,41632.3,29.49,54777.4,36.2747,,,,,
24,05/22/21 12:37:00 PM,41638.0,29.49,54784.9,36.2803,,,,,
25,05/22/21 12:37:30 PM,41609.8,29.49,54747.8,36.2525,,,,,
26,05/22/21 12:38:00 PM,41626.7,29.47,54790.4,36.2844,,,,,
27,05/22/21 12:38:30 PM,41615.4,29.49,54755.1,36.2580,,,,,
28,05/22/21 12:39:00 PM,41604.2,29.49,54740.4,36.2470,,,,,
29,05/22/21 12:39:30 PM,41553.5,29.55,54612.5,36.1516,,,,,
30,05/22/21 12:40:00 PM,41581.6,29.63,54568.2,36.1186,,,,,
31,05/22/21 12:40:30 PM,41632.3,29.63,54634.9,36.1683,,,,,
32,05/22/21 12:41:00 PM,41609.8,29.67,54564.7,36.1160,,,,,
33,05/22/21 12:41:30 PM,41632.3,29.69,54574.0,36.1229,,,,,
34,05/22/21 12:42:00 PM,41604.2,29.70,54526.9,36.0878,,,,,
35,05/22/21 12:42:30 PM,41581.6,29.71,54487.1,36.0581,,,,,
36,05/22/21 12:43:00 PM,41559.1,29.71,54457.6,36.0361,,,,,
37,05/22/21 12:43:30 PM,41604.2,29.72,54506.7,36.0727,,,,,
38,05/22/21 12:44:00 PM,41638.0,29.76,54510.6,36.0756,,,,,
39,05/22/21 12:44:30 PM,41643.6,29.80,54477.5,36.0509,,,,,
40,05/22/21 12:45:00 PM,41654.9,29.85,54441.8,36.0243,,,,,
41,05/22/21 12:45:30 PM,41598.5,29.86,54357.8,35.9617,,,,,
42,05/22/21 12:46:00 PM,41576.0,29.77,54419.1,36.0074,,,,,
43,05/22/21 12:46:30 PM,41559.1,29.70,54467.7,36.0436,,,,,
44,05/22/21 12:47:00 PM,41598.5,29.67,54549.9,36.1049,,,,,
45,05/22/21 12:47:30 PM,41559.1,29.67,54498.1,36.0663,,,,,
46,05/22/21 12:48:00 PM,41587.3,29.75,54454.2,36.0335,,,,,
47,05/22/21 12:48:30 PM,41508.6,29.68,54421.6,36.0093,,,,,
48,05/22/21 12:49:00 PM,41632.3,29.73,54533.5,36.0926,,,,,
49,05/22/21 12:49:30 PM,41609.8,29.72,54514.0,36.0782,,,,,
50,05/22/21 12:50:00 PM,41609.8,29.70,54534.3,36.0933,,,,,
51,05/22/21 12:50:30 PM,41564.8,29.80,54374.2,35.9739,,,,,
52,05/22/21 12:51:00 PM,41598.5,29.87,54347.8,35.9542,,,,,
53,05/22/21 12:51:30 PM,41604.2,29.80,54425.8,36.0124,,,,,
54,05/22/21 12:52:00 PM,41531.0,29.77,54360.1,35.9634,,,,,
55,05/22/21 12:52:30 PM,41508.6,29.71,54391.3,35.9866,,,,,
56,05/22/21 12:53:00 PM,41564.8,29.76,54414.5,36.0040,,,,,
57,05/22/21 12:53:30 PM,41581.6,29.73,54466.9,36.0430,,,,,
58,05/22/21 12:54:00 PM,41587.3,29.72,54484.5,36.0561,,,,,
