"Plot Title: CT_739_CTD_Casting__052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)","Specific Conductance, μS/cm (LGR S/N: 20494739)","Salinity, ppt (LGR S/N: 20494739)","Coupler Detached (LGR S/N: 20494739)","Coupler Attached (LGR S/N: 20494739)","Host Connected (LGR S/N: 20494739)","Stopped (LGR S/N: 20494739)","End Of File (LGR S/N: 20494739)"
1,05/22/21 12:27:30 PM,0.0,21.37,0.0,0.0123,Logged,,,,
2,05/22/21 12:28:00 PM,0.0,22.09,0.0,0.0123,,,,,
3,05/22/21 12:28:30 PM,0.0,22.82,0.0,0.0123,,,,,
4,05/22/21 12:29:00 PM,0.0,23.12,0.0,0.0123,,,,,
5,05/22/21 12:29:30 PM,0.0,23.56,0.0,0.0123,,,,,
6,05/22/21 12:30:00 PM,0.0,24.13,0.0,0.0123,,,,,
7,05/22/21 12:30:30 PM,38727.4,28.36,82754.1,58.1517,,,,,
8,05/22/21 12:31:00 PM,38710.4,28.92,81848.3,57.4117,,,,,
9,05/22/21 12:31:30 PM,38731.6,29.23,81418.4,57.0612,,,,,
10,05/22/21 12:32:00 PM,38608.7,29.09,81372.8,57.0241,,,,,
11,05/22/21 12:32:30 PM,38638.3,29.27,81161.1,56.8518,,,,,
12,05/22/21 12:33:00 PM,38575.0,29.32,80952.2,56.6818,,,,,
13,05/22/21 12:33:30 PM,38613.0,29.39,80926.1,56.6606,,,,,
14,05/22/21 12:34:00 PM,38617.2,29.44,80859.4,56.6063,,,,,
15,05/22/21 12:34:30 PM,38579.2,29.56,80599.1,56.3948,,,,,
16,05/22/21 12:35:00 PM,38558.1,29.49,80660.2,56.4444,,,,,
17,05/22/21 12:35:30 PM,38494.9,29.45,80587.8,56.3856,,,,,
18,05/22/21 12:36:00 PM,38494.9,29.44,80602.9,56.3978,,,,,
19,05/22/21 12:36:30 PM,38490.7,29.48,80533.9,56.3418,,,,,
20,05/22/21 12:37:00 PM,38457.1,29.48,80463.5,56.2846,,,,,
21,05/22/21 12:37:30 PM,38469.7,29.51,80444.9,56.2695,,,,,
22,05/22/21 12:38:00 PM,38432.0,29.51,80365.9,56.2054,,,,,
23,05/22/21 12:38:30 PM,38473.9,29.53,80423.7,56.2523,,,,,
24,05/22/21 12:39:00 PM,38499.1,29.57,80416.5,56.2464,,,,,
25,05/22/21 12:39:30 PM,38415.2,29.64,80136.3,56.0191,,,,,
26,05/22/21 12:40:00 PM,38490.7,29.75,80129.9,56.0139,,,,,
27,05/22/21 12:40:30 PM,38452.9,29.80,79976.7,55.8897,,,,,
28,05/22/21 12:41:00 PM,38457.1,29.85,79911.2,55.8366,,,,,
29,05/22/21 12:41:30 PM,38457.1,29.83,79940.9,55.8606,,,,,
30,05/22/21 12:42:00 PM,38427.8,29.82,79894.7,55.8232,,,,,
31,05/22/21 12:42:30 PM,38473.9,29.86,79931.4,55.8529,,,,,
32,05/22/21 12:43:00 PM,38423.6,29.86,79826.7,55.7680,,,,,
33,05/22/21 12:43:30 PM,38436.1,29.91,79778.6,55.7291,,,,,
34,05/22/21 12:44:00 PM,38440.3,29.86,79861.4,55.7962,,,,,
35,05/22/21 12:44:30 PM,38427.8,29.86,79835.4,55.7751,,,,,
36,05/22/21 12:45:00 PM,38411.0,29.91,79726.4,55.6868,,,,,
37,05/22/21 12:45:30 PM,38411.0,29.90,79741.2,55.6988,,,,,
38,05/22/21 12:46:00 PM,38385.9,29.85,79763.0,55.7164,,,,,
39,05/22/21 12:46:30 PM,38356.6,29.78,79805.7,55.7510,,,,,
40,05/22/21 12:47:00 PM,38339.9,29.76,79800.6,55.7469,,,,,
41,05/22/21 12:47:30 PM,38331.6,29.80,79724.0,55.6848,,,,,
42,05/22/21 12:48:00 PM,38373.3,29.83,79766.4,55.7192,,,,,
43,05/22/21 12:48:30 PM,38356.6,29.82,79746.4,55.7030,,,,,
44,05/22/21 12:49:00 PM,38377.5,29.84,79760.3,55.7143,,,,,
45,05/22/21 12:49:30 PM,38348.3,29.86,79669.9,55.6410,,,,,
46,05/22/21 12:50:00 PM,38406.8,29.90,79732.5,55.6917,,,,,
47,05/22/21 12:50:30 PM,38381.7,29.96,79591.7,55.5776,,,,,
48,05/22/21 12:51:00 PM,38398.4,29.93,79670.7,55.6416,,,,,
49,05/22/21 12:51:30 PM,38381.7,29.90,79680.3,55.6494,,,,,
50,05/22/21 12:52:00 PM,38402.6,29.92,79694.2,55.6607,,,,,
51,05/22/21 12:52:30 PM,38381.7,29.92,79650.7,55.6255,,,,,
52,05/22/21 12:53:00 PM,38335.7,29.93,79540.3,55.5361,,,,,
53,05/22/21 12:53:30 PM,38356.6,29.88,79657.6,55.6311,,,,,
54,05/22/21 12:54:00 PM,38327.4,29.90,79567.3,55.5579,,,,,
55,05/22/21 12:54:30 PM,38398.4,29.92,79685.4,55.6536,,,,,
56,05/22/21 12:55:00 PM,38331.6,29.93,79531.8,55.5292,,,,,
57,05/22/21 12:55:30 PM,38402.6,29.92,79694.2,55.6607,,,,,
58,05/22/21 12:56:00 PM,38373.3,29.93,79618.5,55.5993,,,,,
59,05/22/21 12:56:30 PM,38344.1,29.90,79602.1,55.5861,,,,,
60,05/22/21 12:57:00 PM,38344.1,29.88,79631.6,55.6100,,,,,
61,05/22/21 12:57:30 PM,38327.4,29.88,79596.9,55.5818,,,,,
62,05/22/21 12:58:00 PM,38352.4,29.84,79708.1,55.6719,,,,,
63,05/22/21 12:58:30 PM,38335.7,29.80,79732.5,55.6917,,,,,
64,05/22/21 12:59:00 PM,38319.0,29.78,79727.4,55.6875,,,,,
65,05/22/21 12:59:30 PM,38294.0,29.78,79675.2,55.6453,,,,,
66,05/22/21 01:00:00 PM,38289.9,29.80,79637.1,55.6144,,,,,
67,05/22/21 01:00:30 PM,38294.0,29.82,79616.0,55.5974,,,,,
68,05/22/21 01:01:00 PM,38331.6,29.81,79709.2,55.6728,,,,,
69,05/22/21 01:01:30 PM,38327.4,29.74,79804.2,55.7498,,,,,
70,05/22/21 01:02:00 PM,38327.4,29.80,79715.2,55.6777,,,,,
71,05/22/21 01:02:30 PM,38327.4,29.78,79744.9,55.7017,,,,,
72,05/22/21 01:03:00 PM,38331.6,29.85,79650.0,55.6248,,,,,
73,05/22/21 01:03:30 PM,38314.9,29.83,79644.8,55.6206,,,,,
74,05/22/21 01:04:00 PM,38314.9,29.86,79600.4,55.5847,,,,,
75,05/22/21 01:04:30 PM,38306.5,29.80,79671.7,55.6424,,,,,
76,05/22/21 01:05:00 PM,38323.2,29.84,79647.3,55.6227,,,,,
77,05/22/21 01:05:30 PM,38348.3,29.85,79684.7,55.6530,,,,,
78,05/22/21 01:06:00 PM,38306.5,29.88,79553.4,55.5466,,,,,
79,05/22/21 01:06:30 PM,38310.7,29.90,79532.6,55.5298,,,,,
80,05/22/21 01:07:00 PM,38289.9,29.82,79607.5,55.5904,,,,,
81,05/22/21 01:07:30 PM,38327.4,29.88,79596.9,55.5818,,,,,
82,05/22/21 01:08:00 PM,38281.5,29.90,79471.9,55.4806,,,,,
83,05/22/21 01:08:30 PM,38323.2,29.86,79617.7,55.5987,,,,,
84,05/22/21 01:09:00 PM,38314.9,29.89,79556.1,55.5488,,,,,
85,05/22/21 01:09:30 PM,38327.4,29.90,79567.3,55.5579,,,,,
86,05/22/21 01:10:00 PM,38348.3,29.91,79596.0,55.5812,,,,,
87,05/22/21 01:10:30 PM,38344.1,29.90,79602.1,55.5861,,,,,
88,05/22/21 01:11:00 PM,38348.3,29.85,79684.7,55.6530,,,,,
89,05/22/21 01:11:30 PM,38306.5,29.86,79582.9,55.5706,,,,,
90,05/22/21 01:12:00 PM,38302.4,29.88,79544.9,55.5397,,,,,
91,05/22/21 01:12:30 PM,38289.9,29.90,79489.3,55.4948,,,,,
92,05/22/21 01:13:00 PM,38306.5,29.89,79538.6,55.5347,,,,,
93,05/22/21 01:13:30 PM,38310.7,29.86,79591.7,55.5776,,,,,
94,05/22/21 01:14:00 PM,38331.6,29.89,79590.8,55.5770,,,,,
95,05/22/21 01:14:30 PM,38331.6,29.91,79561.3,55.5530,,,,,
96,05/22/21 01:15:00 PM,38327.4,29.94,79508.3,55.5101,,,,,
97,05/22/21 01:15:30 PM,38369.2,29.93,79610.0,55.5924,,,,,
98,05/22/21 01:16:00 PM,38373.3,29.93,79618.5,55.5993,,,,,
99,05/22/21 01:16:30 PM,38289.9,29.94,79430.4,55.4471,,,,,
100,05/22/21 01:17:00 PM,38289.9,29.90,79489.3,55.4948,,,,,
101,05/22/21 01:17:30 PM,38310.7,29.89,79547.4,55.5418,,,,,
102,05/22/21 01:18:00 PM,38306.5,29.89,79538.6,55.5347,,,,,
103,05/22/21 01:18:30 PM,38323.2,29.93,79514.3,55.5150,,,,,
104,05/22/21 01:19:00 PM,38331.6,29.92,79546.6,55.5411,,,,,
105,05/22/21 01:19:30 PM,38360.8,29.94,79577.7,55.5663,,,,,
106,05/22/21 01:20:00 PM,38327.4,29.93,79523.1,55.5221,,,,,
107,05/22/21 01:20:30 PM,38302.4,29.91,79500.6,55.5039,,,,,
108,05/22/21 01:21:00 PM,38323.2,29.89,79573.4,55.5628,,,,,
109,05/22/21 01:21:30 PM,38306.5,29.91,79509.1,55.5108,,,,,
110,05/22/21 01:22:00 PM,38306.5,29.93,79479.6,55.4869,,,,,
111,05/22/21 01:22:30 PM,38310.7,29.88,79562.1,55.5537,,,,,
112,05/22/21 01:23:00 PM,38306.5,29.86,79582.9,55.5706,,,,,
113,05/22/21 01:23:30 PM,38298.2,29.83,79610.0,55.5925,,,,,
114,05/22/21 01:24:00 PM,38327.4,29.90,79567.3,55.5579,,,,,
115,05/22/21 01:24:30 PM,38281.5,29.93,79427.6,55.4448,,,,,
116,05/22/21 01:25:00 PM,38339.9,29.93,79549.0,55.5431,,,,,
117,05/22/21 01:25:30 PM,38344.1,29.94,79543.0,55.5382,,,,,
118,05/22/21 01:26:00 PM,38323.2,29.93,79514.3,55.5150,,,,,
119,05/22/21 01:26:30 PM,38252.4,29.91,79396.6,55.4197,,,,,
120,05/22/21 01:27:00 PM,38339.9,29.94,79534.3,55.5312,,,,,
121,05/22/21 01:27:30 PM,38306.5,29.92,79494.4,55.4988,,,,,
122,05/22/21 01:28:00 PM,38269.0,29.91,79431.1,55.4477,,,,,
123,05/22/21 01:28:30 PM,38269.0,29.91,79431.1,55.4477,,,,,
124,05/22/21 01:29:00 PM,38331.6,29.92,79546.6,55.5411,,,,,
125,05/22/21 01:29:30 PM,38339.9,29.92,79563.8,55.5551,,,,,
126,05/22/21 01:30:00 PM,38298.2,29.84,79595.2,55.5805,,,,,
127,05/22/21 01:30:30 PM,38294.0,29.91,79483.1,55.4897,,,,,
128,05/22/21 01:31:00 PM,38260.7,29.84,79517.1,55.5173,,,,,
129,05/22/21 01:31:30 PM,38281.5,29.89,79486.6,55.4926,,,,,
130,05/22/21 01:32:00 PM,38285.7,29.88,79510.1,55.5116,,,,,
131,05/22/21 01:32:30 PM,38302.4,29.91,79500.6,55.5039,,,,,
132,05/22/21 01:33:00 PM,38310.7,29.90,79532.6,55.5298,,,,,
133,05/22/21 01:33:30 PM,38298.2,29.90,79506.6,55.5088,,,,,
134,05/22/21 01:34:00 PM,38339.9,29.96,79504.8,55.5073,,,,,
135,05/22/21 01:34:30 PM,38323.2,29.92,79529.1,55.5270,,,,,
136,05/22/21 01:35:00 PM,38352.4,29.92,79589.8,55.5761,,,,,
137,05/22/21 01:35:30 PM,38348.3,29.96,79522.3,55.5214,,,,,
138,05/22/21 01:36:00 PM,38352.4,29.92,79589.8,55.5761,,,,,
139,05/22/21 01:36:30 PM,38294.0,29.90,79497.9,55.5017,,,,,
140,05/22/21 01:37:00 PM,38339.9,29.88,79622.9,55.6029,,,,,
141,05/22/21 01:37:30 PM,38339.9,29.90,79593.3,55.5790,,,,,
142,05/22/21 01:38:00 PM,38273.2,29.94,79395.7,55.4190,,,,,
143,05/22/21 01:38:30 PM,38260.7,29.90,79428.6,55.4456,,,,,
144,05/22/21 01:39:00 PM,38285.7,29.92,79451.1,55.4638,,,,,
145,05/22/21 01:39:30 PM,38306.5,29.92,79494.4,55.4988,,,,,
146,05/22/21 01:40:00 PM,38302.4,29.92,79485.8,55.4919,,,,,
147,05/22/21 01:40:30 PM,38339.9,29.96,79504.8,55.5073,,,,,
148,05/22/21 01:41:00 PM,38273.2,29.96,79366.2,55.3951,,,,,
149,05/22/21 01:41:30 PM,38281.5,29.97,79368.7,55.3972,,,,,
150,05/22/21 01:42:00 PM,38294.0,29.94,79438.9,55.4539,,,,,
151,05/22/21 01:42:30 PM,38344.1,29.96,79513.5,55.5144,,,,,
152,05/22/21 01:43:00 PM,38302.4,29.97,79412.2,55.4323,,,,,
153,05/22/21 01:43:30 PM,38331.6,29.94,79517.0,55.5172,,,,,
154,05/22/21 01:44:00 PM,38285.7,29.93,79436.4,55.4519,,,,,
155,05/22/21 01:44:30 PM,38319.0,29.94,79490.9,55.4960,,,,,
156,05/22/21 01:45:00 PM,38281.5,29.98,79354.0,55.3853,,,,,
