Site,cm_1,cm_2,cm_3
ReefSGD1,130,160,150
ReefSGD3,165,155,
ReefSGD2,170,170,
ReefAmb2,100,120,
ReefAmb1,120,170,
RockWall1,113,149,
RockWall2,112,110,
RockWall3,130,120,
