date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_drift.corr,Sp_Conductance.1pcal,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-17T08:25:00Z,40249.9,23.71,318,50268.01347810557,NA,NA,NA,NA,NA,0,50268.01347810557,50.268013478105566,NA
2021-01-17T08:26:00Z,40106,23.72,318,50088.29707782881,NA,NA,NA,NA,NA,3.3523298692591353e-4,50088.297413061795,50.088297413061795,NA
2021-01-17T08:27:00Z,40031.3,23.71,318,49995.0044086094,NA,NA,NA,NA,NA,6.704659738518271e-4,49995.005079075374,49.995005079075376,NA
2021-01-17T08:28:00Z,39995.5,23.71,318,49950.293865663545,NA,NA,NA,NA,NA,0.0010056989607777405,49950.29487136251,49.95029487136251,NA
2021-01-17T08:29:00Z,39998.5,23.71,318,49954.04055920649,NA,NA,NA,NA,NA,0.0013409319477036541,49954.04190013844,49.95404190013844,NA
2021-01-17T08:30:00Z,40007.5,23.71,318,49965.28063983534,NA,NA,NA,NA,NA,0.0016761649346295675,49965.28231600027,49.96528231600028,NA
2021-01-17T08:31:00Z,40004.5,23.71,318,49961.533946292395,NA,NA,NA,NA,NA,0.002011397921555481,49961.535957690314,49.961535957690316,NA
2021-01-17T08:32:00Z,40010.4,23.71,318,49968.90244359353,NA,NA,NA,NA,NA,0.0023466309084813944,49968.904790224435,49.968904790224435,NA
2021-01-17T08:33:00Z,39989.6,23.7,318,49942.92536836241,NA,NA,NA,NA,NA,0.0026818638954073082,49942.92805022631,49.94292805022631,NA
2021-01-17T08:34:00Z,39959.8,23.68,318,49905.70821250247,NA,NA,NA,NA,NA,0.0030170968823332216,49905.71122959935,49.90571122959935,NA
2021-01-17T12:10:00Z,43334.8,29.58,318,54120.73844831935,109.96,29.652,0.851,872,1.0996,0.07542742205833054,54120.81387574141,54.12081387574141,32.43431649119079
2021-01-17T12:11:00Z,43328.1,29.58,318,54112.3708327401,110.106,29.652,0.865,872,1.10106,0.07576265504525645,54112.446595395144,54.11244659539515,32.42868323524871
2021-01-17T12:12:00Z,43351.6,29.57,318,54141.71993215986,109.863,29.652,0.841,872,1.09863,0.07609788803218237,54141.796030047895,54.1417960300479,32.455172155428926
2021-01-17T12:13:00Z,43351.6,29.62,318,54141.71993215986,109.928,29.652,0.848,872,1.09928,0.07643312101910828,54141.796365280876,54.141796365280875,32.421548157282366
2021-01-17T12:14:00Z,43341.5,29.63,318,54129.1060638986,110.171,29.652,0.872,872,1.1017100000000002,0.0767683540060342,54129.182832252605,54.1291828322526,32.406346813415325
2021-01-17T12:15:00Z,43288,29.64,318,54062.290029049356,110.139,29.652,0.868,872,1.10139,0.0771035869929601,54062.36713263635,54.062367132636346,32.354713270951535
2021-01-17T12:16:00Z,43294.7,29.64,318,54070.657644628605,110.009,29.652,0.856,872,1.10009,0.07743881997988603,54070.735083448584,54.07073508344858,32.36033883755988
2021-01-17T12:17:00Z,43271.3,29.63,318,54041.43343499362,110.171,29.652,0.872,872,1.1017100000000002,0.07777405296681193,54041.511209046585,54.04151120904658,32.347394859265954
2021-01-17T12:18:00Z,43284.7,29.63,318,54058.16866615211,110.057,29.652,0.86,872,1.10057,0.07810928595373785,54058.24677543806,54.058246775438064,32.35864716331966
2021-01-17T12:19:00Z,43278,29.63,318,54049.80105057286,110.074,29.652,0.862,872,1.10074,0.07844451894066376,54049.8794950918,54.0498794950918,32.35302137978315
2021-01-17T12:20:00Z,43278,29.66,318,54049.80105057286,110.366,29.652,0.891,872,1.10366,0.07877975192758968,54049.87983032479,54.04987983032479,32.33292105885462
2021-01-17T12:21:00Z,43288,29.65,318,54062.290029049356,110.625,29.652,0.917,872,1.10625,0.07911498491451559,54062.369144034274,54.06236914403428,32.348011621405
2021-01-17T12:22:00Z,43184.7,29.65,318,53933.27888138717,110.187,29.652,0.873,872,1.10187,0.07945021790144151,53933.358331605064,53.933358331605064,32.261325052777266
2021-01-17T12:23:00Z,43214.7,29.65,318,53970.74581681665,110.22,29.652,0.877,872,1.1022,0.07978545088836742,53970.825602267534,53.97082560226754,32.2864970543112
2021-01-17T12:24:00Z,43201.3,29.66,318,53954.01058565816,110.447,29.652,0.899,872,1.10447,0.08012068387529332,53954.09070634203,53.95409070634203,32.26856896498037
2021-01-17T12:25:00Z,43208,29.65,318,53962.3782012374,110.707,29.652,0.925,872,1.10707,0.08045591686221924,53962.45865715426,53.962458657154265,32.28087422904069
2021-01-17T12:26:00Z,43251.3,29.66,318,54016.455478040625,110.398,29.652,0.894,872,1.10398,0.08079114984914515,54016.536269190474,54.016536269190475,32.31051824668077
2021-01-17T12:27:00Z,43261.3,29.68,318,54028.94445651712,110.382,29.652,0.893,872,1.10382,0.08112638283607107,54029.02558289996,54.02902558289996,32.30552708666193
2021-01-17T12:28:00Z,43268,29.69,318,54037.31207209637,110.041,29.652,0.859,872,1.1004099999999999,0.08146161582299698,54037.393533712195,54.0373935337122,32.304459046915966
2021-01-17T12:29:00Z,43231.3,29.65,318,53991.47752108764,110.398,29.652,0.894,872,1.10398,0.0817968488099229,53991.55931793645,53.99155931793645,32.30042767581036
2021-01-17T12:30:00Z,43228,29.68,318,53987.35615819039,110.317,29.652,0.886,872,1.10317,0.0821320817968488,53987.43829027219,53.987438290272195,32.2775998993782
2021-01-17T12:31:00Z,42670.1,29.68,318,53290.596048986765,110.252,29.652,0.88,872,1.10252,0.08246731478377473,53290.67851630155,53.290678516301554,31.81026000952803
2021-01-17T12:32:00Z,42679.9,29.68,318,53302.83524789373,110.22,29.652,0.877,872,1.1022,0.08280254777070063,53302.9180504415,53.3029180504415,31.818460447133955
2021-01-17T12:33:00Z,42722.5,29.69,318,53356.038296203595,110.122,29.652,0.867,872,1.10122,0.08313778075762655,53356.12143398435,53.35612143398435,31.847518441753312
2021-01-17T12:34:00Z,42712.7,29.66,318,53343.79909729663,110.187,29.652,0.873,872,1.10187,0.08347301374455246,53343.88257031037,53.34388257031037,31.85909558059518
2021-01-17T12:35:00Z,42729,29.68,318,53364.15613221331,110.512,29.652,0.906,872,1.10512,0.08380824673147838,53364.239940460044,53.364239940460045,31.859549582514138
2021-01-17T12:36:00Z,42735.6,29.69,318,53372.3988580078,110.479,29.652,0.902,872,1.10479,0.08414347971840429,53372.48300148752,53.37248300148752,31.85847965196708
2021-01-17T12:37:00Z,42745.4,29.7,318,53384.638056914766,110.447,29.652,0.899,872,1.10447,0.08447871270533021,53384.72253562747,53.384722535627475,31.860087028652377
2021-01-17T12:38:00Z,42791.4,29.7,318,53442.08735790665,110.674,29.652,0.922,872,1.10674,0.08481394569225612,53442.17217185234,53.44217217185234,31.898575296081514
2021-01-17T12:39:00Z,42784.8,29.7,318,53433.84463211216,110.463,29.652,0.901,872,1.10463,0.08514917867918204,53433.92978129084,53.43392978129084,31.893053351017517
2021-01-17T12:40:00Z,42814.3,29.73,318,53470.68711861782,110.869,29.652,0.941,872,1.10869,0.08548441166610794,53470.77260302949,53.47077260302949,31.897935185781296
2021-01-17T12:41:00Z,42794.6,29.75,318,53446.08383101912,110.203,29.652,0.875,872,1.10203,0.08581964465303386,53446.16965066377,53.44616965066377,31.868278322588672
2021-01-17T12:42:00Z,42768.4,29.75,318,53413.362707410706,110.206,29.752,0.875,872,1.10206,0.08615487763995977,53413.448862288344,53.41344886228835,31.846378827548826
2021-01-17T12:43:00Z,42791.4,29.76,318,53442.08735790665,110.674,29.652,0.922,872,1.10674,0.08649011062688569,53442.17384801727,53.442173848017276,31.859014786721687
