date,TempInSitu,mV,pH,Serial
2021-01-17T12:30:00Z,29.43,-90.74,8.07,196
2021-01-17T12:31:00Z,29.48,-90.78,8.07,196
2021-01-17T12:32:00Z,29.38,-90.96,8.07,196
2021-01-17T12:33:00Z,29.33,-90.92,8.07,196
2021-01-17T12:34:00Z,29.25,-90.71,8.07,196
2021-01-17T12:35:00Z,29.33,-90.71,8.07,196
2021-01-17T12:36:00Z,29.3,-90.77,8.07,196
2021-01-17T12:37:00Z,29.3,-90.74,8.07,196
2021-01-17T12:38:00Z,29.28,-90.5,8.07,196
2021-01-17T12:39:00Z,29.25,-90.57,8.07,196
2021-01-17T12:40:00Z,29.28,-90.74,8.07,196
2021-01-17T12:41:00Z,29.3,-91.14,8.08,196
2021-01-17T12:42:00Z,29.28,-90.91,8.07,196
2021-01-17T12:43:00Z,29.28,-90.97,8.07,196
2021-01-17T12:44:00Z,29.3,-91.16,8.08,196
2021-01-17T12:45:00Z,29.28,-91.07,8.08,196
2021-01-17T12:46:00Z,29.33,-91.21,8.08,196
2021-01-17T12:47:00Z,29.28,-91.27,8.08,196
2021-01-17T12:48:00Z,29.35,-91.03,8.08,196
2021-01-17T12:49:00Z,29.28,-91.08,8.08,196
2021-01-17T12:50:00Z,29.25,-91.14,8.08,196
2021-01-17T12:51:00Z,29.33,-91.28,8.08,196
2021-01-17T12:52:00Z,29.3,-91.5,8.08,196
2021-01-17T12:53:00Z,29.3,-91.41,8.08,196
2021-01-17T12:54:00Z,29.28,-91.33,8.08,196
2021-01-17T12:55:00Z,29.33,-91.41,8.08,196
2021-01-17T12:56:00Z,29.28,-91.52,8.08,196
2021-01-17T12:57:00Z,29.25,-90.96,8.07,196
2021-01-17T12:58:00Z,29.25,-91.1,8.08,196
2021-01-17T12:59:00Z,29.25,-91.57,8.09,196
2021-01-17T13:00:00Z,29.28,-91.49,8.08,196
2021-01-17T13:01:00Z,29.23,-91.36,8.08,196
2021-01-17T13:02:00Z,29.25,-91.3,8.08,196
2021-01-17T13:03:00Z,29.25,-91.58,8.09,196
2021-01-17T13:04:00Z,29.23,-91.42,8.08,196
2021-01-17T13:05:00Z,29.25,-91.49,8.08,196
2021-01-17T13:06:00Z,29.3,-91.63,8.09,196
2021-01-17T13:07:00Z,29.33,-91.69,8.09,196
2021-01-17T13:08:00Z,29.33,-91.77,8.09,196
2021-01-17T13:09:00Z,29.33,-91.75,8.09,196
2021-01-17T13:10:00Z,29.35,-91.92,8.09,196
2021-01-17T13:11:00Z,29.33,-91.92,8.09,196
2021-01-17T13:12:00Z,29.3,-91.89,8.09,196
2021-01-17T13:13:00Z,29.33,-91.94,8.09,196
2021-01-17T13:14:00Z,29.35,-91.75,8.09,196
2021-01-17T13:15:00Z,29.33,-91.77,8.09,196
2021-01-17T13:16:00Z,29.35,-91.49,8.08,196
2021-01-17T13:17:00Z,29.33,-91.6,8.09,196
2021-01-17T13:18:00Z,29.3,-91.6,8.09,196
2021-01-17T13:19:00Z,29.33,-91.55,8.08,196
2021-01-17T13:20:00Z,29.33,-91.72,8.09,196
2021-01-17T13:21:00Z,29.38,-91.61,8.09,196
2021-01-17T13:22:00Z,29.35,-91.57,8.08,196
2021-01-17T13:23:00Z,29.35,-91.74,8.09,196
2021-01-17T13:24:00Z,29.33,-91.53,8.08,196
2021-01-17T13:25:00Z,29.28,-91.39,8.08,196
2021-01-17T13:26:00Z,29.33,-91.6,8.09,196
2021-01-17T13:27:00Z,29.3,-91.55,8.08,196
2021-01-17T13:28:00Z,29.3,-91.52,8.08,196
2021-01-17T13:29:00Z,29.35,-91.3,8.08,196
2021-01-17T13:30:00Z,29.3,-91.36,8.08,196
2021-01-17T13:31:00Z,29.33,-91.41,8.08,196
2021-01-17T13:32:00Z,29.35,-91.35,8.08,196
2021-01-17T13:33:00Z,29.38,-91.25,8.08,196
2021-01-17T13:34:00Z,29.38,-91.28,8.08,196
2021-01-17T13:35:00Z,29.35,-91.21,8.08,196
2021-01-17T13:36:00Z,29.38,-91.05,8.08,196
2021-01-17T13:37:00Z,29.38,-91.05,8.08,196
2021-01-17T13:38:00Z,29.4,-91.02,8.08,196
2021-01-17T13:39:00Z,29.4,-91,8.07,196
2021-01-17T13:40:00Z,29.35,-91.1,8.08,196
2021-01-17T13:41:00Z,29.38,-91.32,8.08,196
2021-01-17T13:42:00Z,29.38,-91.19,8.08,196
2021-01-17T13:43:00Z,29.35,-91.27,8.08,196
2021-01-17T13:44:00Z,29.35,-91.3,8.08,196
2021-01-17T13:45:00Z,29.38,-91.27,8.08,196
2021-01-17T13:46:00Z,29.35,-91.1,8.08,196
2021-01-17T13:47:00Z,29.35,-91.02,8.08,196
2021-01-17T13:48:00Z,29.43,-91.3,8.08,196
2021-01-17T13:49:00Z,29.4,-91.19,8.08,196
2021-01-17T13:50:00Z,29.4,-91.38,8.08,196
2021-01-17T13:51:00Z,29.45,-91.35,8.08,196
2021-01-17T13:52:00Z,29.45,-91.27,8.08,196
2021-01-17T13:53:00Z,29.43,-91.32,8.08,196
2021-01-17T13:54:00Z,29.4,-91.14,8.08,196
2021-01-17T13:55:00Z,29.43,-91.42,8.08,196
2021-01-17T13:56:00Z,29.43,-91.55,8.08,196
2021-01-17T13:57:00Z,29.43,-91.61,8.09,196
2021-01-17T13:58:00Z,29.43,-91.47,8.08,196
2021-01-17T13:59:00Z,29.38,-91,8.08,196
2021-01-17T14:00:00Z,29.35,-91.07,8.08,196
2021-01-17T14:01:00Z,29.38,-91.33,8.08,196
