#,date,E_Conductivity,TempInSitu,Serial
3651,2021-01-09T16:58:51Z,1368,23.2,324
3652,2021-01-09T16:58:52Z,1396.7,23.2,324
3653,2021-01-09T16:58:53Z,1390.2,23.18,324
3654,2021-01-09T16:58:54Z,1393.5,23.15,324
3655,2021-01-09T16:58:55Z,1359.8,23.09,324
3656,2021-01-09T16:58:56Z,1346.9,23.04,324
3657,2021-01-09T16:58:57Z,1343.1,22.98,324
3658,2021-01-09T16:58:58Z,1363.6,22.96,324
3659,2021-01-09T16:58:59Z,1344.1,22.95,324
3660,2021-01-09T16:59:00Z,1344.7,22.97,324
3661,2021-01-09T16:59:01Z,1345.2,23,324
3662,2021-01-09T16:59:02Z,1345.2,23.01,324
3663,2021-01-09T16:59:03Z,1345.2,23.01,324
3664,2021-01-09T16:59:04Z,1345.8,23.02,324
3665,2021-01-09T16:59:05Z,1345.8,23.02,324
3666,2021-01-09T16:59:06Z,1346.3,23.03,324
3667,2021-01-09T16:59:07Z,1346.3,23.03,324
3668,2021-01-09T16:59:08Z,1346.9,23.04,324
3669,2021-01-09T16:59:09Z,1346.9,23.04,324
3670,2021-01-09T16:59:10Z,1346.9,23.04,324
3671,2021-01-09T16:59:11Z,1346.9,23.06,324
3672,2021-01-09T16:59:12Z,1346.9,23.04,324
3673,2021-01-09T16:59:13Z,1347.4,23.06,324
3674,2021-01-09T16:59:14Z,1347.4,23.06,324
3675,2021-01-09T16:59:15Z,1347.4,23.06,324
3676,2021-01-09T16:59:16Z,1347.4,23.06,324
3677,2021-01-09T16:59:17Z,1347.4,23.06,324
3678,2021-01-09T16:59:18Z,1347.9,23.07,324
3679,2021-01-09T16:59:19Z,1347.9,23.07,324
3680,2021-01-09T16:59:20Z,1347.4,23.07,324
3681,2021-01-09T16:59:21Z,1347.9,23.07,324
3682,2021-01-09T16:59:22Z,1347.9,23.07,324
3683,2021-01-09T16:59:23Z,1347.9,23.08,324
3684,2021-01-09T16:59:24Z,1347.9,23.08,324
3685,2021-01-09T16:59:25Z,1347.9,23.08,324
3686,2021-01-09T16:59:26Z,1347.9,23.08,324
3687,2021-01-09T16:59:27Z,1348.5,23.09,324
3688,2021-01-09T16:59:28Z,1348.5,23.09,324
3689,2021-01-09T16:59:29Z,1348.5,23.09,324
3690,2021-01-09T16:59:30Z,1348.5,23.09,324
3691,2021-01-09T16:59:31Z,1349,23.09,324
3692,2021-01-09T16:59:32Z,1348.5,23.09,324
3693,2021-01-09T16:59:33Z,1349,23.09,324
3694,2021-01-09T16:59:34Z,1349,23.11,324
3695,2021-01-09T16:59:35Z,1349,23.11,324
3696,2021-01-09T16:59:36Z,1349,23.11,324
3697,2021-01-09T16:59:37Z,1349,23.11,324
3698,2021-01-09T16:59:38Z,1349,23.12,324
3699,2021-01-09T16:59:39Z,1349,23.11,324
3700,2021-01-09T16:59:40Z,1349,23.12,324
3701,2021-01-09T16:59:41Z,1349,23.12,324
3702,2021-01-09T16:59:42Z,1349,23.12,324
3703,2021-01-09T16:59:43Z,1349,23.12,324
3704,2021-01-09T16:59:44Z,1349.6,23.12,324
3705,2021-01-09T16:59:45Z,1349,23.12,324
3706,2021-01-09T16:59:46Z,1349,23.12,324
3707,2021-01-09T16:59:47Z,1349.6,23.13,324
3708,2021-01-09T16:59:48Z,1349,23.13,324
3709,2021-01-09T16:59:49Z,1349,23.13,324
3710,2021-01-09T16:59:50Z,1349.6,23.13,324
3711,2021-01-09T16:59:51Z,1349.6,23.13,324
3712,2021-01-09T16:59:52Z,1349.6,23.13,324
3713,2021-01-09T16:59:53Z,1350.1,23.13,324
3714,2021-01-09T16:59:54Z,1349.6,23.13,324
3715,2021-01-09T16:59:55Z,1349.6,23.13,324
3716,2021-01-09T16:59:56Z,1349.6,23.13,324
3717,2021-01-09T16:59:57Z,1349.6,23.13,324
3718,2021-01-09T16:59:58Z,1349.6,23.13,324
3719,2021-01-09T16:59:59Z,1350.1,23.13,324
3720,2021-01-09T17:00:00Z,1350.1,23.13,324
3721,2021-01-09T17:00:01Z,1350.1,23.13,324
3722,2021-01-09T17:00:02Z,1350.6,23.13,324
3723,2021-01-09T17:00:03Z,1350.6,23.13,324
3724,2021-01-09T17:00:04Z,1349.6,23.13,324
3725,2021-01-09T17:00:05Z,1349.6,23.14,324
3726,2021-01-09T17:00:06Z,1350.6,23.13,324
3727,2021-01-09T17:00:07Z,1350.1,23.14,324
3728,2021-01-09T17:00:08Z,1350.6,23.13,324
3729,2021-01-09T17:00:09Z,1350.6,23.14,324
3730,2021-01-09T17:00:10Z,1350.1,23.13,324
3731,2021-01-09T17:00:11Z,1350.6,23.14,324
3732,2021-01-09T17:00:12Z,1350.6,23.14,324
3733,2021-01-09T17:00:13Z,1350.1,23.13,324
3734,2021-01-09T17:00:14Z,1350.6,23.14,324
3735,2021-01-09T17:00:15Z,1350.1,23.13,324
3736,2021-01-09T17:00:16Z,1350.1,23.13,324
3737,2021-01-09T17:00:17Z,1350.1,23.14,324
3738,2021-01-09T17:00:18Z,1350.6,23.13,324
3739,2021-01-09T17:00:19Z,1350.1,23.14,324
3740,2021-01-09T17:00:20Z,1350.6,23.13,324
3741,2021-01-09T17:00:21Z,1350.1,23.13,324
3742,2021-01-09T17:00:22Z,1350.1,23.13,324
3743,2021-01-09T17:00:23Z,1350.6,23.14,324
3744,2021-01-09T17:00:24Z,1350.6,23.13,324
3745,2021-01-09T17:00:25Z,1350.6,23.13,324
3746,2021-01-09T17:00:26Z,1350.1,23.13,324
3747,2021-01-09T17:00:27Z,1350.6,23.13,324
3748,2021-01-09T17:00:28Z,1350.1,23.13,324
3749,2021-01-09T17:00:29Z,1350.6,23.14,324
3750,2021-01-09T17:00:30Z,1350.1,23.13,324
3751,2021-01-09T17:00:31Z,1350.6,23.13,324
3752,2021-01-09T17:00:32Z,1350.1,23.13,324
3753,2021-01-09T17:00:33Z,1350.1,23.13,324
3754,2021-01-09T17:00:34Z,1350.6,23.13,324
3755,2021-01-09T17:00:35Z,1350.6,23.13,324
3756,2021-01-09T17:00:36Z,1350.6,23.13,324
3757,2021-01-09T17:00:37Z,1350.6,23.13,324
3758,2021-01-09T17:00:38Z,1350.6,23.13,324
3759,2021-01-09T17:00:39Z,1350.6,23.13,324
3760,2021-01-09T17:00:40Z,1350.6,23.13,324
3761,2021-01-09T17:00:41Z,1350.6,23.13,324
3762,2021-01-09T17:00:42Z,1350.6,23.13,324
3763,2021-01-09T17:00:43Z,1350.6,23.13,324
3764,2021-01-09T17:00:44Z,1350.6,23.13,324
3765,2021-01-09T17:00:45Z,1350.6,23.13,324
3766,2021-01-09T17:00:46Z,1350.6,23.13,324
3767,2021-01-09T17:00:47Z,1350.6,23.13,324
3768,2021-01-09T17:00:48Z,1350.6,23.13,324
3769,2021-01-09T17:00:49Z,1350.6,23.13,324
3770,2021-01-09T17:00:50Z,1350.6,23.13,324
3771,2021-01-09T17:00:51Z,1350.6,23.13,324
3772,2021-01-09T17:00:52Z,1350.6,23.13,324
3773,2021-01-09T17:00:53Z,1350.6,23.13,324
3774,2021-01-09T17:00:54Z,1350.6,23.13,324
3775,2021-01-09T17:00:55Z,1350.6,23.13,324
3776,2021-01-09T17:00:56Z,1350.6,23.13,324
