Plot Title: SGD_011221_318_cal,,,
#,"Date Time, GMT-10:00","High Range, uS/cm (LGR S/N: 20739318, SEN S/N: 20739318)","Temp, C (LGR S/N: 20739318, SEN S/N: 20739318)"
4837,1/9/21 5:17:00 PM,45816.7,22.7
4838,1/9/21 5:17:00 PM,45802.2,22.6
4839,1/9/21 5:17:00 PM,45831.2,22.53
4840,1/9/21 5:17:00 PM,45849.4,22.45
4841,1/9/21 5:17:00 PM,45874.9,22.45
4842,1/9/21 5:17:00 PM,45849.4,22.47
4843,1/9/21 5:17:00 PM,45860.3,22.43
4844,1/9/21 5:17:00 PM,45864,22.45
4845,1/9/21 5:17:00 PM,45809.4,22.49
4846,1/9/21 5:17:00 PM,45896.7,22.51
4847,1/9/21 5:17:00 PM,45904,22.53
4848,1/9/21 5:17:00 PM,45955.1,22.54
4849,1/9/21 5:17:00 PM,45907.6,22.53
4850,1/9/21 5:17:00 PM,45885.8,22.51
4851,1/9/21 5:17:00 PM,45896.7,22.53
4852,1/9/21 5:17:00 PM,45929.5,22.54
4853,1/9/21 5:17:00 PM,45947.8,22.54
4854,1/9/21 5:17:00 PM,45929.5,22.5
4855,1/9/21 5:17:00 PM,45893.1,22.5
4856,1/9/21 5:17:00 PM,45914.9,22.49
4857,1/9/21 5:17:00 PM,45907.6,22.44
4858,1/9/21 5:17:00 PM,45918.6,22.43
4859,1/9/21 5:17:00 PM,45871.2,22.48
4860,1/9/21 5:17:00 PM,45904,22.48
4861,1/9/21 5:18:00 PM,45929.5,22.48
4862,1/9/21 5:18:00 PM,45933.2,22.5
4863,1/9/21 5:18:00 PM,45973.3,22.5
4864,1/9/21 5:18:00 PM,45958.7,22.51
4865,1/9/21 5:18:00 PM,45922.2,22.51
4866,1/9/21 5:18:00 PM,45944.1,22.53
4867,1/9/21 5:18:00 PM,45936.8,22.54
4868,1/9/21 5:18:00 PM,45969.7,22.54
4869,1/9/21 5:18:00 PM,45936.8,22.51
4870,1/9/21 5:18:00 PM,45918.6,22.53
4871,1/9/21 5:18:00 PM,45947.8,22.53
4872,1/9/21 5:18:00 PM,45947.8,22.53
4873,1/9/21 5:18:00 PM,45940.5,22.51
4874,1/9/21 5:18:00 PM,45925.9,22.51
4875,1/9/21 5:18:00 PM,45944.1,22.51
4876,1/9/21 5:18:00 PM,45962.4,22.53
4877,1/9/21 5:18:00 PM,45947.8,22.53
4878,1/9/21 5:18:00 PM,45947.8,22.54
4879,1/9/21 5:18:00 PM,45958.7,22.55
4880,1/9/21 5:18:00 PM,45962.4,22.55
4881,1/9/21 5:18:00 PM,45980.6,22.56
4882,1/9/21 5:18:00 PM,45966,22.56
4883,1/9/21 5:18:00 PM,45977,22.58
4884,1/9/21 5:18:00 PM,45980.6,22.56
4885,1/9/21 5:18:00 PM,45969.7,22.58
4886,1/9/21 5:18:00 PM,45969.7,22.58
4887,1/9/21 5:18:00 PM,45977,22.58
4888,1/9/21 5:18:00 PM,45987.9,22.59
4889,1/9/21 5:18:00 PM,45973.3,22.59
4890,1/9/21 5:18:00 PM,45973.3,22.59
4891,1/9/21 5:18:00 PM,46017.2,22.58
4892,1/9/21 5:18:00 PM,45991.6,22.58
4893,1/9/21 5:18:00 PM,46009.8,22.59
4894,1/9/21 5:18:00 PM,46013.5,22.59
4895,1/9/21 5:18:00 PM,45984.3,22.59
4896,1/9/21 5:18:00 PM,46017.2,22.59
4897,1/9/21 5:18:00 PM,45987.9,22.6
4898,1/9/21 5:18:00 PM,46024.5,22.6
4899,1/9/21 5:18:00 PM,46017.2,22.6
4900,1/9/21 5:18:00 PM,45998.9,22.6
4901,1/9/21 5:18:00 PM,45980.6,22.6
4902,1/9/21 5:18:00 PM,46009.8,22.61
4903,1/9/21 5:18:00 PM,46009.8,22.61
4904,1/9/21 5:18:00 PM,45991.6,22.61
4905,1/9/21 5:18:00 PM,46013.5,22.61
4906,1/9/21 5:18:00 PM,46013.5,22.61
4907,1/9/21 5:18:00 PM,45977,22.61
4908,1/9/21 5:18:00 PM,46020.8,22.62
4909,1/9/21 5:18:00 PM,46020.8,22.61
4910,1/9/21 5:18:00 PM,46017.2,22.62
4911,1/9/21 5:18:00 PM,46013.5,22.62
4912,1/9/21 5:18:00 PM,46042.8,22.62
4913,1/9/21 5:18:00 PM,46024.5,22.62
4914,1/9/21 5:18:00 PM,46064.7,22.62
4915,1/9/21 5:18:00 PM,46017.2,22.62
4916,1/9/21 5:18:00 PM,46057.4,22.62
4917,1/9/21 5:18:00 PM,46017.2,22.62
4918,1/9/21 5:18:00 PM,46017.2,22.62
4919,1/9/21 5:18:00 PM,46002.5,22.61
4920,1/9/21 5:18:00 PM,46057.4,22.61
4921,1/9/21 5:19:00 PM,46020.8,22.62
4922,1/9/21 5:19:00 PM,46020.8,22.61
4923,1/9/21 5:19:00 PM,46020.8,22.62
4924,1/9/21 5:19:00 PM,45998.9,22.62
4925,1/9/21 5:19:00 PM,46006.2,22.61
4926,1/9/21 5:19:00 PM,46035.5,22.62
4927,1/9/21 5:19:00 PM,45998.9,22.61
4928,1/9/21 5:19:00 PM,46009.8,22.61
4929,1/9/21 5:19:00 PM,46017.2,22.61
4930,1/9/21 5:19:00 PM,46028.1,22.62
4931,1/9/21 5:19:00 PM,46017.2,22.61
4932,1/9/21 5:19:00 PM,46028.1,22.61
4933,1/9/21 5:19:00 PM,46020.8,22.61
4934,1/9/21 5:19:00 PM,46013.5,22.62
4935,1/9/21 5:19:00 PM,46017.2,22.61
4936,1/9/21 5:19:00 PM,46020.8,22.62
4937,1/9/21 5:19:00 PM,45995.2,22.61
4938,1/9/21 5:19:00 PM,45951.4,22.59
4939,1/9/21 5:19:00 PM,45984.3,22.56
4940,1/9/21 5:19:00 PM,45951.4,22.56
4941,1/9/21 5:19:00 PM,46013.5,22.56
4942,1/9/21 5:19:00 PM,45977,22.58
4943,1/9/21 5:19:00 PM,46013.5,22.58
4944,1/9/21 5:19:00 PM,45995.2,22.58
4945,1/9/21 5:19:00 PM,46013.5,22.58
4946,1/9/21 5:19:00 PM,45987.9,22.58
4947,1/9/21 5:19:00 PM,46006.2,22.59
4948,1/9/21 5:19:00 PM,46031.8,22.59
4949,1/9/21 5:19:00 PM,45980.6,22.6
4950,1/9/21 5:19:00 PM,45991.6,22.6
4951,1/9/21 5:19:00 PM,46035.5,22.6
4952,1/9/21 5:19:00 PM,46035.5,22.6
4953,1/9/21 5:19:00 PM,46046.4,22.6
4954,1/9/21 5:19:00 PM,46002.5,22.6
4955,1/9/21 5:19:00 PM,45995.2,22.6
4956,1/9/21 5:19:00 PM,46009.8,22.6
4957,1/9/21 5:19:00 PM,46039.1,22.6
4958,1/9/21 5:19:00 PM,46006.2,22.6
4959,1/9/21 5:19:00 PM,45987.9,22.6
4960,1/9/21 5:19:00 PM,46020.8,22.6
4961,1/9/21 5:19:00 PM,45987.9,22.6
4962,1/9/21 5:19:00 PM,45987.9,22.6
4963,1/9/21 5:19:00 PM,45998.9,22.61
4964,1/9/21 5:19:00 PM,46031.8,22.61
4965,1/9/21 5:19:00 PM,45980.6,22.6
4966,1/9/21 5:19:00 PM,46024.5,22.61
4967,1/9/21 5:19:00 PM,46024.5,22.61
4968,1/9/21 5:19:00 PM,45980.6,22.61
4969,1/9/21 5:19:00 PM,46042.8,22.6
4970,1/9/21 5:19:00 PM,46017.2,22.61
4971,1/9/21 5:19:00 PM,46009.8,22.61
4972,1/9/21 5:19:00 PM,46046.4,22.61
4973,1/9/21 5:19:00 PM,46028.1,22.61
4974,1/9/21 5:19:00 PM,46009.8,22.61
4975,1/9/21 5:19:00 PM,46028.1,22.61
4976,1/9/21 5:19:00 PM,46039.1,22.61
4977,1/9/21 5:19:00 PM,46028.1,22.61
4978,1/9/21 5:19:00 PM,46031.8,22.61
4979,1/9/21 5:19:00 PM,46039.1,22.61
