"Plot Title: CT_740_Cabral"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)"
1,06/06/21 03:00:00 PM,0.0,24.63
2,06/06/21 03:20:00 PM,0.0,24.61
3,06/06/21 03:40:00 PM,0.0,25.02
4,06/06/21 04:00:00 PM,0.0,26.14
5,06/06/21 04:20:00 PM,0.0,27.23
6,06/06/21 04:40:00 PM,45638.0,29.26
7,06/06/21 05:00:00 PM,44681.8,29.01
8,06/06/21 05:20:00 PM,43821.3,29.18
9,06/06/21 05:40:00 PM,45382.9,29.11
10,06/06/21 06:00:00 PM,45388.8,29.09
11,06/06/21 06:20:00 PM,45323.9,29.14
12,06/06/21 06:40:00 PM,45306.2,29.06
13,06/06/21 07:00:00 PM,45335.7,29.05
14,06/06/21 07:20:00 PM,45365.2,29.05
15,06/06/21 07:40:00 PM,45282.6,29.09
16,06/06/21 08:00:00 PM,45335.7,29.08
17,06/06/21 08:20:00 PM,45335.7,29.10
18,06/06/21 08:40:00 PM,45329.8,29.08
19,06/06/21 09:00:00 PM,45353.4,29.05
20,06/06/21 09:20:00 PM,45217.9,28.99
21,06/06/21 09:40:00 PM,45247.3,29.00
22,06/06/21 10:00:00 PM,45247.3,28.91
23,06/06/21 10:20:00 PM,44826.6,28.67
24,06/06/21 10:40:00 PM,44937.0,28.75
25,06/06/21 11:00:00 PM,44884.7,28.75
26,06/06/21 11:20:00 PM,45012.9,28.83
27,06/06/21 11:40:00 PM,44966.2,28.86
28,06/07/21 12:00:00 AM,45118.2,28.89
29,06/07/21 12:20:00 AM,45042.1,28.88
30,06/07/21 12:40:00 AM,45053.8,28.88
31,06/07/21 01:00:00 AM,45135.7,28.88
32,06/07/21 01:20:00 AM,45024.6,28.81
33,06/07/21 01:40:00 AM,45024.6,28.77
34,06/07/21 02:00:00 AM,44913.8,28.66
35,06/07/21 02:20:00 AM,44844.0,28.66
36,06/07/21 02:40:00 AM,45001.2,28.63
37,06/07/21 03:00:00 AM,44896.3,28.58
38,06/07/21 03:20:00 AM,44884.7,28.55
39,06/07/21 03:40:00 AM,44820.7,28.50
40,06/07/21 04:00:00 AM,44785.9,28.45
41,06/07/21 04:20:00 AM,44814.9,28.41
42,06/07/21 04:40:00 AM,44814.9,28.40
43,06/07/21 05:00:00 AM,44820.7,28.37
44,06/07/21 05:20:00 AM,44780.1,28.33
45,06/07/21 05:40:00 AM,44751.2,28.28
46,06/07/21 06:00:00 AM,44704.9,28.21
47,06/07/21 06:20:00 AM,44710.7,28.16
48,06/07/21 06:40:00 AM,44629.8,28.12
49,06/07/21 07:00:00 AM,44629.8,28.09
50,06/07/21 07:20:00 AM,44641.3,28.10
51,06/07/21 07:40:00 AM,44728.0,28.13
52,06/07/21 08:00:00 AM,44728.0,28.12
53,06/07/21 08:20:00 AM,44728.0,28.16
54,06/07/21 08:40:00 AM,44722.2,28.16
55,06/07/21 09:00:00 AM,44757.0,28.23
56,06/07/21 09:20:00 AM,44762.8,28.30
57,06/07/21 09:40:00 AM,44797.5,28.44
58,06/07/21 10:00:00 AM,44919.6,28.63
59,06/07/21 10:20:00 AM,44913.8,28.77
60,06/07/21 10:40:00 AM,45071.3,28.97
61,06/07/21 11:00:00 AM,45153.3,29.14
62,06/07/21 11:20:00 AM,45206.2,29.26
63,06/07/21 11:40:00 AM,45212.0,29.38
64,06/07/21 12:00:00 PM,45170.9,29.45
65,06/07/21 12:20:00 PM,45212.0,29.49
66,06/07/21 12:40:00 PM,45188.5,29.51
67,06/07/21 01:00:00 PM,45223.8,29.55
68,06/07/21 01:20:00 PM,45124.0,29.49
69,06/07/21 01:40:00 PM,45147.5,29.53
70,06/07/21 02:00:00 PM,45094.7,29.61
71,06/07/21 02:20:00 PM,45065.5,29.59
72,06/07/21 02:40:00 PM,45088.9,29.52
73,06/07/21 03:00:00 PM,45053.8,29.43
74,06/07/21 03:20:00 PM,45094.7,29.52
75,06/07/21 03:40:00 PM,45059.6,29.46
76,06/07/21 04:00:00 PM,44983.7,29.37
77,06/07/21 04:20:00 PM,44861.4,29.24
78,06/07/21 04:40:00 PM,44814.9,29.19
79,06/07/21 05:00:00 PM,44907.9,29.14
80,06/07/21 05:20:00 PM,44751.2,29.03
81,06/07/21 05:40:00 PM,44820.7,28.93
82,06/07/21 06:00:00 PM,44780.1,28.81
83,06/07/21 06:20:00 PM,44757.0,28.83
84,06/07/21 06:40:00 PM,44762.8,28.77
85,06/07/21 07:00:00 PM,44803.3,28.77
86,06/07/21 07:20:00 PM,44826.6,28.72
87,06/07/21 07:40:00 PM,44803.3,28.64
88,06/07/21 08:00:00 PM,44780.1,28.57
89,06/07/21 08:20:00 PM,44745.4,28.44
90,06/07/21 08:40:00 PM,44809.1,28.36
91,06/07/21 09:00:00 PM,44838.2,28.35
92,06/07/21 09:20:00 PM,44780.1,28.31
93,06/07/21 09:40:00 PM,44820.7,28.32
94,06/07/21 10:00:00 PM,44739.6,28.29
95,06/07/21 10:20:00 PM,44791.7,28.25
96,06/07/21 10:40:00 PM,44693.3,28.20
97,06/07/21 11:00:00 PM,44797.5,28.24
98,06/07/21 11:20:00 PM,44820.7,28.23
99,06/07/21 11:40:00 PM,44728.0,28.22
100,06/08/21 12:00:00 AM,44878.8,28.23
101,06/08/21 12:20:00 AM,44809.1,28.23
102,06/08/21 12:40:00 AM,44774.4,28.23
103,06/08/21 01:00:00 AM,44803.3,28.22
104,06/08/21 01:20:00 AM,44820.7,28.20
105,06/08/21 01:40:00 AM,44762.8,28.19
106,06/08/21 02:00:00 AM,44768.6,28.18
107,06/08/21 02:20:00 AM,44780.1,28.16
108,06/08/21 02:40:00 AM,44814.9,28.16
109,06/08/21 03:00:00 AM,44728.0,28.12
110,06/08/21 03:20:00 AM,44774.4,28.06
111,06/08/21 03:40:00 AM,44722.2,28.06
112,06/08/21 04:00:00 AM,44722.2,28.04
113,06/08/21 04:20:00 AM,44768.6,28.03
114,06/08/21 04:40:00 AM,44733.8,28.01
115,06/08/21 05:00:00 AM,44803.3,27.98
116,06/08/21 05:20:00 AM,44629.8,27.95
117,06/08/21 05:40:00 AM,44670.2,27.92
118,06/08/21 06:00:00 AM,44618.3,27.87
119,06/08/21 06:20:00 AM,44618.3,27.84
120,06/08/21 06:40:00 AM,44658.7,27.85
121,06/08/21 07:00:00 AM,44601.0,27.89
122,06/08/21 07:20:00 AM,44647.1,27.94
123,06/08/21 07:40:00 AM,44595.2,27.95
124,06/08/21 08:00:00 AM,44606.7,27.98
125,06/08/21 08:20:00 AM,44635.6,28.01
126,06/08/21 08:40:00 AM,44687.5,28.12
127,06/08/21 09:00:00 AM,44762.8,28.24
128,06/08/21 09:20:00 AM,44774.4,28.31
129,06/08/21 09:40:00 AM,44774.4,28.39
130,06/08/21 10:00:00 AM,44878.8,28.49
131,06/08/21 10:20:00 AM,44867.2,28.57
132,06/08/21 10:40:00 AM,44913.8,28.72
133,06/08/21 11:00:00 AM,44925.4,28.89
134,06/08/21 11:20:00 AM,45012.9,29.01
135,06/08/21 11:40:00 AM,45047.9,29.14
136,06/08/21 12:00:00 PM,45106.4,29.23
137,06/08/21 12:20:00 PM,45170.9,29.38
138,06/08/21 12:40:00 PM,45135.7,29.41
139,06/08/21 01:00:00 PM,45141.6,29.41
140,06/08/21 01:20:00 PM,45083.0,29.46
141,06/08/21 01:40:00 PM,45094.7,29.60
142,06/08/21 02:00:00 PM,45124.0,29.52
143,06/08/21 02:20:00 PM,45042.1,29.28
144,06/08/21 02:40:00 PM,44977.9,29.31
145,06/08/21 03:00:00 PM,44983.7,29.34
146,06/08/21 03:20:00 PM,45007.0,29.31
147,06/08/21 03:40:00 PM,44907.9,29.32
148,06/08/21 04:00:00 PM,44884.7,29.37
149,06/08/21 04:20:00 PM,44838.2,29.28
150,06/08/21 04:40:00 PM,44849.8,29.23
151,06/08/21 05:00:00 PM,44931.2,29.23
152,06/08/21 05:20:00 PM,44896.3,29.15
153,06/08/21 05:40:00 PM,44942.9,29.06
154,06/08/21 06:00:00 PM,44896.3,29.03
155,06/08/21 06:20:00 PM,44861.4,28.98
156,06/08/21 06:40:00 PM,44890.5,28.90
157,06/08/21 07:00:00 PM,44890.5,28.83
158,06/08/21 07:20:00 PM,44849.8,28.71
159,06/08/21 07:40:00 PM,44791.7,28.66
160,06/08/21 08:00:00 PM,44774.4,28.61
161,06/08/21 08:20:00 PM,44745.4,28.56
162,06/08/21 08:40:00 PM,44710.7,28.47
163,06/08/21 09:00:00 PM,44733.8,28.40
164,06/08/21 09:20:00 PM,44652.9,28.33
165,06/08/21 09:40:00 PM,44618.3,28.25
166,06/08/21 10:00:00 PM,44572.2,28.13
167,06/08/21 10:20:00 PM,44514.6,28.16
168,06/08/21 10:40:00 PM,44681.8,28.23
169,06/08/21 11:00:00 PM,44757.0,28.25
170,06/08/21 11:20:00 PM,44803.3,28.24
171,06/08/21 11:40:00 PM,44762.8,28.16
172,06/09/21 12:00:00 AM,44814.9,28.15
173,06/09/21 12:20:00 AM,44745.4,28.18
174,06/09/21 12:40:00 AM,44780.1,28.22
175,06/09/21 01:00:00 AM,44844.0,28.22
176,06/09/21 01:20:00 AM,44774.4,28.15
177,06/09/21 01:40:00 AM,44583.7,28.00
178,06/09/21 02:00:00 AM,44589.4,27.94
179,06/09/21 02:20:00 AM,44566.4,27.88
180,06/09/21 02:40:00 AM,44606.7,27.84
181,06/09/21 03:00:00 AM,44629.8,27.89
182,06/09/21 03:20:00 AM,44601.0,27.90
183,06/09/21 03:40:00 AM,44537.6,27.83
184,06/09/21 04:00:00 AM,44514.6,27.72
185,06/09/21 04:20:00 AM,44480.2,27.75
186,06/09/21 04:40:00 AM,44365.6,27.65
187,06/09/21 05:00:00 AM,44371.3,27.59
188,06/09/21 05:20:00 AM,44451.5,27.62
189,06/09/21 05:40:00 AM,44257.1,27.51
190,06/09/21 06:00:00 AM,44405.6,27.57
191,06/09/21 06:20:00 AM,44354.1,27.53
192,06/09/21 06:40:00 AM,44382.7,27.51
193,06/09/21 07:00:00 AM,44463.0,27.58
194,06/09/21 07:20:00 AM,44262.8,27.48
195,06/09/21 07:40:00 AM,44262.8,27.43
196,06/09/21 08:00:00 AM,44177.4,27.39
197,06/09/21 08:20:00 AM,44211.5,27.43
198,06/09/21 08:40:00 AM,44440.0,27.81
199,06/09/21 09:00:00 AM,44371.3,27.72
200,06/09/21 09:20:00 AM,44394.2,27.83
201,06/09/21 09:40:00 AM,44365.6,27.88
202,06/09/21 10:00:00 AM,44365.6,27.93
203,06/09/21 10:20:00 AM,44365.6,28.02
204,06/09/21 10:40:00 AM,44405.6,28.07
205,06/09/21 11:00:00 AM,44468.7,28.20
206,06/09/21 11:20:00 AM,44497.4,28.32
207,06/09/21 11:40:00 AM,44474.4,28.39
208,06/09/21 12:00:00 PM,44641.3,28.55
209,06/09/21 12:20:00 PM,44537.6,28.53
210,06/09/21 12:40:00 PM,44618.3,28.54
211,06/09/21 01:00:00 PM,44676.0,28.67
212,06/09/21 01:20:00 PM,44722.2,28.71
213,06/09/21 01:40:00 PM,44762.8,28.88
214,06/09/21 02:00:00 PM,44832.4,28.97
215,06/09/21 02:20:00 PM,44972.0,29.05
216,06/09/21 02:40:00 PM,45007.0,29.20
217,06/09/21 03:00:00 PM,45042.1,29.32
218,06/09/21 03:20:00 PM,45001.2,29.36
219,06/09/21 03:40:00 PM,44948.7,29.46
220,06/09/21 04:00:00 PM,45083.0,29.49
221,06/09/21 04:20:00 PM,45065.5,29.55
222,06/09/21 04:40:00 PM,45088.9,29.52
223,06/09/21 05:00:00 PM,45106.4,29.53
224,06/09/21 05:20:00 PM,45001.2,29.52
225,06/09/21 05:40:00 PM,44797.5,29.37
226,06/09/21 06:00:00 PM,45012.9,29.37
227,06/09/21 06:20:00 PM,45042.1,29.37
228,06/09/21 06:40:00 PM,44907.9,29.29
229,06/09/21 07:00:00 PM,45024.6,29.36
230,06/09/21 07:20:00 PM,44913.8,29.33
231,06/09/21 07:40:00 PM,44931.2,29.29
232,06/09/21 08:00:00 PM,44733.8,29.09
233,06/09/21 08:20:00 PM,44844.0,29.06
234,06/09/21 08:40:00 PM,44785.9,28.99
235,06/09/21 09:00:00 PM,44768.6,29.02
236,06/09/21 09:20:00 PM,44762.8,28.98
237,06/09/21 09:40:00 PM,44762.8,28.98
238,06/09/21 10:00:00 PM,44780.1,28.94
239,06/09/21 10:20:00 PM,44728.0,28.79
240,06/09/21 10:40:00 PM,44710.7,28.83
241,06/09/21 11:00:00 PM,44745.4,28.80
242,06/09/21 11:20:00 PM,44791.7,28.80
243,06/09/21 11:40:00 PM,44670.2,28.74
244,06/10/21 12:00:00 AM,44687.5,28.70
245,06/10/21 12:20:00 AM,44728.0,28.70
246,06/10/21 12:40:00 AM,44606.7,28.63
247,06/10/21 01:00:00 AM,44635.6,28.61
248,06/10/21 01:20:00 AM,44641.3,28.58
249,06/10/21 01:40:00 AM,44641.3,28.58
250,06/10/21 02:00:00 AM,44647.1,28.63
251,06/10/21 02:20:00 AM,44710.7,28.65
252,06/10/21 02:40:00 AM,44612.5,28.58
253,06/10/21 03:00:00 AM,44670.2,28.55
254,06/10/21 03:20:00 AM,44583.7,28.51
255,06/10/21 03:40:00 AM,44797.5,28.57
