"Plot Title: CT_320_Cabral"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739320, SEN S/N: 20739320)","Temp, °C (LGR S/N: 20739320, SEN S/N: 20739320)","Coupler Detached (LGR S/N: 20739320)","Coupler Attached (LGR S/N: 20739320)","Stopped (LGR S/N: 20739320)","End Of File (LGR S/N: 20739320)"
1,03/28/22 08:00:00 AM,27547.5,27.98,Logged,,,
2,03/28/22 08:20:00 AM,27533.3,28.29,,,,
3,03/28/22 08:40:00 AM,341.4,27.44,,,,
4,03/28/22 09:00:00 AM,27482.5,28.29,,,,
5,03/28/22 09:20:00 AM,27696.9,28.74,,,,
6,03/28/22 09:40:00 AM,27659.9,28.63,,,,
7,03/28/22 10:00:00 AM,27600.6,28.45,,,,
8,03/28/22 10:20:00 AM,27625.1,28.51,,,,
9,03/28/22 10:40:00 AM,27690.7,28.98,,,,
10,03/28/22 11:00:00 AM,27711.3,29.17,,,,
11,03/28/22 11:20:00 AM,27684.5,28.97,,,,
12,03/28/22 11:40:00 AM,27684.5,29.01,,,,
13,03/28/22 12:00:00 PM,27694.8,29.11,,,,
14,03/28/22 12:20:00 PM,27688.7,29.09,,,,
15,03/28/22 12:40:00 PM,27682.5,29.19,,,,
16,03/28/22 01:00:00 PM,27678.4,29.15,,,,
17,03/28/22 01:20:00 PM,27666.1,29.15,,,,
18,03/28/22 01:40:00 PM,27686.6,29.08,,,,
19,03/28/22 02:00:00 PM,27668.1,29.01,,,,
20,03/28/22 02:20:00 PM,27649.7,28.96,,,,
21,03/28/22 02:40:00 PM,27672.2,29.04,,,,
22,03/28/22 03:00:00 PM,27674.3,29.09,,,,
23,03/28/22 03:20:00 PM,27659.9,29.08,,,,
24,03/28/22 03:40:00 PM,27670.2,29.25,,,,
25,03/28/22 04:00:00 PM,27694.8,29.36,,,,
26,03/28/22 04:20:00 PM,27707.1,29.39,,,,
27,03/28/22 04:40:00 PM,27705.1,29.44,,,,
28,03/28/22 05:00:00 PM,27694.8,29.56,,,,
29,03/28/22 05:20:00 PM,27709.2,29.59,,,,
30,03/28/22 05:40:00 PM,27696.9,29.56,,,,
31,03/28/22 06:00:00 PM,27676.3,29.47,,,,
32,03/28/22 06:20:00 PM,27678.4,29.47,,,,
33,03/28/22 06:40:00 PM,27664.0,29.37,,,,
34,03/28/22 07:00:00 PM,27666.1,29.36,,,,
35,03/28/22 07:20:00 PM,27680.4,29.39,,,,
36,03/28/22 07:40:00 PM,27670.2,29.33,,,,
37,03/28/22 08:00:00 PM,27674.3,29.31,,,,
38,03/28/22 08:20:00 PM,27688.7,29.30,,,,
39,03/28/22 08:40:00 PM,27678.4,29.31,,,,
40,03/28/22 09:00:00 PM,27703.0,29.44,,,,
41,03/28/22 09:20:00 PM,27721.5,29.47,,,,
42,03/28/22 09:40:00 PM,27703.0,29.43,,,,
43,03/28/22 10:00:00 PM,27703.0,29.39,,,,
44,03/28/22 10:20:00 PM,27696.9,29.34,,,,
45,03/28/22 10:40:00 PM,27715.4,29.32,,,,
46,03/28/22 11:00:00 PM,27715.4,29.28,,,,
47,03/28/22 11:20:00 PM,27692.8,29.24,,,,
48,03/28/22 11:40:00 PM,27701.0,29.20,,,,
49,03/29/22 12:00:00 AM,27701.0,29.11,,,,
50,03/29/22 12:20:00 AM,27684.5,29.04,,,,
51,03/29/22 12:40:00 AM,27678.4,29.01,,,,
