"Plot Title: CT_322_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739322, SEN S/N: 20739322)","Temp, °C (LGR S/N: 20739322, SEN S/N: 20739322)","Coupler Detached (LGR S/N: 20739322)","Coupler Attached (LGR S/N: 20739322)","Stopped (LGR S/N: 20739322)","End Of File (LGR S/N: 20739322)"
1,03/28/22 08:00:00 AM,30564.6,26.03,Logged,,,
2,03/28/22 08:20:00 AM,30623.3,26.30,,,,
3,03/28/22 08:40:00 AM,1140.2,25.37,,,,
4,03/28/22 09:00:00 AM,30954.2,26.28,,,,
5,03/28/22 09:20:00 AM,31351.5,26.70,,,,
6,03/28/22 09:40:00 AM,31364.2,26.59,,,,
7,03/28/22 10:00:00 AM,31237.5,26.45,,,,
8,03/28/22 10:20:00 AM,31303.3,26.51,,,,
9,03/28/22 10:40:00 AM,31466.0,26.89,,,,
10,03/28/22 11:00:00 AM,31389.6,26.81,,,,
11,03/28/22 11:20:00 AM,31374.3,26.64,,,,
12,03/28/22 11:40:00 AM,31366.7,26.67,,,,
13,03/28/22 12:00:00 PM,31384.5,26.73,,,,
14,03/28/22 12:20:00 PM,31356.5,26.75,,,,
15,03/28/22 12:40:00 PM,31341.3,26.71,,,,
16,03/28/22 01:00:00 PM,31308.4,26.60,,,,
17,03/28/22 01:20:00 PM,31285.6,26.60,,,,
18,03/28/22 01:40:00 PM,31313.4,26.60,,,,
19,03/28/22 02:00:00 PM,31313.4,26.65,,,,
20,03/28/22 02:20:00 PM,31331.2,26.71,,,,
21,03/28/22 02:40:00 PM,31359.1,26.76,,,,
22,03/28/22 03:00:00 PM,31359.1,26.79,,,,
23,03/28/22 03:20:00 PM,31371.8,26.83,,,,
24,03/28/22 03:40:00 PM,31407.4,26.94,,,,
25,03/28/22 04:00:00 PM,31432.9,27.10,,,,
26,03/28/22 04:20:00 PM,31450.7,27.14,,,,
27,03/28/22 04:40:00 PM,31450.7,27.23,,,,
28,03/28/22 05:00:00 PM,31458.4,27.22,,,,
29,03/28/22 05:20:00 PM,31466.0,27.22,,,,
30,03/28/22 05:40:00 PM,31445.6,27.18,,,,
31,03/28/22 06:00:00 PM,31443.1,27.17,,,,
32,03/28/22 06:20:00 PM,31445.6,27.17,,,,
33,03/28/22 06:40:00 PM,31458.4,27.21,,,,
34,03/28/22 07:00:00 PM,31438.0,27.20,,,,
35,03/28/22 07:20:00 PM,31481.3,27.28,,,,
36,03/28/22 07:40:00 PM,31486.5,27.29,,,,
37,03/28/22 08:00:00 PM,31494.1,27.31,,,,
38,03/28/22 08:20:00 PM,31499.2,27.29,,,,
39,03/28/22 08:40:00 PM,31473.7,27.29,,,,
40,03/28/22 09:00:00 PM,31478.8,27.32,,,,
41,03/28/22 09:20:00 PM,31491.6,27.33,,,,
42,03/28/22 09:40:00 PM,31514.6,27.35,,,,
43,03/28/22 10:00:00 PM,31486.5,27.34,,,,
44,03/28/22 10:20:00 PM,31506.9,27.33,,,,
45,03/28/22 10:40:00 PM,31478.8,27.26,,,,
46,03/28/22 11:00:00 PM,31473.7,27.11,,,,
47,03/28/22 11:20:00 PM,31494.1,27.03,,,,
48,03/28/22 11:40:00 PM,31481.3,27.09,,,,
49,03/29/22 12:00:00 AM,31473.7,27.10,,,,
50,03/29/22 12:20:00 AM,31448.2,27.03,,,,
51,03/29/22 12:40:00 AM,31435.4,26.86,,,,
52,03/29/22 01:00:00 AM,31420.1,26.96,,,,
53,03/29/22 01:20:00 AM,31394.7,26.89,,,,
54,03/29/22 01:40:00 AM,31407.4,26.88,,,,
55,03/29/22 02:00:00 AM,31402.3,26.71,,,,
56,03/29/22 02:20:00 AM,31397.2,26.62,,,,
57,03/29/22 02:40:00 AM,31366.7,26.84,,,,
58,03/29/22 03:00:00 AM,31366.7,26.87,,,,
59,03/29/22 03:20:00 AM,31366.7,26.88,,,,
60,03/29/22 03:40:00 AM,31409.9,26.72,,,,
61,03/29/22 04:00:00 AM,31399.8,26.79,,,,
62,03/29/22 04:20:00 AM,31369.2,26.82,,,,
63,03/29/22 04:40:00 AM,31381.9,26.81,,,,
64,03/29/22 05:00:00 AM,31392.1,26.67,,,,
65,03/29/22 05:20:00 AM,31379.4,26.67,,,,
66,03/29/22 05:40:00 AM,31351.5,26.51,,,,
67,03/29/22 06:00:00 AM,31318.5,26.64,,,,
68,03/29/22 06:20:00 AM,31303.3,26.56,,,,
69,03/29/22 06:40:00 AM,31310.9,26.53,,,,
70,03/29/22 07:00:00 AM,31293.2,26.51,,,,
71,03/29/22 07:20:00 AM,31290.6,26.50,,,,
72,03/29/22 07:40:00 AM,31285.6,26.54,,,,
73,03/29/22 08:00:00 AM,31270.4,26.55,,,,
74,03/29/22 08:20:00 AM,31283.0,26.61,,,,
75,03/29/22 08:40:00 AM,31288.1,26.71,,,,
76,03/29/22 09:00:00 AM,31293.2,26.75,,,,
77,03/29/22 09:20:00 AM,31308.4,26.79,,,,
78,03/29/22 09:40:00 AM,31313.4,26.79,,,,
79,03/29/22 10:00:00 AM,31278.0,26.77,,,,
80,03/29/22 10:20:00 AM,31278.0,26.75,,,,
81,03/29/22 10:40:00 AM,31285.6,26.77,,,,
82,03/29/22 11:00:00 AM,31242.6,26.86,,,,
83,03/29/22 11:20:00 AM,31283.0,27.01,,,,
84,03/29/22 11:40:00 AM,31343.8,26.98,,,,
85,03/29/22 12:00:00 PM,31328.6,27.10,,,,
86,03/29/22 12:20:00 PM,31364.2,27.21,,,,
87,03/29/22 12:40:00 PM,31364.2,27.22,,,,
88,03/29/22 01:00:00 PM,31371.8,27.24,,,,
89,03/29/22 01:20:00 PM,31351.5,27.22,,,,
90,03/29/22 01:40:00 PM,31336.2,27.21,,,,
91,03/29/22 02:00:00 PM,31328.6,27.23,,,,
92,03/29/22 02:20:00 PM,31348.9,27.26,,,,
93,03/29/22 02:40:00 PM,31369.2,27.29,,,,
94,03/29/22 03:00:00 PM,31356.5,27.31,,,,
95,03/29/22 03:20:00 PM,31348.9,27.32,,,,
96,03/29/22 03:40:00 PM,31376.9,27.34,,,,
97,03/29/22 04:00:00 PM,31381.9,27.39,,,,
98,03/29/22 04:20:00 PM,31397.2,27.48,,,,
99,03/29/22 04:40:00 PM,31394.7,27.54,,,,
100,03/29/22 05:00:00 PM,31402.3,27.57,,,,
101,03/29/22 05:20:00 PM,31425.2,27.56,,,,
102,03/29/22 05:40:00 PM,31409.9,27.55,,,,
103,03/29/22 06:00:00 PM,31417.6,27.51,,,,
104,03/29/22 06:20:00 PM,31384.5,27.49,,,,
105,03/29/22 06:40:00 PM,31348.9,27.44,,,,
106,03/29/22 07:00:00 PM,31316.0,27.43,,,,
107,03/29/22 07:20:00 PM,31384.5,27.52,,,,
108,03/29/22 07:40:00 PM,31376.9,27.50,,,,
109,03/29/22 08:00:00 PM,31381.9,27.50,,,,
110,03/29/22 08:20:00 PM,31420.1,27.55,,,,
111,03/29/22 08:40:00 PM,31445.6,27.57,,,,
112,03/29/22 09:00:00 PM,31453.3,27.59,,,,
113,03/29/22 09:20:00 PM,31486.5,27.57,,,,
114,03/29/22 09:40:00 PM,31445.6,27.55,,,,
115,03/29/22 10:00:00 PM,31432.9,27.49,,,,
116,03/29/22 10:20:00 PM,31455.8,27.45,,,,
117,03/29/22 10:40:00 PM,31435.4,27.42,,,,
118,03/29/22 11:00:00 PM,31430.3,27.39,,,,
119,03/29/22 11:20:00 PM,31415.0,27.35,,,,
120,03/29/22 11:40:00 PM,31407.4,27.32,,,,
121,03/30/22 12:00:00 AM,31407.4,27.28,,,,
122,03/30/22 12:20:00 AM,31389.6,27.24,,,,
123,03/30/22 12:40:00 AM,31374.3,27.21,,,,
124,03/30/22 01:00:00 AM,31341.3,27.15,,,,
125,03/30/22 01:20:00 AM,31389.6,27.11,,,,
126,03/30/22 01:40:00 AM,31356.5,27.07,,,,
127,03/30/22 02:00:00 AM,31348.9,27.01,,,,
128,03/30/22 02:20:00 AM,31336.2,26.96,,,,
129,03/30/22 02:40:00 AM,31316.0,26.92,,,,
130,03/30/22 03:00:00 AM,31300.8,26.86,,,,
131,03/30/22 03:20:00 AM,31308.4,26.82,,,,
132,03/30/22 03:40:00 AM,31283.0,26.77,,,,
133,03/30/22 04:00:00 AM,31295.7,26.71,,,,
134,03/30/22 04:20:00 AM,31283.0,26.67,,,,
135,03/30/22 04:40:00 AM,31298.2,26.65,,,,
136,03/30/22 05:00:00 AM,31250.2,26.59,,,,
137,03/30/22 05:20:00 AM,31224.9,26.51,,,,
138,03/30/22 05:40:00 AM,31222.4,26.44,,,,
139,03/30/22 06:00:00 AM,31184.6,26.42,,,,
140,03/30/22 06:20:00 AM,31161.9,26.39,,,,
141,03/30/22 06:40:00 AM,31192.1,26.42,,,,
142,03/30/22 07:00:00 AM,31161.9,26.41,,,,
143,03/30/22 07:20:00 AM,31194.7,26.42,,,,
144,03/30/22 07:40:00 AM,31217.4,26.45,,,,
145,03/30/22 08:00:00 AM,31202.2,26.48,,,,
146,03/30/22 08:20:00 AM,31242.6,26.53,,,,
147,03/30/22 08:40:00 AM,31204.7,26.56,,,,
148,03/30/22 09:00:00 AM,31214.8,26.47,,,,
149,03/30/22 09:20:00 AM,31179.6,26.44,,,,
150,03/30/22 09:40:00 AM,31172.0,26.39,,,,
151,03/30/22 10:00:00 AM,31217.4,26.49,,,,
152,03/30/22 10:20:00 AM,31222.4,26.61,,,,
153,03/30/22 10:40:00 AM,31230.0,26.56,,,,
154,03/30/22 11:00:00 AM,31230.0,26.55,,,,
155,03/30/22 11:20:00 AM,31209.8,26.55,,,,
