"Plot Title: SGD_011821_337_East"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20739337, SEN S/N: 20739337)","High Range, μS/cm (LGR S/N: 20739337, SEN S/N: 20739337)","Temp, °C (LGR S/N: 20739337, SEN S/N: 20739337)"
1,01/18/21 06:19:00 AM,33714.0,46911.0,23.71
2,01/18/21 06:20:00 AM,33714.0,46164.7,23.72
3,01/18/21 06:21:00 AM,33714.0,45854.2,23.68
4,01/18/21 06:22:00 AM,33714.0,45845.0,23.68
5,01/18/21 06:23:00 AM,33714.0,45693.4,23.66
6,01/18/21 06:24:00 AM,33714.0,45656.8,23.65
7,01/18/21 06:25:00 AM,33714.0,45592.8,23.65
8,01/18/21 06:26:00 AM,33714.0,45547.2,23.65
9,01/18/21 06:27:00 AM,33714.0,45474.4,23.65
10,01/18/21 06:28:00 AM,33714.0,45465.3,23.65
11,01/18/21 06:29:00 AM,33714.0,45451.7,23.66
12,01/18/21 06:30:00 AM,0.0,0.0,23.65
13,01/18/21 06:31:00 AM,1750.5,1781.8,23.58
14,01/18/21 06:32:00 AM,1753.3,1784.1,23.59
15,01/18/21 06:33:00 AM,1752.1,1782.9,23.59
16,01/18/21 06:34:00 AM,1752.1,1782.3,23.59
17,01/18/21 06:35:00 AM,1751.6,1781.8,23.58
18,01/18/21 06:36:00 AM,1752.7,1781.8,23.58
19,01/18/21 06:37:00 AM,1752.7,1782.9,23.58
20,01/18/21 06:38:00 AM,1752.7,1782.9,23.57
21,01/18/21 06:39:00 AM,1752.7,1782.9,23.55
22,01/18/21 06:40:00 AM,1752.7,1782.9,23.55
23,01/18/21 06:41:00 AM,0.0,0.0,23.57
24,01/18/21 06:42:00 AM,0.0,0.0,23.46
25,01/18/21 06:43:00 AM,0.0,0.0,23.33
26,01/18/21 06:44:00 AM,0.0,0.0,23.21
27,01/18/21 06:45:00 AM,0.0,0.0,23.13
28,01/18/21 06:46:00 AM,0.0,0.0,23.03
29,01/18/21 06:47:00 AM,0.0,0.0,22.94
30,01/18/21 06:48:00 AM,0.0,0.0,22.83
31,01/18/21 06:49:00 AM,0.0,0.0,22.74
32,01/18/21 06:50:00 AM,0.0,0.0,22.68
33,01/18/21 06:51:00 AM,0.0,0.0,22.63
34,01/18/21 06:52:00 AM,0.0,0.0,22.58
35,01/18/21 06:53:00 AM,0.0,0.0,22.83
36,01/18/21 06:54:00 AM,0.0,0.0,22.81
37,01/18/21 06:55:00 AM,0.0,0.0,22.86
38,01/18/21 06:56:00 AM,0.0,0.0,22.87
39,01/18/21 06:57:00 AM,0.0,0.0,22.93
40,01/18/21 06:58:00 AM,0.0,0.0,22.98
41,01/18/21 06:59:00 AM,0.0,0.0,22.93
42,01/18/21 07:00:00 AM,0.0,0.0,22.93
43,01/18/21 07:01:00 AM,0.0,0.0,22.93
44,01/18/21 07:02:00 AM,0.0,0.0,22.92
45,01/18/21 07:03:00 AM,0.0,0.0,22.92
46,01/18/21 07:04:00 AM,0.0,0.0,22.92
47,01/18/21 07:05:00 AM,0.0,0.0,23.68
48,01/18/21 07:06:00 AM,0.0,0.0,23.92
49,01/18/21 07:07:00 AM,0.0,0.0,24.25
50,01/18/21 07:08:00 AM,0.0,0.0,24.53
51,01/18/21 07:09:00 AM,0.0,0.0,24.76
52,01/18/21 07:10:00 AM,0.0,0.0,24.99
53,01/18/21 07:11:00 AM,0.0,0.0,25.22
54,01/18/21 07:12:00 AM,0.0,0.0,25.65
55,01/18/21 07:13:00 AM,0.0,0.0,25.92
56,01/18/21 07:14:00 AM,0.0,0.0,26.20
57,01/18/21 07:15:00 AM,0.0,0.0,26.38
58,01/18/21 07:16:00 AM,0.0,0.0,26.54
59,01/18/21 07:17:00 AM,0.0,0.0,26.68
60,01/18/21 07:18:00 AM,0.0,0.0,26.80
61,01/18/21 07:19:00 AM,0.0,0.0,26.89
