Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,GPS_ID,Location,lat,lon,CreationTime,CowTagID,LoggerID,Plate_Seep
V1,V21,J1,201FINAL,Varari,-17.53975298,-149.900506,2021-05-26T22:00:53Z,V1,340,Plate
V2,V22,J2,202FINAL,Varari,-17.53989003,-149.900519,2021-05-26T22:25:52Z,V2,342,Plate
V3,V23,J3,203FINAL,Varari,-17.54012598,-149.90056,2021-05-26T22:46:34Z,V3,354,Plate
V4,V24,J4,204FINAL,Varari,-17.54024902,-149.900454,2021-05-26T23:12:45Z,V4,352,Plate
V5,V25,J5,205FINAL,Varari,-17.54025003,-149.900336,2021-05-26T23:30:25Z,V5,355,Plate
V6,V26,J6,206FINAL,Varari,-17.54002498,-149.900106,2021-05-26T23:38:03Z,V6,337,Plate
V7,V27,J7,207FINAL,Varari,-17.54004803,-149.899985,2021-05-26T23:40:48Z,V7,330,Plate
V8,V28,J8,208FINAL,Varari,-17.54014903,-149.899896,2021-05-26T23:44:06Z,V8,515,Plate
V9,V29,J9,209FINAL,Varari,-17.540245,-149.899765,2021-05-27T01:33:16Z,V9,329,Plate
V10,V30,J10,210FINAL,Varari,-17.54030501,-149.899788,2021-05-27T01:42:11Z,V10,346,Plate
V11,V31,J11,211FINAL,Varari,-17.54019303,-149.900068,2021-05-27T02:00:00Z,V11,317,Plate
V12,V32,J12,212FINAL,Varari,-17.54030996,-149.900112,2021-05-27T02:11:00Z,V12,333,Plate
V13,V33,J13,213FINAL,Varari,-17.540749,-149.899133,2021-05-27T02:46:26Z,V13,332,Plate
V14,V34,J14,214FINAL,Varari,-17.54039696,-149.899396,2021-05-27T02:57:34Z,V14,350,Plate
V15,V35,J15,215FINAL,Varari,-17.54014299,-149.900183,2021-05-27T03:11:20Z,V15,341,Plate
V16,V36,J16,216FINAL,Varari,-17.54029797,-149.900492,2021-05-27T03:19:09Z,V16,334,Plate
V17,V37,J20,217FINAL,Varari,-17.54031901,-149.899572,2021-05-27T03:34:55Z,V17,347,Plate
V18,V38,J17,218FINAL,Varari,-17.54019697,-149.899906,2021-05-27T04:21:09Z,V18,325,Plate
V19,V39,J18,219FINAL,Varari,-17.54050802,-149.89978,2021-05-27T04:12:58Z,V19,321,Plate
V20,V40,J19,220FINAL,Varari,-17.54045103,-149.899509,2021-05-27T04:07:11Z,V20,345,Plate
VSEEP,NA,NA,NA,Varari,-17.540302,-149.899331,NA,VSEEP,NA,Seep
C1,C21,NA,C01,Cabral,-17.517048,-149.912693,2021-05-28T20:48:58Z,C1,351,Plate
C2,C22,NA,C02,Cabral,-17.51706904,-149.912949,2021-05-28T20:51:31Z,C2,327,Plate
C3,C23,NA,C03,Cabral,-17.51697499,-149.913111,2021-05-28T20:57:51Z,C3,322,Plate
C4,C24,NA,C04,Cabral,-17.51679302,-149.912772,2021-05-28T21:05:14Z,C4,740,Plate
C5,C25,NA,C05,Cabral,-17.51659596,-149.912877,2021-05-28T21:13:57Z,C5,344,Plate
C6,C26,NA,C06,Cabral,-17.51653796,-149.913134,2021-05-28T21:21:16Z,C6,348,Plate
C7,C27,NA,C07,Cabral,-17.51630402,-149.913229,2021-05-28T21:27:42Z,C7,349,Plate
C8,C28,NA,C08,Cabral,-17.51632397,-149.91291,2021-05-28T21:34:46Z,C8,338,Plate
C9,C29,NA,C09,Cabral,-17.51639103,-149.913111,2021-05-28T21:43:16Z,C9,514,Plate
C10,C30,NA,C10,Cabral,-17.51588602,-149.912912,2021-05-28T21:56:08Z,C10,323,Plate
C11,C31,NA,C11,Cabral,-17.51598098,-149.913194,2021-05-28T21:59:29Z,C11,738,Plate
C12,C32,NA,C12,Cabral,-17.51595701,-149.913303,2021-05-28T22:02:26Z,C12,316,Plate
C13,C33,NA,C13,Cabral,-17.51557102,-149.913136,2021-05-28T22:14:31Z,C13,320,Plate
C14,C34,NA,C14,Cabral,-17.51652597,-149.913031,2021-05-28T22:19:05Z,C14,331,Plate
C15,C35,NA,C15,Cabral,-17.51721597,-149.913056,2021-05-28T22:28:14Z,C15,319,Plate
C16,C36,NA,C16,Cabral,-17.51723299,-149.912976,2021-05-28T22:30:12Z,C16,343,Plate
C17,C37,NA,C17,Cabral,-17.51721203,-149.912771,2021-05-28T22:33:03Z,C17,339,Plate
C18,C38,NA,C18,Cabral,-17.51757103,-149.912982,2021-05-28T22:38:03Z,C18,324,Plate
C19,C39,NA,C19,Cabral,-17.51770397,-149.912893,2021-05-28T22:40:17Z,C19,326,Plate
C20,C40,NA,C20,Cabral,-17.51692303,-149.912724,2021-05-28T22:45:43Z,C20,328,Plate
CSEEP,NA,NA,NA,Cabral,-17.516384,-149.912515,NA,CSEEP,NA,Seep
CSPRING,NA,NA,NA,Cabral,-17.568023,-149.867636,NA,CSPRING,NA,Spring
Varari_Well,NA,NA,NA,Varari,-17.539674,-149.900158,NA,Varari_Well,NA,Well
