Location,CowTagID,Dist_CT_cm,Depth_cm,Tidal_diff,adj_CT_depth_cm
Varari,V20,65,39.900000000000006,0,65
Varari,V14,62,40.1,0.19999999999999574,61.800000000000004
Varari,V17,70,40.9,0.7999999999999972,69.2
Varari,V19,79,37,-3.8999999999999986,82.9
Varari,V9,80,40,3,77
Varari,V10,32,39.1,-0.8999999999999986,32.9
Varari,V8,39,40.2,1.1000000000000014,37.9
Varari,V18,34,42.699999999999996,2.499999999999993,31.500000000000007
Varari,V7,45,41.8,-0.8999999999999986,45.9
Varari,V11,53,44,2.200000000000003,50.8
Varari,V12,59,43.5,-0.5,59.5
Varari,V6,70,45.800000000000004,2.3000000000000043,67.69999999999999
Varari,V15,40,42.3,-3.500000000000007,43.50000000000001
Varari,V5,70,41.4,-0.8999999999999986,70.9
Varari,V4,61,43.7,2.3000000000000043,58.699999999999996
Varari,V16,78,46,2.299999999999997,75.7
Varari,V3,50,44,-2,52
Varari,V2,70,44.800000000000004,0.8000000000000043,69.19999999999999
Varari,V1,76,44.2,-0.6000000000000014,76.6
Varari,V13,79,50.4,6.199999999999996,72.80000000000001
Cabral,C17,112,49.3,0,112
Cabral,C19,87,57.199999999999996,7.899999999999999,79.1
Cabral,C18,100,53.5,-3.6999999999999957,103.69999999999999
Cabral,C15,105,47.599999999999994,-5.900000000000006,110.9
Cabral,C3,110,57.99999999999999,10.399999999999999,99.6
Cabral,C2,82,52.800000000000004,-5.199999999999989,87.19999999999999
Cabral,C1,75,48.9,-3.9000000000000057,78.9
Cabral,C20,67,55.60000000000001,6.70000000000001,60.29999999999999
Cabral,C4,86,51,-4.6000000000000085,90.60000000000001
Cabral,C5,86,48,-3,89
Cabral,C14,117,34.8,-13.200000000000003,130.2
Cabral,C9,83,45.7,10.900000000000006,72.1
Cabral,C6,130,44.800000000000004,-0.8999999999999986,130.9
Cabral,C8,96,41.099999999999994,-3.70000000000001,99.70000000000002
Cabral,C7,94,45,3.9000000000000057,90.1
Cabral,C11,103,46.1,1.1000000000000014,101.9
Cabral,C12,90,53.900000000000006,7.800000000000004,82.19999999999999
Cabral,C13,65,49.1,-4.800000000000004,69.80000000000001
Cabral,C10,107,51.4,2.299999999999997,104.7
Cabral,C16,90,44,-7.399999999999999,97.4
Varari,VSEEP,39.900000000000006,39.900000000000006,0,39.900000000000006
Cabral,CSEEP,49.3,49.3,0,49.3
