priority,data_folder,sub_folder,file_name,variable_name,unit,description
,21-Aug,CommunityRespoData,PRCommunityRates_blankperblock.csv,Respiration_Raw,,
,21-Aug,CommunityRespoData,PRCommunityRates_blankperblock.csv,NetPhoto_Raw,,
,21-Aug,CommunityRespoData,PRCommunityRates_blankperblock.csv,GrossPhoto_Raw,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,Date,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,PlateID,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,CowTagID,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,Top_Bottom,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,Site,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,Biomass,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,Respiration,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,NetPhoto,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,GrossPhoto,,
,21-Aug,CommunityRespoData,PRCommunityRates.csv,Batch,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,Date,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,PlateID,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,CowTagID,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,Top_Bottom,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,Site,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,Biomass,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,Respiration,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,NetPhoto,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,GrossPhoto,,
,21-Aug,CommunityRespoData,PRCommunityRates_FinalSelection.csv,Batch,,
,,,,,,
,,,,,,
,,CommunityRespoData,PRCommunityRates,Biomass,g,
,,CommunityRespoData,PRCommunityRates,Respiration,,
,,CommunityRespoData,PRCommunityRates,NetPhoto,,
,,CommunityRespoData,PRCommunityRates,GrossPhoto,,
,,YSI,common_garden_20210723.csv,Conductivity_C-us/cm,C-us/cm,
,,YSI,common_garden_20210723.csv,Salinity_SAL-PSU,psu,
,,YSI,common_garden_20210723.csv,Temperature_C,C,
,,NA,Allbiogeochemdata_QC.csv,Salinity,psu,
