Serial,date,time_in,time_out,temp_HL,cond_HL,cond_uS,EC_SC,temp_C
CT_337,5/16/2021,14:00,14:30,H,H,57449.9,EC,29.72
CT_325,5/16/2021,14:00,14:30,H,H,57449.9,EC,29.72
CT_354,5/16/2021,14:00,14:30,H,H,57449.9,EC,29.72
CT_338,5/16/2021,14:00,14:30,H,H,57449.9,EC,29.72
CT_336,5/16/2021,14:00,14:30,H,H,57449.9,EC,29.72
CT_316,5/16/2021,14:00,14:30,H,H,57449.9,EC,29.72
CT_739,5/12/2021,18:06:00,18:11:00,L,L,1413,SC,22.84
CT_330,5/12/2021,18:04:00,18:11:00,L,L,1413,SC,22.84
CT_329,5/12/2021,18:20:00,18:23:00,L,L,1413,SC,22.84
CT_334,5/12/2021,18:13:00,18:19:00,L,L,1413,SC,22.84
CT_350,5/12/2021,18:13:00,18:19:00,L,L,1413,SC,22.84
CT_329,5/13/2021,20:07:00,20:21:00,L,L,1413,SC,22.84
CT_738,5/13/2021,20:07:00,20:21:00,L,L,1413,SC,22.84
CT_350,5/13/2021,20:23:20,20:35:00,L,L,1413,SC,22.84
CT_739,5/13/2021,20:23:20,20:35:00,L,L,1413,SC,22.84
CT_330,5/13/2021,20:23:20,20:35:00,L,L,1413,SC,22.84
CT_325,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_331,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_349,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_324,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_348,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_319,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_326,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_332,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_320,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_345,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_321,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_343,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_329,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_323,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_322,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_346,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_342,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
