Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Relative Humidity [%],Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Calculated Radon [pCi/L],Calculated Radon 2-Sigma Uncert. [pCi/L],Radon In Water [pCi/L],Radon In Water 2-Sigma Uncert. [pCi/L],Water Temperature [Celsius],
002,01/10/21 11:21, 21, 01, 10, 11, 21,1,5.6, 7,0.0000000,2.8344680, 255,02,01,N/A,0.0,2.8,N/A,N/A,37.6,
003,01/10/21 11:27, 21, 01, 10, 11, 27,1,5.5, 7,0.0000000,2.8471780, 255,02,02,N/A,0.0,2.9,N/A,N/A,31.1,
004,01/10/21 11:33, 21, 01, 10, 11, 33,4,5.5, 7,0.7117945,3.4368470, 255,02,03,1.00,0.7,3.5,N/A,N/A,30.6,
005,01/10/21 11:39, 21, 01, 10, 11, 39,0,5.5, 6,0.0000000,2.8471780, 255,02,04,N/A,0.0,2.9,N/A,N/A,30.5,
006,01/10/21 11:45, 21, 01, 10, 11, 45,1,5.5, 6,0.7150008,3.4523290, 255,02,05,0.00,0.7,3.5,N/A,N/A,31.1,
007,01/10/21 15:27, 21, 01, 10, 15, 27,0,5.6, 24,0.0000000,2.8218690, 255,03,01,N/A,0.0,2.8,0.00,0.49,35.2,
008,01/10/21 15:33, 21, 01, 10, 15, 33,1,5.5, 27,0.0000000,2.8471780, 255,03,02,N/A,0.0,2.9,0.00,0.50,31.4,
009,01/10/21 15:39, 21, 01, 10, 15, 39,0,5.5, 28,0.0000000,2.8471780, 255,03,03,N/A,0.0,2.9,0.00,0.48,30.8,
010,01/10/21 15:45, 21, 01, 10, 15, 45,0,5.5, 28,0.0000000,2.8471780, 255,03,04,N/A,0.0,2.9,0.00,0.53,31.3,
011,01/10/21 15:51, 21, 01, 10, 15, 51,1,5.5, 28,0.7117945,3.4368470, 255,03,05,0.00,0.7,3.5,0.13,0.65,31.2,
012,01/10/21 15:57, 21, 01, 10, 15, 57,3,5.5, 28,2.1353840,4.2707670, 255,03,06,0.00,2.2,4.3,0.40,0.79,31.0,
013,01/10/21 16:03, 21, 01, 10, 16, 03,2,5.5, 29,1.4235890,3.8893170, 255,03,07,0.00,1.4,3.9,0.27,0.73,31.0,
014,01/10/21 16:09, 21, 01, 10, 16, 09,3,5.5, 29,1.4235890,3.8893170, 255,03,08,0.00,1.4,3.9,0.27,0.73,31.0,
015,01/10/21 16:15, 21, 01, 10, 16, 15,1,5.5, 29,0.0000000,2.8471780, 255,03,09,N/A,0.0,2.9,0.00,0.53,31.1,
016,01/10/21 16:21, 21, 01, 10, 16, 21,1,5.5, 29,0.0000000,2.8471780, 255,03,10,N/A,0.0,2.9,0.00,0.53,31.5,
017,01/10/21 16:27, 21, 01, 10, 16, 27,0,5.5, 30,0.0000000,2.8471780, 255,03,11,N/A,0.0,2.9,0.00,0.53,31.5,
018,01/10/21 16:33, 21, 01, 10, 16, 33,3,5.5, 32,1.4235890,3.8893170, 255,03,12,0.499,1.4,3.9,0.26,0.72,31.5,
019,01/10/21 16:40, 21, 01, 10, 16, 40,0,5.5, 32,0.0000000,2.8471780, 255,03,13,N/A,0.0,2.9,0.00,0.53,30.8,
020,01/10/21 16:46, 21, 01, 10, 16, 46,2,5.5, 32,1.4235890,3.8893170, 255,03,14,0.00,1.4,3.9,0.26,0.72,30.6,
021,01/10/21 16:52, 21, 01, 10, 16, 52,1,5.5, 32,0.7117945,3.4368470, 255,03,15,0.00,0.7,3.5,0.13,0.65,31.0,
022,01/10/21 16:58, 21, 01, 10, 16, 58,2,5.5, 32,0.7117945,3.4368470, 255,03,16,1.00,0.7,3.5,0.13,0.65,30.9,
023,01/10/21 17:04, 21, 01, 10, 17, 04,3,5.5, 32,0.7117945,3.4368470, 255,03,17,2.00,0.7,3.5,0.13,0.64,30.6,
024,01/10/21 17:09, 21, 01, 10, 17, 09,1,5.2, 33,0.0000000,3.0378980, 255,03,18,N/A,0.0,3.1,0.00,0.56,30.7,
