Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
143,01/15/21 10:02, 21, 01, 15, 10, 02,1,5.6,28.1, 7, 134,0.7054673,3.4062970, 255,08,01,0.00,Sniff,1.6,7.6,0.2,1.1,30.6,
144,01/15/21 10:08, 21, 01, 15, 10, 08,5,5.5,28.7, 7, 134,2.8471780,4.6068300, 255,08,02,0.00,Sniff,10,10,0.9,1.5,30.5,
145,01/15/21 10:14, 21, 01, 15, 10, 14,3,5.5,29.6, 7, 134,1.4235890,3.8893170, 255,08,03,0.00,Sniff,3.2,8.8,0.5,1.4,30.4,
146,01/15/21 10:20, 21, 01, 15, 10, 20,4,5.5,30.2, 7, 134,2.8471780,4.6068300, 255,08,04,0.00,Sniff,10,10,1.0,1.7,29.9,
147,01/15/21 10:26, 21, 01, 15, 10, 26,0,5.5,30.8, 7, 134,0.0000000,2.8471780, 255,08,05,N/A,Sniff,0.0,6.4,0.0,1.0,30.0,
148,01/15/21 10:32, 21, 01, 15, 10, 32,3,5.5,31.4, 6, 134,1.4235890,3.8893170, 255,08,06,0.00,Sniff,3.2,8.8,0.5,1.4,30.3,
149,01/15/21 10:38, 21, 01, 15, 10, 38,12,5.5,32.3, 6, 134,7.1179450,6.1451000, 255,08,07,0.0996,Sniff,16,14,2.6,2.3,30.3,
150,01/15/21 10:44, 21, 01, 15, 10, 44,26,5.5,32.9, 6, 134,15.0150200,8.1373030, 255,08,08,0.238,Sniff,34,18,5.5,3.0,30.3,
151,01/15/21 10:50, 21, 01, 15, 10, 50,36,5.5,33.2, 6, 134,22.8800300,9.6447330, 255,08,09,0.0315,Sniff,51,22,8.4,3.5,30.2,
152,01/15/21 10:56, 21, 01, 15, 10, 56,43,5.5,32.9, 6, 134,28.6000300,10.5864800, 255,08,10,0.00,Sniff,64,24,10.5,3.9,30.1,
153,01/15/21 11:02, 21, 01, 15, 11, 02,42,5.5,32.9, 6, 134,26.4550300,10.2451200, 255,08,11,0.135,Sniff,59,23,9.7,3.8,30.3,
154,01/15/21 11:08, 21, 01, 15, 11, 08,44,5.5,33.2, 6, 134,21.4500200,9.3919130, 255,08,12,0.367,Sniff,48,21,7.9,3.5,30.1,
155,01/15/21 11:14, 21, 01, 15, 11, 14,43,5.5,33.2, 6, 134,21.4500200,9.3919130, 255,08,13,0.299,Sniff,48,21,7.8,3.4,30.0,
156,01/15/21 11:20, 21, 01, 15, 11, 20,50,5.5,33.5, 6, 134,22.1650200,9.5193110, 255,08,14,0.581,Sniff,50,21,8.1,3.5,30.1,
157,01/15/21 11:26, 21, 01, 15, 11, 26,37,5.5,33.5, 6, 134,20.7350200,9.2624410, 255,08,15,0.172,Sniff,46,21,7.6,3.4,30.0,
158,01/15/21 11:32, 21, 01, 15, 11, 32,46,5.5,33.5, 6, 134,19.3050200,8.9968560, 255,08,16,0.666,Sniff,40,20,7.1,3.3,30.0,
159,01/15/21 11:38, 21, 01, 15, 11, 38,44,5.5,33.2, 6, 134,15.7300100,8.2880470, 255,08,17,1.00,Sniff,35,19,5.8,3.1,30.0,
160,01/15/21 11:44, 21, 01, 15, 11, 44,41,5.5,33.2, 5, 134,14.3000200,7.9830910, 255,08,18,1.00,Sniff,32,18,5.3,2.9,30.2,
161,01/15/21 11:50, 21, 01, 15, 11, 50,29,5.5,33.2, 6, 134,10.0100100,6.9683720, 255,08,19,1.00,Sniff,22,16,3.7,2.6,30.4,
