Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
183,01/16/21 09:42, 21, 01, 16, 09, 42,0,5.6,29.9, 7, 134,0.0000000,2.8344680, 255,09,01,N/A,Sniff,0.0,6.3,0.00,0.82,31.2,
184,01/16/21 09:48, 21, 01, 16, 09, 48,3,5.5,31.1, 7, 134,1.4235890,3.8893170, 255,09,02,0.00,Sniff,3.2,8.8,0.4,1.1,29.6,
185,01/16/21 09:54, 21, 01, 16, 09, 54,3,5.5,32.0, 6, 134,2.1353840,4.2707670, 255,09,03,0.00,Sniff,4.8,9.6,0.8,1.5,29.3,
186,01/16/21 10:00, 21, 01, 16, 10, 00,0,5.5,33.2, 6, 134,0.0000000,2.8471780, 255,09,04,N/A,Sniff,0.0,6.4,0.0,1.1,29.3,
187,01/16/21 10:06, 21, 01, 16, 10, 06,5,5.5,33.8, 6, 134,2.8471780,4.6068300, 255,09,05,0.00,Sniff,10,10,1.1,1.7,29.9,
188,01/16/21 10:12, 21, 01, 16, 10, 12,5,5.5,34.8, 6, 134,2.1353840,4.2707670, 255,09,06,0.667,Sniff,4.8,9.6,0.8,1.6,30.7,
189,01/16/21 10:18, 21, 01, 16, 10, 18,7,5.5,35.1, 6, 134,2.1353840,4.2707670, 255,09,07,1.00,Sniff,4.8,9.6,0.8,1.6,31.0,
190,01/16/21 10:24, 21, 01, 16, 10, 24,2,5.5,35.7, 6, 134,0.7117945,3.4368470, 255,09,08,1.00,Sniff,1.6,7.7,0.3,1.3,31.0,
191,01/16/21 10:30, 21, 01, 16, 10, 30,0,5.5,35.7, 6, 134,0.0000000,2.8471780, 255,09,09,N/A,Sniff,0.0,6.4,0.0,1.0,31.3,
192,01/16/21 10:36, 21, 01, 16, 10, 36,0,5.5,35.7, 6, 134,0.0000000,2.8471780, 255,09,10,N/A,Sniff,0.0,6.4,0.0,1.0,30.3,
193,01/16/21 10:42, 21, 01, 16, 10, 42,6,5.5,35.4, 6, 134,0.7117945,3.4368470, 255,09,11,4.99,Sniff,1.6,7.7,0.3,1.2,30.6,
194,01/16/21 10:48, 21, 01, 16, 10, 48,0,5.5,35.4, 6, 134,0.0000000,2.8471780, 255,09,12,N/A,Sniff,0.0,6.4,0.0,1.0,31.1,
195,01/16/21 10:54, 21, 01, 16, 10, 54,3,5.5,35.7, 6, 134,0.7117945,3.4368470, 255,09,13,2.00,Sniff,1.6,7.7,0.3,1.3,31.5,
196,01/16/21 11:00, 21, 01, 16, 11, 00,1,5.5,36.0, 6, 134,0.0000000,2.8471780, 255,09,14,N/A,Sniff,0.0,6.4,0.0,1.0,31.7,
197,01/16/21 11:06, 21, 01, 16, 11, 06,1,5.5,36.6, 6, 134,0.7117945,3.4368470, 255,09,15,0.00,Sniff,1.6,7.7,0.3,1.2,31.5,
198,01/16/21 11:12, 21, 01, 16, 11, 12,6,5.5,37.2, 6, 134,1.4235890,3.8893170, 255,09,16,2.00,Sniff,3.2,8.8,0.5,1.4,31.2,
199,01/16/21 11:19, 21, 01, 16, 11, 19,3,5.5,37.8, 6, 134,0.7117945,3.4368470, 255,09,17,2.00,Sniff,1.6,7.7,0.3,1.2,31.0,
200,01/16/21 11:25, 21, 01, 16, 11, 25,3,5.5,38.4, 6, 134,1.4235890,3.8893170, 255,09,18,0.499,Sniff,3.2,8.8,0.5,1.4,29.8,
201,01/16/21 11:31, 21, 01, 16, 11, 31,3,5.5,39.0, 6, 134,1.4235890,3.8893170, 255,09,19,0.499,Sniff,3.2,8.8,0.5,1.4,29.8,
202,01/16/21 11:37, 21, 01, 16, 11, 37,3,5.5,39.0, 6, 134,0.7117945,3.4368470, 255,09,20,2.00,Sniff,1.6,7.7,0.3,1.3,30.4,
203,01/16/21 11:43, 21, 01, 16, 11, 43,12,5.5,39.3, 6, 134,4.2900040,5.2134300, 255,09,21,0.666,Sniff,10,12,1.6,1.9,30.2,
204,01/16/21 11:49, 21, 01, 16, 11, 49,10,5.5,39.9, 5, 134,5.7200070,5.7200070, 255,09,22,0.250,Sniff,13,13,2.1,2.1,30.3,
205,01/16/21 11:55, 21, 01, 16, 11, 55,9,5.5,42.1, 6, 134,5.0050060,5.4746560, 255,09,23,0.143,Sniff,11,12,1.8,2.0,30.5,
