Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
067,01/12/21 10:09, 21, 01, 12, 10, 09,0,5.6,30.2, 7, 198,0.0000000,2.8344680, 255,06,01,N/A,Sniff,0.0,6.3,0.00,0.84,29.5,
068,01/12/21 10:15, 21, 01, 12, 10, 15,3,5.5,30.8, 7, 198,2.1353840,4.2707670, 255,06,02,0.00,Sniff,4.8,9.6,0.7,1.3,29.3,
069,01/12/21 10:21, 21, 01, 12, 10, 21,0,5.5,31.4, 7, 198,0.0000000,2.8471780, 255,06,03,N/A,Sniff,0.0,6.4,0.0,1.1,29.0,
070,01/12/21 10:27, 21, 01, 12, 10, 27,1,5.5,32.0, 7, 198,0.7117945,3.4368470, 255,06,04,0.00,Sniff,1.6,7.7,0.3,1.3,29.8,
071,01/12/21 10:33, 21, 01, 12, 10, 33,2,5.5,32.6, 6, 198,0.7117945,3.4368470, 255,06,05,1.00,Sniff,1.6,7.7,0.3,1.3,29.8,
072,01/12/21 10:39, 21, 01, 12, 10, 39,3,5.5,32.9, 6, 198,2.1353840,4.2707670, 255,06,06,0.00,Sniff,4.8,9.6,0.8,1.6,30.0,
073,01/12/21 10:45, 21, 01, 12, 10, 45,4,5.5,33.2, 6, 198,2.8471780,4.6068300, 255,06,07,0.00,Sniff,10,10,1.1,1.7,30.0,
074,01/12/21 10:51, 21, 01, 12, 10, 51,8,5.5,33.8, 6, 198,4.9825620,5.4501070, 255,06,08,0.00,Sniff,11,12,1.8,2.0,30.3,
075,01/12/21 10:57, 21, 01, 12, 10, 57,4,5.5,34.2, 6, 198,1.4235890,3.8893170, 255,06,09,0.500,Sniff,3.2,8.8,0.5,1.4,29.5,
076,01/12/21 11:03, 21, 01, 12, 11, 03,5,5.5,34.8, 6, 198,1.4235890,3.8893170, 255,06,10,0.500,Sniff,2.3,8.8,0.4,1.4,29.9,
077,01/12/21 11:09, 21, 01, 12, 11, 09,5,5.5,35.1, 6, 198,0.7117945,3.4368470, 255,06,11,4.00,Sniff,1.6,7.7,0.3,1.3,31.2,
078,01/12/21 11:15, 21, 01, 12, 11, 15,3,5.5,35.7, 6, 198,0.7117945,3.4368470, 255,06,12,1.00,Sniff,1.6,7.7,0.3,1.3,31.9,
079,01/12/21 11:21, 21, 01, 12, 11, 21,1,5.5,35.7, 6, 198,0.0000000,2.8471780, 255,06,13,N/A,Sniff,0.0,6.4,0.0,1.0,30.5,
080,01/12/21 11:27, 21, 01, 12, 11, 27,8,5.5,36.0, 6, 198,2.1353840,4.2707670, 255,06,14,0.667,Sniff,4.8,9.6,0.8,1.5,30.4,
081,01/12/21 11:33, 21, 01, 12, 11, 33,3,5.5,36.6, 6, 198,0.7117945,3.4368470, 255,06,15,2.00,Sniff,1.6,7.7,0.3,1.3,30.0,
082,01/12/21 11:39, 21, 01, 12, 11, 39,4,5.5,37.2, 6, 198,1.4235890,3.8893170, 255,06,16,0.00,Sniff,3.2,8.8,0.5,1.4,29.9,
083,01/12/21 11:45, 21, 01, 12, 11, 45,3,5.5,38.1, 6, 198,0.7117945,3.4368470, 255,06,17,2.00,Sniff,1.6,7.7,0.3,1.3,30.0,
084,01/12/21 11:51, 21, 01, 12, 11, 51,4,5.5,39.0, 6, 198,0.7117945,3.4368470, 255,06,18,3.00,Sniff,1.6,7.7,0.3,1.3,30.0,
085,01/12/21 11:57, 21, 01, 12, 11, 57,1,5.5,39.3, 6, 198,0.7117945,3.4368470, 255,06,19,0.00,Sniff,1.6,7.7,0.3,1.3,30.0,
086,01/12/21 12:03, 21, 01, 12, 12, 03,1,5.5,39.3, 6, 198,0.0000000,2.8471780, 255,06,20,N/A,Sniff,0.0,6.4,0.0,1.1,29.8,
087,01/12/21 12:09, 21, 01, 12, 12, 09,1,5.5,39.3, 6, 198,0.0000000,2.8471780, 255,06,21,N/A,Sniff,0.0,6.4,0.0,1.1,29.5,
088,01/12/21 12:15, 21, 01, 12, 12, 15,3,5.5,39.3, 6, 198,0.0000000,2.8471780, 255,06,22,N/A,Sniff,0.0,6.4,0.0,1.1,29.5,
089,01/12/21 12:21, 21, 01, 12, 12, 21,4,5.5,39.6, 6, 198,0.7117945,3.4368470, 255,06,23,2.00,Sniff,1.6,7.7,0.3,1.3,29.5,
090,01/12/21 12:27, 21, 01, 12, 12, 27,3,5.5,39.9, 6, 198,0.0000000,2.8471780, 255,06,24,N/A,Sniff,0.0,6.4,0.0,1.1,29.5,
091,01/12/21 12:33, 21, 01, 12, 12, 33,0,5.5,39.6, 6, 198,0.0000000,2.8471780, 255,06,25,N/A,Sniff,0.0,6.4,0.0,1.1,29.5,
092,01/12/21 12:39, 21, 01, 12, 12, 39,3,5.5,39.6, 6, 198,1.4235890,3.8893170, 255,06,26,0.00,Sniff,3.2,8.8,0.5,1.5,29.5,
093,01/12/21 12:45, 21, 01, 12, 12, 45,2,5.5,39.3, 5, 198,0.0000000,2.8471780, 255,06,27,N/A,Sniff,0.0,6.4,0.0,1.1,29.8,
094,01/12/21 12:51, 21, 01, 12, 12, 51,0,5.5,39.3, 6, 198,0.0000000,2.8471780, 255,06,28,N/A,Sniff,0.0,6.4,0.0,1.1,30.0,
095,01/12/21 12:57, 21, 01, 12, 12, 57,1,5.5,39.3, 6, 198,0.0000000,2.8471780, 255,06,29,N/A,Sniff,0.0,6.4,0.0,1.1,30.0,
096,01/12/21 13:03, 21, 01, 12, 13, 03,5,5.5,39.6, 6, 198,0.7117945,3.4368470, 255,06,30,4.00,Sniff,1.6,7.7,0.3,1.3,30.3,
097,01/12/21 13:09, 21, 01, 12, 13, 09,3,5.5,39.9, 6, 70,1.0230350,2.0460710, 255,06,31,2.00,Normal,2.3,4.6,0.38,0.76,30.7,
098,01/12/21 13:15, 21, 01, 12, 13, 15,5,5.5,39.9, 6, 70,1.3640470,2.2070750, 255,06,32,1.00,Normal,3.1,5.0,0.50,0.81,30.7,
099,01/12/21 13:21, 21, 01, 12, 13, 21,0,5.5,39.6, 6, 70,0.0000000,1.3640470, 255,06,33,N/A,Normal,0.0,3.1,0.00,0.50,31.6,
100,01/12/21 13:27, 21, 01, 12, 13, 27,5,5.5,39.6, 6, 70,1.3640470,2.2070750, 255,06,34,3.00,Normal,3.1,5.0,0.50,0.80,31.7,
101,01/12/21 13:34, 21, 01, 12, 13, 34,3,5.5,39.3, 6, 70,1.0230350,2.0460710, 255,06,35,2.00,Normal,2.3,4.6,0.36,0.73,31.2,
102,01/12/21 13:40, 21, 01, 12, 13, 40,2,5.5,39.0, 6, 70,0.6820237,1.8633230, 255,06,36,1.00,Normal,1.5,4.2,0.24,0.66,31.0,
103,01/12/21 13:46, 21, 01, 12, 13, 46,2,5.5,39.0, 6, 70,0.6820237,1.8633230, 255,06,37,1.00,Normal,1.5,4.2,0.25,0.67,31.4,
