"Plot Title: CT_739_Cabral_06232022"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)"
1,06/23/22 08:46:00 AM,2486.6,27.06
2,06/23/22 08:48:00 AM,2885.0,27.13
3,06/23/22 08:50:00 AM,2769.6,27.12
4,06/23/22 08:52:00 AM,2740.6,27.59
5,06/23/22 08:54:00 AM,2779.9,27.78
6,06/23/22 08:56:00 AM,2689.4,27.37
7,06/23/22 08:58:00 AM,2589.0,26.86
8,06/23/22 09:00:00 AM,2455.0,26.38
9,06/23/22 09:02:00 AM,2344.2,26.00
10,06/23/22 09:04:00 AM,2202.0,25.65
11,06/23/22 09:06:00 AM,2068.5,25.33
12,06/23/22 09:08:00 AM,2076.3,25.18
13,06/23/22 09:10:00 AM,1965.6,25.00
14,06/23/22 09:12:00 AM,1717.2,24.82
15,06/23/22 09:14:00 AM,1429.0,24.66
16,06/23/22 09:16:00 AM,1146.7,24.56
17,06/23/22 09:18:00 AM,955.1,24.50
18,06/23/22 09:20:00 AM,764.6,24.50
19,06/23/22 09:22:00 AM,606.8,24.54
20,06/23/22 09:24:00 AM,487.5,24.62
21,06/23/22 09:26:00 AM,402.7,24.70
22,06/23/22 09:28:00 AM,344.4,24.79
23,06/23/22 09:30:00 AM,287.9,24.81
24,06/23/22 09:32:00 AM,313.8,25.07
25,06/23/22 09:34:00 AM,444.2,25.63
26,06/23/22 09:36:00 AM,648.9,27.06
27,06/23/22 09:38:00 AM,758.2,28.50
28,06/23/22 09:40:00 AM,902.2,29.43
29,06/23/22 09:42:00 AM,713.3,29.91
30,06/23/22 09:44:00 AM,35681.5,27.22
31,06/23/22 09:46:00 AM,9527.7,26.98
32,06/23/22 09:48:00 AM,35593.4,26.93
33,06/23/22 09:50:00 AM,6393.7,26.95
34,06/23/22 09:52:00 AM,35666.8,26.97
35,06/23/22 09:54:00 AM,35674.2,26.97
36,06/23/22 09:56:00 AM,35685.2,26.98
37,06/23/22 09:58:00 AM,35711.0,27.05
38,06/23/22 10:00:00 AM,35881.1,27.45
39,06/23/22 10:02:00 AM,35758.9,27.19
40,06/23/22 10:04:00 AM,35795.9,27.19
41,06/23/22 10:06:00 AM,35821.8,27.19
42,06/23/22 10:08:00 AM,35781.1,27.14
43,06/23/22 10:10:00 AM,35784.8,27.14
44,06/23/22 10:12:00 AM,35770.0,27.20
45,06/23/22 10:14:00 AM,35832.9,27.23
46,06/23/22 10:16:00 AM,35799.5,27.27
47,06/23/22 10:18:00 AM,35821.8,27.23
48,06/23/22 10:20:00 AM,35781.1,27.20
49,06/23/22 10:22:00 AM,35718.3,27.17
50,06/23/22 10:24:00 AM,35736.8,27.19
51,06/23/22 10:26:00 AM,35755.2,27.15
52,06/23/22 10:28:00 AM,35766.3,27.21
53,06/23/22 10:30:00 AM,35770.0,27.20
54,06/23/22 10:32:00 AM,35755.2,27.14
55,06/23/22 10:34:00 AM,35781.1,27.20
56,06/23/22 10:36:00 AM,35619.1,27.26
57,06/23/22 10:38:00 AM,35807.0,27.26
58,06/23/22 10:40:00 AM,35799.5,27.25
59,06/23/22 10:42:00 AM,35803.2,27.23
60,06/23/22 10:44:00 AM,35825.5,27.25
61,06/23/22 10:46:00 AM,35799.5,27.30
62,06/23/22 10:48:00 AM,35792.2,27.23
63,06/23/22 10:50:00 AM,35799.5,27.29
64,06/23/22 10:52:00 AM,35844.0,27.42
65,06/23/22 10:54:00 AM,35881.1,27.51
66,06/23/22 10:56:00 AM,35881.1,27.52
67,06/23/22 10:58:00 AM,35877.4,27.50
68,06/23/22 11:00:00 AM,35873.7,27.50
69,06/23/22 11:02:00 AM,35907.1,27.47
70,06/23/22 11:04:00 AM,35896.0,27.58
71,06/23/22 11:06:00 AM,35951.8,27.68
72,06/23/22 11:08:00 AM,35936.9,27.63
73,06/23/22 11:10:00 AM,35925.7,27.62
74,06/23/22 11:12:00 AM,35892.3,27.54
75,06/23/22 11:14:00 AM,35881.1,27.52
76,06/23/22 11:16:00 AM,35896.0,27.54
77,06/23/22 11:18:00 AM,35896.0,27.55
