CowTagID,Sample_Weight,N_ug,del15N,C_ug,del13C, N_percent,C_percent,C_N
C1,2.3645,21.3,3.0,680.6,-8.6,0.900824699,28.78409812,31.95305164
C2,2.6013,17.6,2.6,772.1,-9.7,0.676584785,29.68131319,43.86931818
C3,2.5409,19.5,2.9,819.9,-9.3,0.767444606,32.26809398,42.04615385
C4,,,,,,,,
C5,2.7491,15.0,2.9,858.7,-8.0,0.545633116,31.23567713,57.24666667
C6,2.8936,19.9,3.1,890.4,-8.7,0.687724634,30.77135748,44.74371859
C7,2.3037,13.3,3.0,695.2,-8.2,0.577332118,30.17754048,52.27067669
C8,1.6147,10.7,3.1,524.9,-8.6,0.662661795,32.50758655,49.05607477
C9,2.6431,16.3,2.9,817.0,-8.7,0.616700087,30.91067307,50.12269939
C10,2.5608,16.6,3.1,830.2,-9.4,0.648234927,32.41955639,50.01204819
C11,3.1019,24.8,2.7,916.4,-8.9,0.799509978,29.54318321,36.9516129
C12,2.3626,17.8,2.7,727.7,-9.2,0.753407263,30.80081266,40.88202247
C13,2.2218,15.9,2.6,671.5,-9.7,0.715635971,30.22324242,42.2327044
C14,2.682,15.8,3.2,814.3,-9.0,0.589112603,30.3616704,51.53797468
C15,2.5568,21.4,3.1,810.5,-9.5,0.83698373,31.69978098,37.87383178
C16,2.457,13.6,3.3,733.8,-9.0,0.553520554,29.86568987,53.95588235
C17,2.8831,22.3,3.0,893.2,-9.6,0.773472998,30.98054178,40.05381166
C18,3.5173,29.1,3.3,1094.9,-8.8,0.827339152,31.12899099,37.62542955
C19,2.4156,20.5,3.0,792.0,-9.8,0.848650439,32.78688525,38.63414634
C20,2.4,21.0,3.2,759.5,-8.7,0.875,31.64583333,36.16666667
CSEEP,1.9641,15.0,5.3,547.0,-9.5,0.763708569,27.84990581,36.46666667
V1,2.43,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
V2,2.8731,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
V3,2.9755,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
V4,2.346,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
V5,2.7822,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
V6,3.1716,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
V7,2.2871,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
V8,2.979,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
V9,2.4645,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
V10,2.4286,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
V11,2.6383,28.4,4.0,853.4,-10.4,1.076450745,32.34658682,30.04929577
V12,3.2444,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
V13,2.9345,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
V14,2.1554,23.3,4.4,739.0,-10.2,1.081005846,34.2859794,31.7167382
V15,2.352,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
V16,2.2955,23.0,3.4,746.0,-9.6,1.001960357,32.49836637,32.43478261
V17,2.4801,20.4,3.9,764.0,-9.9,0.822547478,30.80520947,37.45098039
V18,3.126,27.1,4.1,962.0,-9.4,0.866922585,30.77415227,35.49815498
V19,2.3612,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
V20,2.3491,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
VSEEP,2.6629,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
VRC,2.5297,19.0,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
CRC,2.4134,17.7,6.2,828.1,-11.0,0.733405155,34.31258805,46.78531073
