TrisCalDate,date,TempInSitu,pH_NBS,mV,pH_total,mVTris
2022-04-04,2022-04-04T12:00:00Z,25.83,7.68,-66.49,7.601582626953477,-94.02157363164754
2022-04-04,2022-04-04T12:02:00Z,25.98,7.72,-68.46,7.633922981388032,-93.80954973948187
2022-04-04,2022-04-04T12:04:00Z,26.17,7.74,-69.77,7.654881138915348,-93.54098614273867
2022-04-04,2022-04-04T12:06:00Z,26.41,7.75,-70.6,7.667438368354979,-93.20174791527361
2022-04-04,2022-04-04T12:08:00Z,26.66,7.76,-71.19,7.675878218924217,-92.84837476166416
2022-04-04,2022-04-04T12:10:00Z,26.9,7.77,-71.8,7.684696175848662,-92.50913653419909
2022-04-04,2022-04-04T12:12:00Z,27.15,7.78,-72.25,7.690751246026837,-92.15576338058963
2022-04-04,2022-04-04T12:14:00Z,27.4,7.79,-72.52,7.693774241959886,-91.80239022698018
2022-04-04,2022-04-04T12:16:00Z,27.67,7.79,-72.77,7.6963323301126545,-91.42074722108195
2022-04-04,2022-04-04T12:18:00Z,27.91,7.79,-72.81,7.695548257930174,-91.0815089936169
2022-04-04,2022-04-04T12:20:00Z,28.13,7.79,-72.83,7.69454877361454,-90.77054061844056
2022-04-04,2022-04-04T12:22:00Z,28.38,7.79,-72.77,7.692028491748634,-90.41716746483111
2022-04-04,2022-04-04T12:24:00Z,28.63,7.79,-72.66,7.6886735484572375,-90.06379431122166
2022-04-04,2022-04-04T12:26:00Z,28.85,7.78,-72.49,7.684501039064007,-89.75282593604533
2022-04-04,2022-04-04T12:28:00Z,29.1,7.78,-72.33,7.680316546786301,-89.39945278243587
2022-04-04,2022-04-04T12:30:00Z,29.28,7.78,-72.22,7.677392223838102,-89.14502411183707
2022-04-04,2022-04-04T12:32:00Z,29.63,7.77,-72.06,7.672607112054295,-88.65030169678384
2022-04-04,2022-04-04T12:34:00Z,29.7,7.77,-71.77,7.667357064345231,-88.5513572137732
2022-04-04,2022-04-04T12:36:00Z,29.53,7.76,-71.6,7.665553557081923,-88.79165095822762
2022-04-04,2022-04-04T12:38:00Z,29.05,7.75,-70.5,7.650100732425437,-89.47012741315777
2022-04-04,2022-04-04T12:40:00Z,28.51,7.74,-70.02,7.6452956407457835,-90.2334134249542
2022-04-04,2022-04-04T12:42:00Z,28.04,7.73,-69.52,7.63970894044235,-90.89775495373996
2022-04-04,2022-04-04T12:44:00Z,27.62,7.72,-68.92,7.632123531240736,-91.49142185180385
2022-04-04,2022-04-04T12:46:00Z,27.15,7.71,-68.22,7.623117931192038,-92.15576338058963
2022-04-04,2022-04-04T12:48:00Z,26.76,7.71,-68.17,7.624534462215966,-92.70702550022037
2022-04-04,2022-04-04T12:50:00Z,26.34,7.72,-68.75,7.6367204807004985,-93.30069239828424
2022-04-04,2022-04-04T12:52:00Z,26.07,7.73,-69.3,7.64755070472195,-93.68233540418245
2022-04-04,2022-04-04T12:54:00Z,26.41,7.58,-60.77,7.502059256415723,-93.20174791527361
2022-04-04,2022-04-04T12:56:00Z,27.08,7.57,-60.35,7.491414454098245,-92.25470786360027
2022-04-04,2022-04-04T12:58:00Z,29.03,8.02,-86.49,7.9169018966087386,-89.49839726544653
2022-04-04,2022-04-04T13:00:00Z,29.63,8.09,-90.42,7.978209294779063,-88.65030169678384
2022-04-04,2022-04-04T13:02:00Z,29.75,8.1,-91.33,7.9925020486800165,-88.4806825830513
2022-04-04,2022-04-04T13:04:00Z,29.45,7.92,-80.78,7.818927885516024,-88.90473036738265
2022-04-04,2022-04-04T13:06:00Z,29.88,8.11,-91.82,7.999725713479175,-88.29692854317439
2022-04-04,2022-04-04T13:08:00Z,29.88,8.11,-91.66,7.997064710771794,-88.29692854317439
2022-04-04,2022-04-04T13:10:00Z,29.93,8.12,-92.42,8.009345383599303,-88.2262539124525
2022-04-04,2022-04-04T13:12:00Z,29.95,8.12,-92.08,8.003548410822724,-88.19798406016375
2022-04-04,2022-04-04T13:14:00Z,30,8.11,-91.47,7.993049136469093,-88.12730942944185
2022-04-04,2022-04-04T13:16:00Z,30.06,8.11,-91.69,7.996277931763334,-88.04249987257558
2022-04-04,2022-04-04T13:18:00Z,30.08,8.12,-92.05,8.002118346454475,-88.01423002028683
2022-04-04,2022-04-04T13:20:00Z,30.08,8.11,-91.52,7.993309588772162,-88.01423002028683
2022-04-04,2022-04-04T13:22:00Z,30.06,8.12,-92.07,8.002594061408601,-88.04249987257558
2022-04-04,2022-04-04T13:24:00Z,30.03,8.11,-91.47,7.992835188722769,-88.08490465100871
2022-04-04,2022-04-04T13:26:00Z,30.06,8.1,-91.41,7.9916239414984,-88.04249987257558
2022-04-04,2022-04-04T13:28:00Z,30.08,8.1,-91.33,7.990151732244541,-88.01423002028683
