"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity","Salinity_off"
"1",2021-05-16 18:00:00,"CT_349",28.57,38605.3,52118.4,34.2988,34.2648754098361
"2",2021-05-16 18:00:30,"CT_349",28.57,38678.7,52217.6,34.3722,34.3382754098361
"3",2021-05-16 18:01:00,"CT_349",28.57,38718.7,52271.7,34.4122,34.3782754098361
"4",2021-05-16 18:01:30,"CT_349",28.57,38712,52262.6,34.4055,34.3715754098361
"5",2021-05-16 18:02:00,"CT_349",28.58,38695.3,52230.2,34.3815,34.3475754098361
"6",2021-05-16 18:02:30,"CT_349",28.58,38702,52239.2,34.3882,34.3542754098361
"7",2021-05-16 18:03:00,"CT_349",28.58,38622,52131.1,34.3082,34.2742754098361
"8",2021-05-16 18:03:30,"CT_349",28.57,38665.3,52199.5,34.3588,34.3248754098361
"9",2021-05-16 18:04:00,"CT_349",28.57,38652,52181.5,34.3455,34.3115754098361
"10",2021-05-16 18:04:30,"CT_349",28.57,38615.3,52131.9,34.3088,34.2748754098361
"11",2021-05-16 18:05:00,"CT_349",28.57,38645.3,52172.5,34.3388,34.3048754098361
"12",2021-05-16 18:05:30,"CT_349",28.57,38762.2,52330.5,34.4558,34.4218754098361
"13",2021-05-16 18:06:00,"CT_349",28.57,38775.6,52348.6,34.4692,34.4352754098361
"14",2021-05-16 18:06:30,"CT_349",28.57,38762.2,52330.5,34.4558,34.4218754098361
"15",2021-05-16 18:07:00,"CT_349",28.57,38782.3,52357.7,34.4759,34.4419754098361
"16",2021-05-16 18:07:30,"CT_349",28.55,38718.7,52291.4,34.4269,34.3929754098361
"17",2021-05-16 18:08:00,"CT_349",28.55,38755.5,52341.2,34.4637,34.4297754098361
"18",2021-05-16 18:08:30,"CT_349",28.55,38725.4,52300.5,34.4336,34.3996754098361
"19",2021-05-16 18:09:00,"CT_349",28.55,38682,52241.8,34.3901,34.3561754098361
"20",2021-05-16 18:09:30,"CT_349",28.55,38672,52228.3,34.3801,34.3461754098361
"21",2021-05-16 18:10:00,"CT_349",28.55,38668.6,52223.7,34.3767,34.3427754098361
"22",2021-05-16 18:10:30,"CT_349",28.55,38712,52282.4,34.4202,34.3862754098361
"23",2021-05-16 18:11:00,"CT_349",28.54,38692,52265.2,34.4074,34.3734754098361
"24",2021-05-16 18:11:30,"CT_349",28.54,38718.7,52301.3,34.4342,34.4002754098361
"25",2021-05-16 18:12:00,"CT_349",28.54,38675.3,52242.6,34.3907,34.3567754098361
"26",2021-05-16 18:12:30,"CT_349",28.55,39903,53893.3,35.6157,35.5817754098361
"27",2021-05-16 18:13:00,"CT_349",28.54,39903,53903.4,35.6233,35.5893754098361
"28",2021-05-16 18:13:30,"CT_349",28.54,39920.6,53927.3,35.641,35.6070754098361
"29",2021-05-16 18:14:00,"CT_349",28.55,39941.6,53945.5,35.6546,35.6206754098361
"30",2021-05-16 18:14:30,"CT_349",28.55,39875,53855.4,35.5875,35.5535754098361
"31",2021-05-16 18:15:00,"CT_349",28.55,39665.8,53572.4,35.3771,35.3431754098361
"32",2021-05-16 18:15:30,"CT_349",28.55,39641.5,53539.6,35.3526,35.3186754098361
"33",2021-05-16 18:16:00,"CT_349",28.54,39665.8,53582.5,35.3846,35.3506754098361
"34",2021-05-16 18:16:30,"CT_349",28.54,39651.9,53563.7,35.3706,35.3366754098361
"35",2021-05-16 18:17:00,"CT_349",28.54,39651.9,53563.7,35.3706,35.3366754098361
"36",2021-05-16 18:17:30,"CT_349",28.53,39589.6,53489.6,35.3155,35.2815754098361
"37",2021-05-16 18:18:00,"CT_349",28.53,39620.7,53531.6,35.3467,35.3127754098361
"38",2021-05-16 18:18:30,"CT_349",28.53,39613.8,53522.3,35.3398,35.3058754098361
"39",2021-05-16 18:19:00,"CT_349",28.54,39676.2,53596.6,35.395,35.3610754098361
"40",2021-05-16 18:19:30,"CT_349",28.54,39627.7,53531,35.3463,35.3123754098361
"41",2021-05-16 18:20:00,"CT_349",28.54,39651.9,53563.7,35.3706,35.3366754098361
"42",2021-05-16 18:20:30,"CT_349",28.54,39676.2,53596.6,35.395,35.3610754098361
"43",2021-05-16 18:21:00,"CT_349",28.53,39690.1,53625.5,35.4166,35.3826754098361
"44",2021-05-16 18:21:30,"CT_349",28.53,39651.9,53573.9,35.3781,35.3441754098361
"45",2021-05-16 18:22:00,"CT_349",28.53,39665.8,53592.7,35.3921,35.3581754098361
"46",2021-05-16 18:22:30,"CT_349",28.53,39496.3,53363.3,35.2217,35.1877754098361
"47",2021-05-16 18:23:00,"CT_349",28.53,39496.3,53363.3,35.2217,35.1877754098361
"48",2021-05-16 18:23:30,"CT_349",28.53,39479,53339.9,35.2043,35.1703754098361
"49",2021-05-16 18:24:00,"CT_349",28.53,39541.1,53423.9,35.2667,35.2327754098361
"50",2021-05-16 18:24:30,"CT_349",28.54,39544.6,53418.6,35.2627,35.2287754098361
"51",2021-05-16 18:25:00,"CT_349",28.53,39489.4,53354,35.2147,35.1807754098361
"52",2021-05-16 18:25:30,"CT_349",28.53,39496.3,53363.3,35.2217,35.1877754098361
"53",2021-05-16 18:26:00,"CT_349",28.53,39499.7,53367.9,35.2251,35.1911754098361
"54",2021-05-16 18:26:30,"CT_349",28.52,39537.7,53429.4,35.2708,35.2368754098361
"55",2021-05-16 18:27:00,"CT_349",28.53,39579.2,53475.5,35.305,35.2710754098361
"56",2021-05-16 18:27:30,"CT_349",28.53,39638.1,53555.2,35.3642,35.3302754098361
"57",2021-05-16 18:28:00,"CT_349",28.53,39603.4,53508.2,35.3293,35.2953754098361
"58",2021-05-16 18:28:30,"CT_349",28.53,39568.8,53461.4,35.2946,35.2606754098361
"59",2021-05-16 18:29:00,"CT_349",28.52,39572.3,53476.3,35.3056,35.2716754098361
"60",2021-05-16 18:29:30,"CT_349",28.52,39548,53443.4,35.2811,35.2471754098361
"61",2021-05-16 18:30:00,"CT_349",28.52,39572.3,53476.3,35.3056,35.2716754098361
"62",2021-05-16 18:30:30,"CT_349",28.52,39544.6,53438.8,35.2777,35.2437754098361
"63",2021-05-16 18:31:00,"CT_349",28.52,39582.6,53490.2,35.3159,35.2819754098361
"64",2021-05-16 18:31:30,"CT_349",28.52,38588.7,52145.2,34.3186,34.2846754098361
"65",2021-05-16 18:32:00,"CT_349",28.52,37407.9,50547.3,33.1398,33.1058754098361
"66",2021-05-16 18:32:30,"CT_349",28.52,35717.5,48260.1,31.4637,31.4297754098361
"67",2021-05-16 18:33:00,"CT_349",28.52,35832.4,48415.5,31.5772,31.5432754098361
"68",2021-05-16 18:33:30,"CT_349",28.52,35711.6,48252.1,31.4578,31.4238754098361
"69",2021-05-16 18:34:00,"CT_349",28.51,35617.7,48134.2,31.3718,31.3378754098361
"70",2021-05-16 18:34:30,"CT_349",28.51,35661.6,48193.6,31.4151,31.3811754098361
"71",2021-05-16 18:35:00,"CT_349",28.52,35649.9,48168.6,31.3969,31.3629754098361
"72",2021-05-16 18:35:30,"CT_349",28.52,35611.8,48117.1,31.3593,31.3253754098361
"73",2021-05-16 18:36:00,"CT_349",28.52,35614.7,48121,31.3622,31.3282754098361
"74",2021-05-16 18:36:30,"CT_349",28.51,35579.6,48082.6,31.3342,31.3002754098361
"75",2021-05-16 18:37:00,"CT_349",28.52,35603,48105.2,31.3506,31.3166754098361
"76",2021-05-16 18:37:30,"CT_349",28.51,35582.6,48086.7,31.3371,31.3031754098361
"77",2021-05-16 18:38:00,"CT_349",28.51,35579.6,48082.6,31.3342,31.3002754098361
"78",2021-05-16 18:38:30,"CT_349",28.49,35257.5,47664.8,31.0296,30.9956754098361
"79",2021-05-16 18:39:00,"CT_349",28.48,35468.8,47959.9,31.2447,31.2107754098361
"80",2021-05-16 18:39:30,"CT_349",28.48,35454.3,47940.3,31.2304,31.1964754098361
"81",2021-05-16 18:40:00,"CT_349",28.49,35538.8,48045.6,31.3072,31.2732754098361
"82",2021-05-16 18:40:30,"CT_349",28.51,35696.9,48241.3,31.45,31.4160754098361
"83",2021-05-16 18:41:00,"CT_349",28.51,35691,48233.4,31.4442,31.4102754098361
"84",2021-05-16 18:41:30,"CT_349",28.49,35664.6,48215.9,31.4314,31.3974754098361
"85",2021-05-16 18:42:00,"CT_349",28.49,35632.3,48172.2,31.3995,31.3655754098361
"86",2021-05-16 18:42:30,"CT_349",28.48,35626.5,48173.4,31.4004,31.3664754098361
"87",2021-05-16 18:43:00,"CT_349",28.49,35632.3,48172.2,31.3995,31.3655754098361
"88",2021-05-16 18:43:30,"CT_349",28.49,35685.1,48243.6,31.4517,31.4177754098361
"89",2021-05-16 18:44:00,"CT_349",28.49,35620.6,48156.3,31.3879,31.3539754098361
"90",2021-05-16 18:44:30,"CT_349",28.49,35632.3,48172.2,31.3995,31.3655754098361
"91",2021-05-16 18:45:00,"CT_349",28.48,35702.7,48276.6,31.4757,31.4417754098361
"92",2021-05-16 18:45:30,"CT_349",28.48,35688.1,48256.8,31.4613,31.4273754098361
"93",2021-05-16 18:46:00,"CT_349",28.48,35673.4,48236.9,31.4468,31.4128754098361
"94",2021-05-16 18:46:30,"CT_349",28.48,35652.8,48209,31.4264,31.3924754098361
"95",2021-05-16 18:47:00,"CT_349",28.48,35676.3,48240.9,31.4496,31.4156754098361
"96",2021-05-16 18:47:30,"CT_349",28.48,35688.1,48256.8,31.4613,31.4273754098361
"97",2021-05-16 18:48:00,"CT_349",28.48,35691,48260.8,31.4642,31.4302754098361
"98",2021-05-16 18:48:30,"CT_349",28.48,35699.8,48272.7,31.4729,31.4389754098361
"99",2021-05-16 18:49:00,"CT_349",28.48,35711.6,48288.7,31.4845,31.4505754098361
"100",2021-05-16 18:49:30,"CT_349",28.47,35679.2,48253.9,31.4592,31.4252754098361
"101",2021-05-16 18:50:00,"CT_349",28.47,35685.1,48261.9,31.465,31.4310754098361
"102",2021-05-16 18:50:30,"CT_349",28.48,35699.8,48272.7,31.4729,31.4389754098361
"103",2021-05-16 18:51:00,"CT_349",28.47,35699.8,48281.8,31.4795,31.4455754098361
