Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Thoron In Water [Dpm/L],Thoron In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
154,05/15/21 09:36, 21, 05, 15, 09, 36,3,4.6,100.0,0.0,0.0,0.0, 2218, 9,30.8, 5, 2,6.33, 50, 134,2.6192300,5.2384590, 255,13,01,0.00,Sniff,6,12,0,16,1.0,2.1,0,28,27.6,0.00,0.00,3,0,0,0,0,0.652,0.00,0.00,0.00,0.00,
155,05/15/21 09:41, 21, 05, 15, 09, 41,8,4.6,75.0,0.0,12.5,0.0, 2218, 8,31.1, 5, 2,6.33, 50, 134,5.2950900,6.4348620, 255,13,02,0.167,Sniff,12,14,0,16,2.1,2.5,0,28,27.5,0.308,1.19,6,0,1,0,1,1.30,0.00,0.217,0.00,0.217,
156,05/15/21 09:46, 21, 05, 15, 09, 46,5,4.6,100.0,0.0,0.0,0.0, 2218, 8,31.4, 5, 2,6.33, 50, 134,4.3888530,6.0557210, 255,13,03,0.00,Sniff,10,14,0,16,1.7,2.3,0,27,28.0,0.00,0.00,5,0,0,0,0,1.09,0.00,0.00,0.00,0.00,
157,05/15/21 09:51, 21, 05, 15, 09, 51,5,4.6,80.0,20.0,0.0,0.0, 2218, 8,31.7, 5, 2,6.33, 50, 134,3.5110830,5.6810500, 255,13,04,0.00,Sniff,8,13,4,19,1.4,2.2,7,33,28.0,0.00,0.00,4,1,0,0,0,0.870,0.217,0.00,0.00,0.00,
158,05/15/21 09:56, 21, 05, 15, 09, 56,6,4.6,66.7,0.0,33.3,0.0, 2218, 9,32.0, 5, 2,6.30, 50, 134,3.5110830,5.6810500, 255,13,05,0.499,Sniff,8,13,0,16,1.4,2.2,0,27,28.0,0.435,1.67,4,0,2,0,0,0.870,0.00,0.434,0.00,0.00,
159,05/15/21 10:01, 21, 05, 15, 10, 01,9,4.6,55.6,0.0,44.5,0.0, 2218, 9,32.3, 5, 2,6.33, 50, 134,4.4125770,6.0884540, 255,13,06,0.800,Sniff,10,14,0,16,1.7,2.3,0,27,28.6,0.616,2.32,5,0,4,0,0,1.09,0.00,0.871,0.00,0.00,
160,05/15/21 10:06, 21, 05, 15, 10, 06,4,4.6,75.0,0.0,25.0,0.0, 2218, 8,32.3, 5, 2,6.33, 50, 134,2.6333120,5.2666230, 255,13,07,0.333,Sniff,6,12,0,16,1.0,2.0,0,27,28.5,0.308,1.16,3,0,1,0,0,0.652,0.00,0.217,0.00,0.00,
161,05/15/21 10:11, 21, 05, 15, 10, 11,3,4.6,33.3,0.0,66.7,0.0, 2218, 8,32.6, 5, 2,6.30, 50, 134,0.8777706,4.2382520, 255,13,08,2.00,Sniff,2.0,9.5,0,16,0.3,1.6,0,27,28.5,0.435,1.65,1,0,2,0,0,0.217,0.00,0.435,0.00,0.00,
162,05/15/21 10:16, 21, 05, 15, 10, 16,4,4.6,75.0,0.0,25.0,0.0, 2218, 8,32.9, 5, 2,6.30, 50, 134,2.6333120,5.2666230, 255,13,09,0.333,Sniff,6,12,0,16,1.0,2.0,0,27,28.5,0.308,1.16,3,0,1,0,0,0.652,0.00,0.217,0.00,0.00,
163,05/15/21 10:21, 21, 05, 15, 10, 21,4,4.6,25.0,50.0,25.0,0.0, 2201, 9,33.2, 5, 2,6.30, 50, 134,0.8825151,4.2611600, 255,13,10,1.00,Sniff,2.0,9.5,8,22,0.3,1.6,13,37,28.5,0.308,1.16,1,2,1,0,0,0.217,0.435,0.217,0.00,0.00,
164,05/15/21 10:26, 21, 05, 15, 10, 26,2,4.6,0.0,0.0,100.0,0.0, 2218, 9,33.2, 5, 2,6.33, 50, 134,0.0000000,3.5300600, 255,13,11,N/A,Sniff,0.0,7.9,0,16,0.0,1.3,0,27,28.5,0.435,1.65,0,0,2,0,0,0.00,0.00,0.435,0.00,0.00,
165,05/15/21 10:31, 21, 05, 15, 10, 31,3,4.6,0.0,0.0,100.0,0.0, 2218, 9,33.5, 5, 2,6.33, 50, 134,0.0000000,3.5300600, 255,13,12,N/A,Sniff,0.0,7.9,0,16,0.0,1.3,0,27,28.5,0.533,2.02,0,0,3,0,0,0.00,0.00,0.652,0.00,0.00,
166,05/15/21 10:36, 21, 05, 15, 10, 36,7,4.6,28.6,0.0,71.4,0.0, 2201, 9,33.5, 5, 2,6.33, 50, 134,1.7650300,4.8221520, 255,13,13,2.50,Sniff,4,11,0,16,0.7,1.8,0,27,28.5,0.688,2.60,2,0,5,0,0,0.435,0.00,1.09,0.00,0.00,
167,05/15/21 10:41, 21, 05, 15, 10, 41,5,4.6,0.0,20.0,60.0,0.0, 2236, 9,33.9, 5, 2,6.30, 50, 134,0.0000000,3.5300600, 255,13,14,N/A,Sniff,0.0,7.9,4,19,0.0,1.3,6,32,28.6,0.533,2.01,0,1,3,0,1,0.00,0.217,0.652,0.00,0.217,
168,05/15/21 10:46, 21, 05, 15, 10, 46,5,4.6,20.0,20.0,40.0,0.0, 2201, 9,34.2, 5, 2,6.30, 50, 134,0.8825151,4.2611600, 255,13,15,2.00,Sniff,2.0,9.5,4,19,0.3,1.6,7,32,28.6,0.435,1.64,1,1,2,0,1,0.217,0.217,0.435,0.00,0.217,
