Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Thoron In Water [Dpm/L],Thoron In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
223,05/15/21 09:35, 21, 05, 15, 09, 35,2,4.6,0.0,50.0,0.0,0.0, 2218, 9,31.4, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,01,N/A,Sniff,0.0,8.3,0,20,0.0,1.4,7,34,29.0,0.00,0.00,0,1,0,0,1,0.00,0.217,0.00,0.00,0.217,
224,05/15/21 09:40, 21, 05, 15, 09, 40,3,4.6,33.3,0.0,0.0,0.0, 2218, 9,31.7, 9, 1,6.18, 50, 134,0.9269561,4.4757390, 255,23,02,0.00,Sniff,0,10,0,17,0.3,1.7,0,28,29.0,0.00,0.00,1,0,0,0,2,0.217,0.00,0.00,0.00,0.435,
225,05/15/21 09:45, 21, 05, 15, 09, 45,1,4.6,100.0,0.0,0.0,0.0, 2201, 9,32.0, 9, 1,6.15, 50, 134,0.9269561,4.4757390, 255,23,03,0.00,Sniff,0,10,0,17,0.4,1.7,0,28,29.0,0.00,0.00,1,0,0,0,0,0.217,0.00,0.00,0.00,0.00,
226,05/15/21 09:50, 21, 05, 15, 09, 50,1,4.6,0.0,0.0,100.0,0.0, 2218, 9,32.0, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,04,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,29.0,0.346,1.29,0,0,1,0,0,0.00,0.00,0.217,0.00,0.00,
227,05/15/21 09:55, 21, 05, 15, 09, 55,1,4.6,0.0,100.0,0.0,0.0, 2218, 9,32.3, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,05,N/A,Sniff,0.0,8.3,0,20,0.0,1.4,7,34,29.0,0.00,0.00,0,1,0,0,0,0.00,0.217,0.00,0.00,0.00,
228,05/15/21 10:00, 21, 05, 15, 10, 00,1,4.6,0.0,100.0,0.0,0.0, 2218, 8,32.6, 10, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,06,N/A,Sniff,0.0,8.3,0,20,0.0,1.4,7,34,28.9,0.00,0.00,0,1,0,0,0,0.00,0.217,0.00,0.00,0.00,
229,05/15/21 10:05, 21, 05, 15, 10, 05,0,4.6,0.0,0.0,0.0,0.0, 2218, 9,32.6, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,07,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.6,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
230,05/15/21 10:10, 21, 05, 15, 10, 10,0,4.6,0.0,0.0,0.0,0.0, 2218, 9,32.9, 10, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,08,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,29.0,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
231,05/15/21 10:15, 21, 05, 15, 10, 15,2,4.6,50.0,50.0,0.0,0.0, 2218, 9,33.2, 10, 1,6.18, 50, 134,0.9269561,4.4757390, 255,23,09,0.00,Sniff,0,10,0,20,0.4,1.7,7,34,29.0,0.00,0.00,1,1,0,0,0,0.217,0.217,0.00,0.00,0.00,
232,05/15/21 10:20, 21, 05, 15, 10, 20,0,4.6,0.0,0.0,0.0,0.0, 2201, 9,33.8, 10, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,10,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.8,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
233,05/15/21 10:25, 21, 05, 15, 10, 25,2,4.6,0.0,0.0,50.0,0.0, 2218, 9,34.5, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,11,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.8,0.346,1.30,0,0,1,0,1,0.00,0.00,0.217,0.00,0.217,
234,05/15/21 10:30, 21, 05, 15, 10, 30,0,4.6,0.0,0.0,0.0,0.0, 2201, 9,34.8, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,12,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.8,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
235,05/15/21 10:35, 21, 05, 15, 10, 35,1,4.6,100.0,0.0,0.0,0.0, 2201, 9,35.1, 10, 1,6.18, 50, 134,0.9269561,4.4757390, 255,23,13,0.00,Sniff,0,10,0,17,0.4,1.7,0,28,28.9,0.00,0.00,1,0,0,0,0,0.217,0.00,0.00,0.00,0.00,
236,05/15/21 10:40, 21, 05, 15, 10, 40,0,4.6,0.0,0.0,0.0,0.0, 2218, 9,35.7, 10, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,14,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,29.0,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
237,05/15/21 10:45, 21, 05, 15, 10, 45,1,4.6,100.0,0.0,0.0,0.0, 2218, 9,36.3, 10, 1,6.18, 50, 134,0.9269561,4.4757390, 255,23,15,0.00,Sniff,0,10,0,17,0.4,1.7,0,28,29.0,0.00,0.00,1,0,0,0,0,0.217,0.00,0.00,0.00,0.00,
238,05/15/21 10:50, 21, 05, 15, 10, 50,1,4.6,100.0,0.0,0.0,0.0, 2218, 9,36.9, 9, 1,6.15, 50, 134,0.9269561,4.4757390, 255,23,16,0.00,Sniff,0,10,0,17,0.4,1.7,0,28,28.9,0.00,0.00,1,0,0,0,0,0.217,0.00,0.00,0.00,0.00,
239,05/15/21 10:55, 21, 05, 15, 10, 55,1,4.6,0.0,0.0,100.0,0.0, 2218, 9,37.5, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,17,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.8,0.346,1.30,0,0,1,0,0,0.00,0.00,0.217,0.00,0.00,
240,05/15/21 11:00, 21, 05, 15, 11, 00,0,4.6,0.0,0.0,0.0,0.0, 2218, 9,37.8, 9, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,18,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.9,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
241,05/15/21 11:05, 21, 05, 15, 11, 05,1,4.6,0.0,0.0,100.0,0.0, 2218, 9,38.1, 12, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,19,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.7,0.346,1.30,0,0,1,0,0,0.00,0.00,0.217,0.00,0.00,
242,05/15/21 11:10, 21, 05, 15, 11, 10,1,4.6,0.0,100.0,0.0,0.0, 2218, 9,38.4, 13, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,20,N/A,Sniff,0.0,8.3,0,20,0.0,1.4,7,34,28.5,0.00,0.00,0,1,0,0,0,0.00,0.217,0.00,0.00,0.00,
243,05/15/21 11:15, 21, 05, 15, 11, 15,0,4.6,0.0,0.0,0.0,0.0, 2218, 9,38.7, 13, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,21,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,28.8,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
244,05/15/21 11:20, 21, 05, 15, 11, 20,1,4.6,0.0,0.0,0.0,0.0, 2218, 9,38.7, 13, 1,6.15, 50, 134,0.0000000,3.7078250, 255,23,22,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,29.0,0.00,0.00,0,0,0,0,1,0.00,0.00,0.00,0.00,0.217,
245,05/15/21 11:25, 21, 05, 15, 11, 25,2,4.6,50.0,0.0,50.0,0.0, 2218, 9,39.0, 14, 1,6.18, 50, 134,0.9269561,4.4757390, 255,23,23,1.00,Sniff,0,10,0,17,0.4,1.7,0,28,29.0,0.346,1.29,1,0,1,0,0,0.217,0.00,0.217,0.00,0.00,
246,05/15/21 11:30, 21, 05, 15, 11, 30,4,4.6,75.0,25.0,0.0,0.0, 2201, 10,39.3, 13, 1,6.18, 50, 134,2.7808680,5.5617370, 255,23,24,0.00,Sniff,6,12,0,20,1.1,2.1,7,34,29.0,0.00,0.00,3,1,0,0,0,0.652,0.217,0.00,0.00,0.00,
247,05/15/21 11:35, 21, 05, 15, 11, 35,1,4.6,0.0,100.0,0.0,0.0, 2236, 9,39.9, 13, 1,6.15, 50, 134,0.0000000,3.7078250, 255,23,25,N/A,Sniff,0.0,8.3,0,20,0.0,1.4,7,34,29.0,0.00,0.00,0,1,0,0,0,0.00,0.217,0.00,0.00,0.00,
248,05/15/21 11:40, 21, 05, 15, 11, 40,4,4.6,75.0,0.0,25.0,0.0, 2218, 9,40.2, 13, 1,6.18, 50, 134,2.7808680,5.5617370, 255,23,26,0.333,Sniff,6,12,0,17,1.1,2.1,0,28,29.0,0.346,1.29,3,0,1,0,0,0.652,0.00,0.217,0.00,0.00,
249,05/15/21 11:45, 21, 05, 15, 11, 45,2,4.6,100.0,0.0,0.0,0.0, 2218, 9,40.5, 13, 1,6.21, 50, 134,1.8539120,5.0649810, 255,23,27,0.00,Sniff,4,11,0,17,0.7,1.9,0,28,29.0,0.00,0.00,2,0,0,0,0,0.435,0.00,0.00,0.00,0.00,
250,05/15/21 11:50, 21, 05, 15, 11, 50,3,4.6,0.0,0.0,66.7,0.0, 2218, 9,40.8, 13, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,28,N/A,Sniff,0.0,8.3,0,17,0.0,1.4,0,28,29.0,0.489,1.83,0,0,2,0,1,0.00,0.00,0.435,0.00,0.217,
251,05/15/21 11:56, 21, 05, 15, 11, 56,2,4.6,100.0,0.0,0.0,0.0, 2218, 9,41.2, 12, 1,6.15, 50, 134,1.8539120,5.0649810, 255,23,29,0.00,Sniff,4,11,0,17,0.7,1.9,0,28,29.3,0.00,0.00,2,0,0,0,0,0.435,0.00,0.00,0.00,0.00,
252,05/15/21 12:01, 21, 05, 15, 12, 01,3,4.6,100.0,0.0,0.0,0.0, 2236, 9,41.5, 13, 1,6.18, 50, 134,2.7808680,5.5617370, 255,23,30,0.00,Sniff,6,12,0,17,1.0,2.1,0,27,29.8,0.00,0.00,3,0,0,0,0,0.652,0.00,0.00,0.00,0.00,
253,05/15/21 13:47, 21, 05, 15, 13, 47,3,3.6,100.0,0.0,0.0,0.0, 2218, 9,38.7, 12, 1,6.15, 50, 134,3.5186490,7.0372980, 255,23,31,0.00,Sniff,8,16,0,21,1.3,2.6,0,35,30.5,0.00,0.00,3,0,0,0,0,0.833,0.00,0.00,0.00,0.00,
254,05/15/21 13:52, 21, 05, 15, 13, 52,7,3.5,14.3,42.9,14.3,0.0, 2236, 9,38.7, 11, 1,6.15, 50, 134,1.2227930,5.9041660, 255,23,32,1.00,Sniff,3,13,16,33,0.4,2.1,27,53,30.5,0.455,1.64,1,3,1,0,2,0.286,0.858,0.286,0.00,0.570,
255,05/15/21 13:57, 21, 05, 15, 13, 57,2,4.6,0.0,100.0,0.0,0.0, 2218, 9,38.4, 12, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,33,N/A,Sniff,0.0,8.3,8,23,0.0,1.3,13,37,30.6,0.00,0.00,0,2,0,0,0,0.00,0.435,0.00,0.00,0.00,
256,05/15/21 14:02, 21, 05, 15, 14, 02,6,4.6,0.0,33.3,0.0,0.0, 2218, 9,38.4, 12, 1,6.18, 50, 134,0.0000000,3.7078250, 255,23,34,N/A,Sniff,0.0,8.3,8,23,0.0,1.4,14,37,30.5,0.00,0.00,0,2,0,0,4,0.00,0.434,0.00,0.00,0.870,
257,05/15/21 14:07, 21, 05, 15, 14, 07,4,4.6,25.0,0.0,50.0,0.0, 2218, 9,38.4, 11, 1,6.15, 50, 134,0.9269561,4.4757390, 255,23,35,2.00,Sniff,0,10,0,17,0.3,1.6,0,27,30.5,0.489,1.76,1,0,2,0,1,0.217,0.00,0.435,0.00,0.217,
258,05/15/21 14:12, 21, 05, 15, 14, 12,6,4.6,33.3,0.0,66.7,0.0, 2218, 9,38.1, 9, 1,6.18, 50, 134,1.8639330,5.0923580, 255,23,36,2.00,Sniff,4,11,0,17,0.7,1.8,0,27,30.5,0.692,2.49,2,0,4,0,0,0.434,0.00,0.870,0.00,0.00,
259,05/15/21 14:17, 21, 05, 15, 14, 17,7,4.6,28.6,42.9,28.6,0.0, 2218, 10,37.8, 11, 1,6.15, 50, 134,1.8639330,5.0923580, 255,23,37,1.00,Sniff,4,11,12,25,0.7,1.8,20,41,30.6,0.489,1.76,2,3,2,0,0,0.435,0.653,0.435,0.00,0.00,
260,05/15/21 14:22, 21, 05, 15, 14, 22,7,4.6,57.2,0.0,42.9,0.0, 2201, 9,37.8, 11, 1,6.15, 50, 134,3.7278660,6.0318130, 255,23,38,0.750,Sniff,8,13,0,17,1.3,2.2,0,27,30.8,0.599,2.15,4,0,3,0,0,0.870,0.00,0.653,0.00,0.00,
261,05/15/21 14:27, 21, 05, 15, 14, 27,3,4.6,33.3,33.3,33.3,0.0, 2218, 9,37.5, 12, 1,6.18, 50, 134,0.9269561,4.4757390, 255,23,39,1.00,Sniff,0,10,0,20,0.3,1.6,7,32,30.9,0.346,1.24,1,1,1,0,0,0.217,0.217,0.217,0.00,0.000652,
262,05/15/21 14:32, 21, 05, 15, 14, 32,4,4.6,25.0,25.0,50.0,0.0, 2218, 9,37.2, 12, 1,6.15, 50, 134,0.9269561,4.4757390, 255,23,40,2.00,Sniff,0,10,0,20,0.3,1.6,6,32,31.0,0.489,1.74,1,1,2,0,0,0.217,0.217,0.435,0.00,0.00,
263,05/15/21 14:37, 21, 05, 15, 14, 37,7,4.6,57.2,0.0,42.9,0.0, 2218, 9,37.2, 12, 1,6.15, 50, 134,3.7278660,6.0318130, 255,23,41,0.750,Sniff,8,13,0,17,1.3,2.2,0,27,30.8,0.599,2.15,4,0,3,0,0,0.870,0.00,0.653,0.00,0.00,
264,05/15/21 14:42, 21, 05, 15, 14, 42,7,4.6,57.2,0.0,28.6,0.0, 2218, 9,36.9, 12, 1,6.18, 50, 134,3.7278660,6.0318130, 255,23,42,0.500,Sniff,8,13,0,17,1.3,2.2,0,27,31.0,0.489,1.74,4,0,2,0,1,0.870,0.00,0.435,0.00,0.216,
