Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Run #,Cycle #,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
073,05/14/21 16:43, 21, 05, 14, 16, 43,1, 2218, 30,27.7, 6,0.0000000,3.5950220,02,01,0.0,8.1,0.0,1.4,28.5,
074,05/14/21 16:48, 21, 05, 14, 16, 48,2, 1599, 100,27.4, 6,0.0000000,3.6143500,02,02,0.0,8.1,0.0,1.4,28.5,
075,05/14/21 16:53, 21, 05, 14, 16, 53,1, 1462, 100,27.4, 6,0.9084714,4.3864880,02,03,2.0,9.8,0.3,1.7,28.5,
076,05/14/21 16:58, 21, 05, 14, 16, 58,0, 1513, 100,27.7, 5,0.0000000,3.6338860,02,04,0.0,8.1,0.0,1.4,28.5,
077,05/14/21 17:03, 21, 05, 14, 17, 03,1, 2201, 47,27.7, 5,0.9035874,4.3629060,02,05,2.0,9.8,0.3,1.7,28.5,
078,05/14/21 17:08, 21, 05, 14, 17, 08,2, 1634, 100,27.7, 5,0.9084714,4.3864880,02,06,2.0,9.8,0.3,1.7,28.5,
079,05/14/21 17:13, 21, 05, 14, 17, 13,3, 2201, 41,27.7, 5,2.7254150,5.4508300,02,07,6,12,1.0,2.1,28.5,
080,05/14/21 17:18, 21, 05, 14, 17, 18,3, 2201, 30,27.7, 5,1.8071750,4.9372930,02,08,4,11,0.7,1.9,28.5,
081,05/14/21 17:23, 21, 05, 14, 17, 23,2, 2201, 34,27.4, 5,0.9035874,4.3629060,02,09,2.0,9.8,0.3,1.7,28.5,
082,05/14/21 17:28, 21, 05, 14, 17, 28,5, 2218, 27,27.4, 5,2.7254150,5.4508300,02,10,6,12,1.0,2.1,28.5,
083,05/14/21 17:33, 21, 05, 14, 17, 33,2, 1943, 67,27.4, 5,0.0000000,3.6338860,02,11,0.0,8.1,0.0,1.4,28.5,
084,05/14/21 17:38, 21, 05, 14, 17, 38,2, 2218, 24,27.4, 5,0.9084714,4.3864880,02,12,2.0,9.8,0.3,1.7,28.5,
085,05/14/21 17:43, 21, 05, 14, 17, 43,5, 2201, 22,27.4, 5,0.0000000,3.6338860,02,13,0.0,8.1,0.0,1.4,28.5,
086,05/14/21 17:48, 21, 05, 14, 17, 48,1, 2201, 22,27.1, 5,0.9084714,4.3864880,02,14,2.0,9.8,0.3,1.7,28.5,
087,05/14/21 17:53, 21, 05, 14, 17, 53,2, 2218, 20,27.1, 4,0.0000000,3.6338860,02,15,0.0,8.1,0.0,1.4,28.5,
088,05/14/21 17:58, 21, 05, 14, 17, 58,0, 2201, 20,27.1, 4,0.0000000,3.6143500,02,16,0.0,8.1,0.0,1.4,28.5,
089,05/14/21 18:03, 21, 05, 14, 18, 03,1, 2218, 18,27.1, 5,0.0000000,3.6143500,02,17,0.0,8.1,0.0,1.4,28.5,
090,05/14/21 18:08, 21, 05, 14, 18, 08,3, 2218, 18,26.8, 5,0.0000000,3.6338860,02,18,0.0,8.1,0.0,1.4,28.5,
091,05/14/21 18:13, 21, 05, 14, 18, 13,2, 2201, 18,26.8, 4,0.9035874,4.3629060,02,19,2.0,9.8,0.3,1.7,28.5,
092,05/14/21 18:18, 21, 05, 14, 18, 18,1, 2218, 17,26.8, 5,0.0000000,3.6143500,02,20,0.0,8.1,0.0,1.4,28.5,
093,05/14/21 18:23, 21, 05, 14, 18, 23,1, 756, 100,26.4, 4,0.9084714,4.3864880,02,21,2.0,9.8,0.3,1.7,28.5,
094,05/14/21 18:28, 21, 05, 14, 18, 28,2, 1152, 100,26.4, 5,1.8169430,4.9639800,02,22,4,11,0.7,1.9,28.5,
095,05/14/21 18:33, 21, 05, 14, 18, 33,1, 1634, 100,26.4, 4,0.9084714,4.3864880,02,23,2.0,9.8,0.3,1.7,28.5,
096,05/14/21 18:38, 21, 05, 14, 18, 38,0, 2201, 33,26.4, 4,0.0000000,3.6338860,02,24,0.0,8.1,0.0,1.4,28.5,
097,05/14/21 18:43, 21, 05, 14, 18, 43,13, 2218, 24,26.4, 4,8.1762430,7.5626220,02,25,18,17,3.1,2.9,28.3,
098,05/14/21 18:48, 21, 05, 14, 18, 48,21, 2218, 23,26.1, 4,17.2609600,9.9425570,02,26,39,22,6.8,3.9,26.9,
099,05/14/21 18:53, 21, 05, 14, 18, 53,13, 2218, 25,26.1, 4,9.9931860,8.1110180,02,27,22,18,4.1,3.3,25.2,
100,05/14/21 18:58, 21, 05, 14, 18, 58,12, 2201, 21,26.1, 4,9.9931860,8.1110180,02,28,22,18,4.2,3.4,24.5,
101,05/14/21 19:03, 21, 05, 14, 19, 03,2, 2201, 18,26.1, 4,0.0000000,3.6338860,02,29,0.0,8.1,0.0,1.5,24.1,
102,05/14/21 19:05, 21, 05, 14, 19, 05,4, 2201, 17,26.1, 4,0.0000000,11.7941900,02,30,0,27,0.0,5.1,24.0,
