LoggerID,date,time_cal,cond_HL,cond_uS,EC_SC,temp_HL,temp_C,sal_psu
340,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
342,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
354,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
352,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
355,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
337,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
330,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
515,8/11/21,16:40,H,56655,EC,H,27.2,35.97
329,8/11/21,16:40,H,56655,EC,H,27.2,35.97
346,8/11/21,16:40,H,56655,EC,H,27.2,35.97
317,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
333,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
332,8/11/21,16:40,H,56655,EC,H,27.2,35.97
350,8/11/21,16:40,H,56655,EC,H,27.2,35.97
341,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
334,8/11/21,20:00:00,H,58102,EC,H,27.3,36.83
347,8/11/21,16:40,H,56655,EC,H,27.2,35.97
325,8/11/21,16:40,H,56655,EC,H,27.2,35.97
321,8/11/21,16:40,H,56655,EC,H,27.2,35.97
345,8/11/21,16:40,H,56655,EC,H,27.2,35.97
