TrisCalDate,TTris,mVTris,HOBO_Orion,Serial
7/18/22,22.302,-81.7,Orion,NA
7/18/22,23.24,-80.3,Orion,NA
7/18/22,24.2,-79,Orion,NA
7/18/22,25.3,-77.4,Orion,NA
7/18/22,26.217,-76.1,Orion,NA
7/18/22,27.241,-74.5,Orion,NA
7/18/22,27.935,-73.5,Orion,NA
7/18/22,29.069,-72,Orion,NA
7/26/22,23.22,-96.8,HOBO,196
7/26/22,23.89,-95.64,HOBO,196
7/26/22,25.25,-94.02,HOBO,196
7/26/22,26,-92.46,HOBO,196
7/26/22,28.01,-90.61,HOBO,196
7/26/22,29.6,-88.74,HOBO,196
7/26/22,30.56,-87.39,HOBO,196
7/26/22,31.09,-86.49,HOBO,196
