SampleID,DateTime,TempInLab,mV
RockWall_SGD_3,6/16/2022 13:30,25.043,-79.1
Reef_Ambient_1,6/17/2022 2:00,24.955,-75.5
Sand_Ambient_2,6/16/2022 20:00,24.984,-78.7
LowSGD,6/17/2022 2:00,24.997,-75
Reef_SGD_3,6/17/2022 2:00,24.956,-75.1
Sand_Ambient_1,6/16/2022 7:30,24.966,-72.6
RockWall_SGD_1,6/17/2022 2:00,24.946,-77.4
Reef_Ambient_2,6/16/2022 20:00,24.965,-78.8
Sand_Ambient_1,6/16/2022 20:00,24.95,-78
Sand_SGD_3,6/16/2022 20:00,25.009,-31.8
