KorDSS MEASUREMENT DATA FILE EXPORT

FILE CREATED:,5/22/2021 7:20:33 AM


DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),pH,pH (mV),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L)
5/21/2021,4:39:17 PM,<None>,,-17.54129 °,-149.89793 °,757.3,59705.8,55180.4,36.45,54682.7,35867,84.7,23.1,23.1,13.19,-508.7,134.1,8.39,0.94,0
5/21/2021,4:39:52 PM,<None>,,-17.54125 °,-149.89803 °,757.3,59704.3,55172.4,36.44,54673.9,35862,84.7,23.0,23.0,13.02,-500.8,135.2,8.46,4.89,0
5/21/2021,4:40:39 PM,<None>,,-17.54116 °,-149.89818 °,757.3,59774.7,55257.4,36.51,54760.6,35917,84.7,23.1,23.1,12.81,-490.7,135.5,8.48,0.87,0
5/21/2021,4:43:17 PM,<None>,,-17.54087 °,-149.89851 °,757.3,59741.0,55211.3,36.47,54713.0,35887,84.7,23.1,23.1,12.45,-474.1,136.5,8.54,1.02,0
5/21/2021,4:43:33 PM,<None>,,-17.54085 °,-149.89856 °,757.3,59764.5,55211.9,36.47,54711.0,35888,84.8,23.1,23.1,12.42,-472.9,136.6,8.55,0.99,0
5/21/2021,4:43:49 PM,<None>,,-17.54082 °,-149.89859 °,757.3,59751.4,55209.0,36.47,54709.3,35886,84.8,23.1,23.1,12.41,-472.3,136.6,8.55,0.95,0
5/21/2021,4:44:15 PM,<None>,,-17.54078 °,-149.89862 °,757.3,59735.3,55208.0,36.47,54710.1,35885,84.7,23.1,23.1,12.39,-471.6,136.6,8.55,1.05,0
5/21/2021,4:44:53 PM,<None>,,-17.54076 °,-149.89873 °,757.2,59778.1,55227.5,36.49,54726.9,35898,84.8,23.1,23.1,12.34,-468.9,136.6,8.54,0.96,0
5/21/2021,4:45:08 PM,<None>,,-17.54075 °,-149.89876 °,757.3,59779.0,55224.9,36.48,54723.8,35896,84.8,23.1,23.1,12.31,-467.8,136.7,8.55,1.07,0
5/21/2021,4:46:01 PM,<None>,,-17.54070 °,-149.89886 °,757.2,59769.7,55233.1,36.49,54734.1,35902,84.7,23.1,23.1,12.25,-465.0,136.4,8.53,0.92,0
5/21/2021,4:46:26 PM,<None>,,-17.54068 °,-149.89894 °,757.3,59782.1,55232.3,36.49,54731.7,35901,84.8,23.1,23.1,12.22,-463.6,136.7,8.55,0.83,0
5/21/2021,4:47:20 PM,<None>,,-17.54058 °,-149.89908 °,757.2,59793.1,55231.1,36.49,54729.1,35900,84.8,23.1,23.1,12.17,-461.3,137.0,8.57,0.99,0
5/21/2021,4:49:34 PM,<None>,,-17.54047 °,-149.89920 °,757.3,59774.9,55237.2,36.49,54738.0,35904,84.7,23.1,23.1,12.14,-459.8,136.6,8.55,1.98,0
