DATE,TIME,Who,LAT,LONG,BarmetricPressure_mmHg,Conductivity,SpecificConductivity,Salinity,TempF,percentDO,DO,TempC
5/13/2021,11:38:11 AM,Ben,-17.53995,-149.90036,759.1,68586,64511.9,43.56,83,112.3,6.86,28.3
5/13/2021,11:45:39 AM,Ben,-17.53962,-149.90041,758.8,68404.4,64319.7,43.41,83,111.2,6.8,28.3
5/13/2021,11:45:54 AM,Ben,-17.53962,-149.90042,758.8,68412.8,64330.7,43.42,83,111.1,6.79,28.3
5/13/2021,11:47:14 AM,Ben,-17.53961,-149.9005,758.8,68478.3,64409.3,43.48,83,113.2,6.92,28.3
5/13/2021,11:48:14 AM,Ben,-17.53956,-149.9005,758.8,68451.1,64371.9,43.45,83,112.7,6.89,28.3
5/13/2021,11:48:55 AM,Ben,-17.53959,-149.90051,758.8,68493.9,64426,43.5,83,113.9,6.96,28.3
5/13/2021,11:49:46 AM,Ben,-17.53965,-149.90053,758.8,68545.8,64473.1,43.53,83,114.9,7.03,28.3
5/13/2021,11:50:38 AM,Ben,-17.5397,-149.90053,758.9,68570.1,64479.8,43.54,83,115.3,7.05,28.3
5/13/2021,11:51:30 AM,Ben,-17.53976,-149.90054,758.9,68662.1,64538.5,43.58,83,116.4,7.11,28.3
5/13/2021,11:52:30 AM,Ben,-17.53985,-149.90056,758.8,68925.1,64718.1,43.72,83.1,118.1,7.2,28.4
5/13/2021,11:53:30 AM,Ben,-17.53993,-149.90059,759,69012.3,64774.4,43.76,83.2,118.1,7.2,28.4
5/13/2021,11:54:18 AM,Ben,-17.53998,-149.90062,758.9,69094.6,64815.6,43.79,83.2,116.6,7.1,28.4
5/13/2021,11:54:50 AM,Ben,-17.54001,-149.90065,758.9,69071.4,64792.4,43.77,83.2,116.5,7.09,28.4
5/13/2021,11:55:23 AM,Ben,-17.54004,-149.90067,758.9,69047.9,64759.6,43.75,83.2,115.4,7.03,28.4
5/13/2021,11:55:53 AM,Ben,-17.54008,-149.9007,758.9,69084.3,64774.3,43.76,83.3,113.6,6.91,28.5
5/13/2021,11:56:11 AM,Ben,-17.5401,-149.9007,758.8,69095.3,64779,43.76,83.3,112.3,6.83,28.5
5/13/2021,11:56:58 AM,Ben,-17.54015,-149.90073,758.9,69218.3,64881,43.84,83.3,111.4,6.78,28.5
5/13/2021,11:57:47 AM,Ben,-17.5402,-149.90073,758.9,69231.5,64876.9,43.84,83.3,111.3,6.77,28.5
5/13/2021,11:58:30 AM,Ben,-17.54025,-149.90074,758.8,69239.9,64874.8,43.83,83.3,110.5,6.72,28.5
5/13/2021,11:59:27 AM,Ben,-17.54032,-149.90077,758.9,69269.1,64871,43.83,83.4,109.6,6.66,28.6
5/13/2021,12:00:01 PM,Ben,-17.54027,-149.90074,759,69251.9,64860.8,43.82,83.4,109.6,6.66,28.6
5/13/2021,12:00:35 PM,Ben,-17.54021,-149.90073,758.9,69235.5,64869.4,43.83,83.3,110.2,6.7,28.5
5/13/2021,12:01:20 PM,Ben,-17.54014,-149.90068,758.9,69213.7,64873.7,43.83,83.3,111,6.75,28.5
5/13/2021,12:02:48 PM,Ben,-17.54006,-149.90063,758.9,69174.3,64859.9,43.82,83.3,112.5,6.85,28.5
5/13/2021,12:08:01 PM,Ben,-17.53996,-149.90062,759,69072.7,64782.1,43.76,83.2,113.4,6.91,28.4
5/13/2021,12:08:54 PM,Ben,-17.53987,-149.90054,758.9,69054.4,64802.9,43.78,83.2,115,7.01,28.4
5/13/2021,12:09:55 PM,Ben,-17.53975,-149.90053,758.8,68707.3,64563.3,43.6,83,113.5,6.93,28.3
5/13/2021,12:10:16 PM,Ben,-17.53972,-149.9005,758.8,68591.5,64477.6,43.53,83,112.9,6.9,28.3
5/13/2021,12:10:47 PM,Ben,-17.5397,-149.90047,758.8,68532.2,64457.6,43.52,83,112.6,6.88,28.3
5/13/2021,12:11:18 PM,Ben,-17.53966,-149.90041,758.8,68488.8,64430.2,43.5,82.9,112.4,6.87,28.3
5/13/2021,12:11:33 PM,Ben,-17.53963,-149.90041,758.8,68463.9,64400.3,43.48,82.9,112.1,6.86,28.3
5/13/2021,12:11:47 PM,Ben,-17.53961,-149.90039,758.8,68419.9,64343,43.43,83,111.5,6.82,28.3
5/13/2021,12:12:01 PM,Ben,-17.53957,-149.90041,758.8,68384.8,64284.4,43.39,83,111,6.79,28.3
5/13/2021,12:12:12 PM,Ben,-17.53954,-149.90044,758.8,68344.8,64229.1,43.34,83,111.3,6.8,28.3
5/13/2021,12:12:41 PM,Ben,-17.53952,-149.90048,758.7,68069.5,63966.3,43.14,83,111.4,6.82,28.3
5/13/2021,12:12:55 PM,Ben,-17.5395,-149.90051,758.7,68071.3,63975.4,43.15,83,111.1,6.8,28.3
5/13/2021,12:13:09 PM,Ben,-17.53947,-149.90054,758.8,68137.8,64055.2,43.21,83,111.1,6.8,28.3
5/13/2021,12:13:22 PM,Ben,-17.53944,-149.90056,758.8,68132.7,64062.4,43.21,83,111.3,6.81,28.3
5/13/2021,12:13:35 PM,Ben,-17.53941,-149.90059,758.8,68116.5,64051.4,43.21,83,111.6,6.84,28.3
5/13/2021,12:13:49 PM,Ben,-17.53937,-149.9006,758.8,68176.2,64111.5,43.25,83,111.5,6.83,28.3
5/13/2021,12:14:01 PM,Ben,-17.53934,-149.90063,758.8,68202,64130,43.27,83,111.6,6.83,28.3
5/13/2021,12:14:15 PM,Ben,-17.5393,-149.90065,758.8,68183.3,64102.2,43.25,83,111.4,6.82,28.3
5/13/2021,12:14:36 PM,Ben,-17.53928,-149.9007,758.8,68177.1,64096.5,43.24,83,111.2,6.81,28.3
5/13/2021,12:14:52 PM,Ben,-17.53925,-149.90071,758.8,68196.9,64110.3,43.25,83,111.4,6.82,28.3
5/13/2021,12:15:09 PM,Ben,-17.53921,-149.90076,758.8,68195.1,64103.3,43.25,83,111.3,6.81,28.3
5/13/2021,12:15:22 PM,Ben,-17.53917,-149.90077,758.8,68178,64086.9,43.23,83,111.3,6.81,28.3
5/13/2021,12:15:34 PM,Ben,-17.53913,-149.9008,758.8,68126.8,64027.8,43.19,83,111.4,6.82,28.3
5/13/2021,12:15:49 PM,Ben,-17.5391,-149.90083,758.8,68059.1,63963.4,43.14,83,111.4,6.82,28.3
5/13/2021,12:16:04 PM,Ben,-17.53906,-149.90086,758.8,68066.4,63966,43.14,83,111.7,6.84,28.3
5/13/2021,12:16:18 PM,Ben,-17.53903,-149.90089,758.8,68017.7,63920.5,43.1,83,111.7,6.84,28.3
5/13/2021,12:16:32 PM,Ben,-17.539,-149.90091,758.7,67990.9,63903.5,43.09,83,111.9,6.85,28.3
