7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1643238600, +3.05, +30.424, +816.25537, +956.000, -16.000, +729.000
1643238720, +3.05, +30.416, +672.16206, +956.000, -12.000, +736.000
1643238840, +3.05, +30.408, +798.66059, +960.000, -20.000, +732.000
1643238960, +3.05, +30.392, +277.80286, +960.000, -20.000, +736.000
1643239080, +3.05, +30.424, +822.06766, +960.000, -16.000, +732.000
1643239200, +3.05, +30.400, +855.91642, +956.000, -16.000, +732.000
1643239320, +3.05, +30.384, +608.93911, +960.000, -16.000, +736.000
1643239440, +3.05, +30.392, +801.62711, +958.000, -16.000, +732.000
1643239560, +3.05, +30.376, +643.89954, +958.000, -24.000, +736.000
1643239680, +3.05, +30.376, +827.94498, +960.000, -16.000, +732.000
1643239800, +3.05, +30.384, +641.62355, +900.000, -32.000, +820.000
1643239920, +3.05, +30.376, +547.17466, +900.000, -32.000, +819.000
1643240040, +3.05, +30.368, +165.49597, +900.000, -32.000, +819.000
1643240160, +3.05, +30.360, +118.10586, +903.000, -32.000, +819.000
1643240280, +3.05, +30.352, +97.44236, +902.000, -32.000, +822.000
1643240400, +3.05, +30.328, +109.54381, +984.000, -46.000, +679.000
1643240520, +3.05, +30.320, +172.89991, +1000.000,  +7.000, +644.000
1643240640, +3.05, +30.288, +234.40425, +1004.000,  +6.000, +647.000
1643240760, +3.05, +30.263, +472.04225, +1004.000,  +4.000, +647.000
1643240880, +3.05, +30.255, +246.21152, +1000.000, +12.000, +638.000
1643241000, +3.05, +30.247, +785.42269, +1004.000,  +8.000, +640.000
1643241120, +3.05, +30.231, +155.72006, +1006.000,  +0.000, +649.000
1643241240, +3.05, +30.231, +179.59162, +1006.000,  +3.000, +646.000
1643241360, +3.05, +30.191, +299.10736, +1004.000,  +4.000, +643.000
1643241480, +3.05, +30.199, +220.43246, +1004.000,  +7.000, +643.000
1643241600, +3.05, +30.151, +182.56744, +1004.000,  +3.000, +648.000
1643241720, +3.05, +30.159, +151.99177, +1006.000,  +3.000, +646.000
1643241840, +3.05, +30.134, +143.22225, +1006.000,  +3.000, +646.000
1643241960, +3.05, +30.094, +150.05331, +1004.000, +12.000, +638.000
1643242080, +3.05, +30.070, +149.73746, +1004.000,  +0.000, +648.000
1643242200, +3.05, +30.062, +150.92345, +1008.000,  -8.000, +656.000
1643242320, +3.05, +30.013, +146.20736, +1004.000,  +0.000, +646.000
1643242440, +3.05, +30.021, +163.69686, +1006.000,  +0.000, +649.000
1643242560, +3.05, +30.013, +180.23261, +1004.000,  +4.000, +646.000
1643242680, +3.05, +30.005, +168.54611, +1008.000,  +4.000, +646.000
1643242800, +3.05, +29.997, +144.38966, +1008.000,  +0.000, +648.000
1643242920, +3.05, +29.973, +148.83945, +1004.000,  +0.000, +652.000
1643243040, +3.05, +29.973, +188.57481, +1008.000,  +0.000, +648.000
1643243160, +3.05, +29.949, +208.00587, +1008.000,  +0.000, +648.000
1643243280, +3.05, +29.933, +239.90997, +1006.000,  +0.000, +643.000
1643243400, +3.05, +29.925, +311.96747, +1008.000,  +0.000, +647.000
1643243520, +3.05, +29.900, +348.23156, +1008.000,  +3.000, +646.000
1643243640, +3.05, +29.892, +279.75371, +1008.000,  +0.000, +647.000
1643243760, +3.05, +29.900, +245.44666, +1008.000,  -8.000, +656.000
1643243880, +3.05, +29.908, +213.33819, +1006.000,  +0.000, +643.000
1643244000, +3.05, +29.892, +230.95156, +1006.000,  +0.000, +643.000
1643244120, +3.05, +29.884, +182.85852, +1008.000,  +1.000, +642.000
1643244240, +3.05, +29.884, +162.87626, +1006.000,  +0.000, +652.000
1643244360, +3.05, +29.868, +168.23026, +1006.000,  +0.000, +652.000
1643244480, +3.05, +29.876, +145.45798, +1008.000,  +0.000, +655.000
1643244600, +3.05, +29.860, +193.59747, +1004.000,  +0.000, +647.000
1643244720, +3.05, +29.876, +144.45469, +1004.000,  -8.000, +656.000
1643244840, +3.05, +29.868, +196.11499, +1008.000,  -8.000, +656.000
1643244960, +3.05, +29.868, +189.27773, +1008.000,  +0.000, +656.000
1643245080, +3.05, +29.876, +170.16562, +1006.000,  +6.000, +643.000
1643245200, +3.05, +29.876, +174.69902, +1008.000,  +0.000, +652.000
1643245320, +3.05, +29.876, +145.52301, +1008.000,  +0.000, +644.000
1643245440, +3.05, +29.876, +137.77536, +1008.000,  +0.000, +654.000
1643245560, +3.05, +29.860, +133.52375, +1008.000,  +0.000, +648.000
1643245680, +3.05, +29.860, +131.30040, +1004.000,  +0.000, +643.000
1643245800, +3.05, +29.844, +123.51559, +1008.000,  +0.000, +649.000
1643245920, +3.05, +29.844, +135.14636, +1008.000,  +0.000, +649.000
1643246040, +3.05, +29.836, +123.54346, +1008.000,  +0.000, +649.000
1643246160, +3.05, +29.852, +128.49180, +1008.000, -12.000, +659.000
1643246280, +3.05, +29.836, +126.05789, +1008.000, -16.000, +659.000
1643246400, +3.05, +29.852, +166.80893, +1008.000,  -8.000, +652.000
1643246520, +3.05, +29.836, +166.04717, +1008.000,  +3.000, +640.000
1643246640, +3.05, +29.844, +156.15668, +1008.000,  +6.000, +640.000
1643246760, +3.05, +29.852, +173.42632, +1008.000,  +0.000, +656.000
1643246880, +3.05, +29.836, +188.13200, +1006.000,  +0.000, +644.000
