
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2021-05-26T17:48:45Z,,-17.540819998830557,-149.9008799996227,-17.539818026125431,-149.89789998158813,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
1,-17.540769958868623,-149.89789998158813,20.967312,2021-05-24T19:43:43Z,,,"317",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:43:43Z,
2,-17.540499977767467,-149.89921996369958,19.966823999999999,2021-05-24T19:45:08Z,,,"318",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:45:08Z,
3,-17.54061003215611,-149.89956999197602,20.129031999999999,2021-05-24T19:46:31Z,,,"320",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:46:31Z,
4,-17.540819998830557,-149.89992999471724,19.897273999999999,2021-05-24T19:44:27Z,,,"323",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:44:27Z,
5,-17.540510036051273,-149.89963998086751,23.249855,2021-05-24T19:48:58Z,,,"345",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:48:58Z,
6,-17.540399981662631,-149.90009997971356,23.551901000000001,2021-05-24T19:51:38Z,,,"346",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:51:38Z,
7,-17.540109967812896,-149.90015999414027,23.535105000000001,2021-05-24T19:50:52Z,,,"355",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:50:52Z,
8,-17.540359999984503,-149.89950997754931,23.396011000000001,2021-05-24T19:49:44Z,,,"738",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:49:44Z,
9,-17.540439963340759,-149.9008799996227,56.949913000000002,2021-05-24T19:36:51Z,,,"NORTHWEST CORNER",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T19:36:51Z,
10,-17.540370980277658,-149.8994969855994,64.794089999999997,2021-05-24T20:46:42Z,,,"V01",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-05-24T20:46:42Z,
