Serial,GPS_Point,Latitude,Longitude,date
CT_346,A41,-17.51965402,-149.913206,5/25/21 19:50
CT_346,A410,-17.51539903,-149.913256,5/26/21 1:47
CT_346,A411,-17.51516199,-149.913638,5/26/21 2:26
CT_346,A412,-17.51464298,-149.914241,5/26/21 3:06
CT_346,A42,-17.51908304,-149.913253,5/25/21 20:30
CT_346,A43,-17.51873603,-149.913166,5/25/21 21:19
CT_346,A44,-17.51810999,-149.912945,5/25/21 21:45
CT_346,A45,-17.51757799,-149.912943,5/25/21 22:27
CT_346,A46,-17.517149,-149.912941,5/25/21 23:05
CT_346,A47,-17.51673502,-149.912744,5/25/21 23:46
CT_346,A48,-17.51633403,-149.91294,5/26/21 0:25
CT_346,A49,-17.51581997,-149.913132,5/26/21 1:06
CT_350,B41,-17.51963097,-149.912934,5/25/21 19:45
CT_350,B410,-17.51534597,-149.913034,5/26/21 1:48
CT_350,B411,-17.51505998,-149.913301,5/26/21 2:27
CT_350,B412,-17.514459,-149.913925,5/26/21 3:05
CT_350,B42,-17.51907298,-149.912904,5/25/21 20:37
CT_350,B43,-17.51860301,-149.912774,5/25/21 21:04
CT_350,B44,-17.51802399,-149.912532,5/25/21 21:44
CT_350,B45,-17.51741303,-149.912527,5/25/21 22:24
CT_350,B46,-17.51709804,-149.912466,5/25/21 23:05
CT_350,B47,-17.51668397,-149.912608,5/25/21 23:44
CT_350,B48,-17.51629396,-149.912702,5/26/21 0:27
CT_350,B49,-17.51574302,-149.912817,5/26/21 1:07
