Date,CowTagID,SeepCode,Tide,Day_Night,SamplingTime,Salinity,pH,TempInSitu,TA,Notes
8/6/2021,V19,NA,Low,Day,06:40:00,36.44,8.023561435928851,26.91,2348.306475,Huge Waves
8/6/2021,V1,NA,Low,Day,06:40:00,36.41,7.989275791036764,27.1,2408.599301,Huge Waves
8/6/2021,V18,NA,Low,Day,06:40:00,36.39,7.994995663555694,27.03,2357.708236,Huge Waves
8/6/2021,V13,NA,Low,Day,06:40:00,36.4,7.992356988965228,27.02,2356.104421,Huge Waves
8/6/2021,V11,NA,Low,Day,06:40:00,36.48,8.00400430139514,27.07,2370.288749,Huge Waves
8/6/2021,V5,NA,Low,Day,06:40:00,36.43,8.004747380638479,27.11,2360.157091,Huge Waves
8/6/2021,V8,NA,Low,Day,06:40:00,36.45,7.993566708932241,27.02,2325.878993,Huge Waves
8/6/2021,V17,NA,Low,Day,06:40:00,36.34,7.976218122393377,26.88,2385.194946,Huge Waves
8/6/2021,VSEEP,H,Low,Night,19:00:00,36.07,7.877819175317722,27.62,2388.442656,Huge Waves/ bottle collected
8/8/2021,V8,NA,Low,Day,07:30:00,36.56,7.966032784507494,27.2,2363.226902,Bottle
8/8/2021,V12,NA,Low,Day,07:30:00,36.28,8.023392074413712,27.31,2364.360097,Bottle
8/8/2021,V5,NA,Low,Day,07:30:00,36.39,8.030467444184145,27.25,2366.352432,Bottle
8/8/2021,V19,NA,Low,Day,07:30:00,36.63,8.04369093087045,27.03,2369.352141,Bottle
8/8/2021,V15,NA,Low,Day,07:30:00,36.45,8.029064040897387,27.11,2376.479103,Bottle
8/8/2021,V6,NA,Low,Day,07:30:00,36.51,8.019453650498878,27.31,2365.266839,Bottle
8/8/2021,V17,NA,Low,Day,07:30:00,36.46,8.01670253451603,27.05,2349.779191,Bottle
8/8/2021,V20,NA,Low,Day,07:30:00,36.53,8.021213679401516,27.16,2363.766285,Bottle
8/8/2021,V13,NA,Low,Day,07:30:00,36.57,8.024186752224807,27.22,2368.647558,Bottle
