date,E_Conductivity,TempInSitu,LoggerID
2022-03-14T07:12:00Z,40351.2,27.61,CT_353_CSled_20220329
2022-03-14T07:14:00Z,40226.7,28.02,CT_353_CSled_20220329
2022-03-14T07:16:00Z,37541.3,28.15,CT_353_CSled_20220329
2022-03-14T07:18:00Z,40912.4,28.02,CT_353_CSled_20220329
2022-03-14T07:20:00Z,38284.9,27.61,CT_353_CSled_20220329
2022-03-14T07:22:00Z,29709,26.73,CT_353_CSled_20220329
2022-03-14T07:24:00Z,29395.8,26.51,CT_353_CSled_20220329
2022-03-14T07:26:00Z,29974.6,28,CT_353_CSled_20220329
2022-03-14T07:28:00Z,30719.5,28.14,CT_353_CSled_20220329
2022-03-14T07:30:00Z,30758.7,28.17,CT_353_CSled_20220329
2022-03-14T07:32:00Z,29134.3,28.16,CT_353_CSled_20220329
2022-03-14T07:34:00Z,29172.3,28.2,CT_353_CSled_20220329
2022-03-14T07:36:00Z,29726.4,28.02,CT_353_CSled_20220329
2022-03-14T07:38:00Z,26984.5,27.6,CT_353_CSled_20220329
2022-03-14T07:40:00Z,28647.2,28.03,CT_353_CSled_20220329
2022-03-14T07:42:00Z,33093.2,28.04,CT_353_CSled_20220329
2022-03-14T07:44:00Z,32435,28.19,CT_353_CSled_20220329
2022-03-14T07:46:00Z,28598,28.17,CT_353_CSled_20220329
2022-03-14T07:48:00Z,25650.6,28.2,CT_353_CSled_20220329
2022-03-14T07:50:00Z,25230.6,28.08,CT_353_CSled_20220329
2022-03-14T07:52:00Z,26148.3,28.13,CT_353_CSled_20220329
2022-03-14T07:54:00Z,26048.7,28.26,CT_353_CSled_20220329
2022-03-14T07:56:00Z,25933.8,28.26,CT_353_CSled_20220329
2022-03-14T07:58:00Z,26059.4,28.25,CT_353_CSled_20220329
2022-03-14T08:00:00Z,26241.3,28.27,CT_353_CSled_20220329
2022-03-14T08:02:00Z,26207.3,28.27,CT_353_CSled_20220329
2022-03-14T08:04:00Z,31738,28.28,CT_353_CSled_20220329
2022-03-14T08:06:00Z,30682.6,28.3,CT_353_CSled_20220329
2022-03-14T08:08:00Z,30087.7,28.28,CT_353_CSled_20220329
2022-03-14T08:10:00Z,30264.4,28.33,CT_353_CSled_20220329
2022-03-14T08:12:00Z,31148.4,28.27,CT_353_CSled_20220329
2022-03-14T08:14:00Z,31686.9,28.33,CT_353_CSled_20220329
2022-03-14T08:16:00Z,31772.1,28.36,CT_353_CSled_20220329
2022-03-14T08:18:00Z,28571.4,28.36,CT_353_CSled_20220329
2022-03-14T08:20:00Z,30481.4,28.37,CT_353_CSled_20220329
2022-03-14T08:22:00Z,30402,28.39,CT_353_CSled_20220329
2022-03-14T08:24:00Z,32032.5,28.49,CT_353_CSled_20220329
2022-03-14T08:26:00Z,29421.5,28.63,CT_353_CSled_20220329
2022-03-14T08:28:00Z,28428.9,28.63,CT_353_CSled_20220329
2022-03-14T08:30:00Z,27025.7,28.7,CT_353_CSled_20220329
2022-03-14T08:32:00Z,30632.1,28.66,CT_353_CSled_20220329
2022-03-14T08:34:00Z,29637.2,28.71,CT_353_CSled_20220329
2022-03-14T08:36:00Z,29987.9,28.74,CT_353_CSled_20220329
2022-03-14T08:38:00Z,27836.5,28.76,CT_353_CSled_20220329
2022-03-14T08:40:00Z,27210.2,28.81,CT_353_CSled_20220329
2022-03-14T08:42:00Z,29888.5,28.74,CT_353_CSled_20220329
2022-03-14T08:44:00Z,30253.2,28.73,CT_353_CSled_20220329
2022-03-14T08:46:00Z,29485.9,28.8,CT_353_CSled_20220329
2022-03-14T08:48:00Z,31818.5,28.88,CT_353_CSled_20220329
2022-03-14T08:50:00Z,36578.2,28.82,CT_353_CSled_20220329
2022-03-14T08:52:00Z,34410.6,28.79,CT_353_CSled_20220329
