Serial Number:20555848 --,,,,,,,,
,,,,,,,,
Date Time - GMT -10:00,"Temp, (*F)","Intensity, (lum/ft²)",Button Down,Button Up,Host Connect,Stopped,EOF,
4/4/22 12:52,81,"88""""",8, , , , , 
4/4/22 12:54,82,"42""""",6, , , , , 
4/4/22 12:56,82,"96""""",7, , , , , 
4/4/22 12:58,83,"58""""",7, , , , , 
4/4/22 13:00,84,"04""""",7, , , , , 
4/4/22 13:02,84,"58""""",8, , , , , 
4/4/22 13:04,85,"05""""",7, , , , , 
4/4/22 13:06,85,"51""""",7, , , , , 
4/4/22 13:08,86,"13""""",7, , , , , 
4/4/22 13:10,86,"13""""",9, , , , , 
4/4/22 13:12,85,"90""""",12, , , , , 
4/4/22 13:14,85,"59""""",80, , , , , 
4/4/22 13:16,89,"14""""",2439, , , , , 
4/4/22 13:18,89,"37""""",2215, , , , , 
4/4/22 13:20,89,"29""""",1288, , , , , 
4/4/22 13:22,89,"45""""",2028, , , , , 
4/4/22 13:24,89,"37""""",1561, , , , , 
4/4/22 13:26,87,"83""""",1121, , , , , 
4/4/22 13:28,88,"83""""",3298, , , , , 
4/4/22 13:30,89,"22""""",3132, , , , , 
4/4/22 13:32,90,"91""""",5742, , , , , 
4/4/22 13:34,90,"84""""",1928, , , , , 
4/4/22 13:36,91,"30""""",5445, , , , , 
4/4/22 13:38,88,"52""""",3587, , , , , 
4/4/22 13:40,88,"37""""",4504, , , , , 
4/4/22 13:42,88,"37""""",3319, , , , , 
4/4/22 13:44,88,"13""""",2980, , , , , 
4/4/22 13:46,87,"67""""",2786, , , , , 
4/4/22 13:48,88,"13""""",3716, , , , , 
4/4/22 13:50,87,"59""""",1455, , , , , 
4/4/22 13:52,87,"44""""",2704, , , , , 
4/4/22 13:54,87,"59""""",2503, , , , , 
4/4/22 13:56,87,"44""""",1472, , , , , 
4/4/22 13:58,87,"29""""",1962, , , , , 
4/4/22 14:00,87,"36""""",1775, , , , , 
4/4/22 14:02,87,"36""""",1506, , , , , 
4/4/22 14:04,87,"36""""",2832, , , , , 
4/4/22 14:06,87,"83""""",3559, , , , , 
4/4/22 14:08,87,"90""""",3047, , , , , 
4/4/22 14:10,88,"06""""",2910, , , , , 
4/4/22 14:12,87,"98""""",2908, , , , , 
4/4/22 14:14,87,"83""""",2394, , , , , 
4/4/22 14:16,87,"36""""",1188, , , , , 
4/4/22 14:18,87,"36""""",1324, , , , , 
4/4/22 14:20,87,"29""""",965, , , , , 
4/4/22 14:22,87,"21""""",1355, , , , , 
4/4/22 14:24,87,"21""""",1589, , , , , 
4/4/22 14:26,87,"21""""",1173, , , , , 
4/4/22 14:28,87,"13""""",1251, , , , , 
4/4/22 14:30,87,"21""""",1112, , , , , 
4/4/22 14:32,87,"05""""",1100, , , , , 
4/4/22 14:34,87,"05""""",1295, , , , , 
4/4/22 14:36,87,"21""""",1110, , , , , 
4/4/22 14:38,87,"13""""",1092, , , , , 
4/4/22 14:40,87,"21""""",1122, , , , , 
4/4/22 14:42,87,"13""""",1134, , , , , 
4/4/22 14:44,87,"21""""",1184, , , , , 
4/4/22 14:46,87,"05""""",1133, , , , , 
4/4/22 14:48,87,"13""""",1081, , , , , 
4/4/22 14:50,87,"05""""",1081, , , , , 
4/4/22 14:52,87,"05""""",1161, , , , , 
4/4/22 14:54,87,"13""""",1146, , , , , 
4/4/22 14:56,87,"21""""",1141, , , , , 
4/4/22 14:58,87,"05""""",1019, , , , , 
4/4/22 15:00,86,"98""""",985, , , , , 
4/4/22 15:02,86,"98""""",967, , , , , 
4/4/22 15:04,86,"90""""",900, , , , , 
4/4/22 15:06,86,"90""""",852, , , , , 
4/4/22 15:08,86,"82""""",879, , , , , 
4/4/22 15:10,86,"74""""",796, , , , , 
4/4/22 15:12,86,"74""""",750, , , , , 
4/4/22 15:14,86,"59""""",783, , , , , 
4/4/22 15:16,86,"59""""",779, , , , , 
4/4/22 15:18,86,"59""""",828, , , , , 
4/4/22 15:20,86,"51""""",891, , , , , 
4/4/22 15:22,86,"51""""",917, , , , , 
4/4/22 15:24,86,"51""""",973, , , , , 
4/4/22 15:26,86,"51""""",954, , , , , 
4/4/22 15:28,86,"36""""",925, , , , , 
4/4/22 15:30,86,"36""""",923, , , , , 
4/4/22 15:32,86,"28""""",938, , , , , 
4/4/22 15:34,86,"20""""",961, , , , , 
4/4/22 15:36,86,"20""""",901, , , , , 
4/4/22 15:38,86,"13""""",893, , , , , 
4/4/22 15:40,85,"97""""",779, , , , , 
4/4/22 15:42,85,"90""""",705, , , , , 
4/4/22 15:44,85,"90""""",773, , , , , 
4/4/22 15:46,85,"90""""",803, , , , , 
4/4/22 15:48,85,"74""""",787, , , , , 
4/4/22 15:50,85,"90""""",768, , , , , 
