#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,Stopped,End of File
1,02/26/2023 14:36:00,32.82,5194.24,,,,,
2,02/26/2023 14:38:00,35.09,16942.08,,,,,
3,02/26/2023 14:40:00,38.61,64798.72,,,,,
4,02/26/2023 14:42:00,41.14,65617.92,,,,,
5,02/26/2023 14:44:00,42.77,60887.04,,,,,
6,02/26/2023 14:46:00,43.93,59514.88,,,,,
7,02/26/2023 14:48:00,44.48,60723.20,,,,,
8,02/26/2023 14:50:00,44.06,30300.16,,,,,
9,02/26/2023 14:52:00,43.33,50053.12,,,,,
10,02/26/2023 14:54:00,43.76,48025.60,,,,,
11,02/26/2023 14:56:00,41.01,742.40,,,,,
12,02/26/2023 14:58:00,37.66,841.28,,,,,
13,02/26/2023 15:00:00,35.60,738.56,,,,,
14,02/26/2023 15:02:00,34.23,776.96,,,,,
15,02/26/2023 15:04:00,33.33,988.80,,,,,
16,02/26/2023 15:06:00,32.73,890.88,,,,,
17,02/26/2023 15:08:00,32.30,891.84,,,,,
18,02/26/2023 15:10:00,31.92,999.68,,,,,
19,02/26/2023 15:12:00,31.66,955.52,,,,,
20,02/26/2023 15:14:00,31.27,876.80,,,,,
21,02/26/2023 15:16:00,31.01,801.60,,,,,
22,02/26/2023 15:18:00,30.93,916.48,,,,,
23,02/26/2023 15:20:00,30.89,883.84,,,,,
24,02/26/2023 15:22:00,30.84,933.76,,,,,
25,02/26/2023 15:24:00,30.67,940.80,,,,,
26,02/26/2023 15:26:00,30.71,1027.20,,,,,
27,02/26/2023 15:28:00,30.71,1031.68,,,,,
28,02/26/2023 15:30:00,30.71,995.20,,,,,
29,02/26/2023 15:32:00,30.76,909.12,,,,,
30,02/26/2023 15:34:00,30.71,896.32,,,,,
31,02/26/2023 15:36:00,30.67,908.16,,,,,
32,02/26/2023 15:38:00,30.67,836.48,,,,,
33,02/26/2023 15:40:00,30.63,826.56,,,,,
34,02/26/2023 15:42:00,30.50,894.40,,,,,
35,02/26/2023 15:44:00,30.46,764.16,,,,,
36,02/26/2023 15:46:00,30.46,812.48,,,,,
37,02/26/2023 15:48:00,30.46,855.68,,,,,
38,02/26/2023 15:50:00,30.46,907.20,,,,,
39,02/26/2023 15:52:00,30.28,840.32,,,,,
40,02/26/2023 15:54:00,30.28,792.32,,,,,
41,02/26/2023 15:56:00,30.24,801.60,,,,,
42,02/26/2023 15:58:00,30.28,832.96,,,,,
43,02/26/2023 16:00:00,30.28,783.36,,,,,
44,02/26/2023 16:02:00,30.28,773.12,,,,,
45,02/26/2023 16:04:00,30.24,820.16,,,,,
46,02/26/2023 16:06:00,30.28,876.80,,,,,
47,02/26/2023 16:08:00,30.28,840.32,,,,,
48,02/26/2023 16:10:00,30.24,766.08,,,,,
49,02/26/2023 16:12:00,30.20,790.40,,,,,
50,02/26/2023 16:14:00,30.20,839.36,,,,,
51,02/26/2023 16:16:00,30.24,778.56,,,,,
52,02/26/2023 16:18:00,30.20,747.84,,,,,
53,02/26/2023 16:20:00,30.16,747.84,,,,,
54,02/26/2023 16:22:00,30.16,729.92,,,,,
55,02/26/2023 16:24:00,30.11,745.92,,,,,
56,02/26/2023 16:26:00,30.11,706.24,,,,,
57,02/26/2023 16:28:00,30.11,685.12,,,,,
58,02/26/2023 16:30:00,30.07,654.88,,,,,
59,02/26/2023 16:32:00,30.07,626.56,,,,,
60,02/26/2023 16:34:00,29.98,625.60,,,,,
61,02/26/2023 16:36:00,30.03,614.72,,,,,
62,02/26/2023 16:38:00,29.98,607.36,,,,,
63,02/26/2023 16:40:00,29.90,597.92,,,,,
64,02/26/2023 16:42:00,29.98,592.32,,,,,
65,02/26/2023 16:44:00,29.98,591.52,,,,,
66,02/26/2023 16:46:00,29.94,589.60,,,,,
67,02/26/2023 16:48:00,29.94,579.68,,,,,
68,02/26/2023 16:50:00,29.90,566.88,,,,,
69,02/26/2023 16:52:00,29.90,569.60,,,,,
70,02/26/2023 16:54:00,29.81,557.76,,,,,
71,02/26/2023 16:56:00,29.81,521.12,,,,,
72,02/26/2023 16:58:00,29.81,503.52,,,,,
73,02/26/2023 17:00:00,29.77,501.76,,,,,
74,02/26/2023 17:02:00,29.77,492.64,,,,,
75,02/26/2023 17:04:00,29.73,490.72,,,,,
76,02/26/2023 17:06:00,29.73,464.32,,,,,
77,02/26/2023 17:08:00,29.64,446.56,,,,,
78,02/26/2023 17:10:00,29.64,431.04,,,,,
79,02/26/2023 17:12:00,29.60,412.80,,,,,
80,02/26/2023 17:14:00,29.60,399.84,,,,,
81,02/26/2023 17:16:00,29.56,391.68,,,,,
82,02/26/2023 17:18:00,29.51,375.20,,,,,
83,02/26/2023 17:20:00,29.47,368.64,,,,,
84,02/26/2023 17:22:00,29.43,351.36,,,,,
85,02/26/2023 17:24:00,29.43,339.52,,,,,
86,02/26/2023 17:26:00,29.34,321.92,,,,,
87,02/26/2023 17:28:00,29.34,308.24,,,,,
88,02/26/2023 17:30:00,29.30,289.84,,,,,
89,02/26/2023 17:32:00,29.26,276.16,,,,,
90,02/26/2023 17:34:00,29.21,266.08,,,,,
91,02/26/2023 17:36:00,29.17,252.24,,,,,
92,02/26/2023 17:38:00,29.17,240.40,,,,,
93,02/26/2023 17:40:00,29.13,233.04,,,,,
94,02/26/2023 17:42:00,29.08,221.92,,,,,
95,02/26/2023 17:44:00,29.04,209.12,,,,,
96,02/26/2023 17:46:00,29.04,196.24,,,,,
97,02/26/2023 17:48:00,29.00,186.16,,,,,
98,02/26/2023 17:50:00,29.04,173.36,,,,,
99,02/26/2023 17:52:00,28.91,164.16,,,,,
100,02/26/2023 17:54:00,28.87,151.40,,,,,
101,02/26/2023 17:56:00,28.83,140.36,,,,,
102,02/26/2023 17:58:00,28.83,128.48,,,,,
103,02/26/2023 18:00:00,28.78,120.60,,,,,
104,02/26/2023 18:02:00,28.78,108.20,,,,,
105,02/26/2023 18:04:00,28.78,97.24,,,,,
106,02/26/2023 18:06:00,28.70,87.16,,,,,
107,02/26/2023 18:08:00,28.70,78.84,,,,,
108,02/26/2023 18:10:00,28.61,68.10,,,,,
109,02/26/2023 18:12:00,28.61,58.46,,,,,
110,02/26/2023 18:14:00,28.53,49.06,,,,,
111,02/26/2023 18:16:00,28.53,40.81,,,,,
112,02/26/2023 18:18:00,28.48,33.24,,,,,
113,02/26/2023 18:20:00,28.44,27.25,,,,,
114,02/26/2023 18:22:00,28.40,21.30,,,,,
