#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,02/26/2023 14:38:00,32.86,4354.56,,,,
2,02/26/2023 14:40:00,32.94,3851.52,,,,
3,02/26/2023 14:42:00,32.99,4067.84,,,,
4,02/26/2023 14:44:00,33.12,4491.52,,,,
5,02/26/2023 14:46:00,33.33,4921.60,,,,
6,02/26/2023 14:48:00,33.42,4645.12,,,,
7,02/26/2023 14:50:00,33.50,5934.08,,,,
8,02/26/2023 14:52:00,34.32,11878.40,,,,
9,02/26/2023 14:54:00,37.28,42496.00,,,,
10,02/26/2023 14:56:00,37.28,575.20,,,,
11,02/26/2023 14:58:00,34.92,660.16,,,,
12,02/26/2023 15:00:00,33.63,651.04,,,,
13,02/26/2023 15:02:00,32.86,662.08,,,,
14,02/26/2023 15:04:00,32.34,737.60,,,,
15,02/26/2023 15:06:00,31.92,696.32,,,,
16,02/26/2023 15:08:00,31.66,715.52,,,,
17,02/26/2023 15:10:00,31.44,717.44,,,,
18,02/26/2023 15:12:00,31.36,691.84,,,,
19,02/26/2023 15:14:00,31.06,704.64,,,,
20,02/26/2023 15:16:00,30.89,715.52,,,,
21,02/26/2023 15:18:00,30.80,734.40,,,,
22,02/26/2023 15:20:00,30.80,725.76,,,,
23,02/26/2023 15:22:00,30.76,740.80,,,,
24,02/26/2023 15:24:00,30.67,741.44,,,,
25,02/26/2023 15:26:00,30.59,782.40,,,,
26,02/26/2023 15:28:00,30.63,802.56,,,,
27,02/26/2023 15:30:00,30.63,780.48,,,,
28,02/26/2023 15:32:00,30.63,765.76,,,,
29,02/26/2023 15:34:00,30.59,797.12,,,,
30,02/26/2023 15:36:00,30.59,775.04,,,,
31,02/26/2023 15:38:00,30.59,743.36,,,,
32,02/26/2023 15:40:00,30.54,731.20,,,,
33,02/26/2023 15:42:00,30.46,715.52,,,,
34,02/26/2023 15:44:00,30.41,696.32,,,,
35,02/26/2023 15:46:00,30.37,717.44,,,,
36,02/26/2023 15:48:00,30.41,774.08,,,,
37,02/26/2023 15:50:00,30.37,777.60,,,,
38,02/26/2023 15:52:00,30.24,760.32,,,,
39,02/26/2023 15:54:00,30.24,719.36,,,,
40,02/26/2023 15:56:00,30.24,720.32,,,,
41,02/26/2023 15:58:00,30.24,727.68,,,,
42,02/26/2023 16:00:00,30.24,715.52,,,,
43,02/26/2023 16:02:00,30.20,720.32,,,,
44,02/26/2023 16:04:00,30.24,740.48,,,,
45,02/26/2023 16:06:00,30.20,757.44,,,,
46,02/26/2023 16:08:00,30.20,726.72,,,,
47,02/26/2023 16:10:00,30.16,721.28,,,,
48,02/26/2023 16:12:00,30.07,744.32,,,,
49,02/26/2023 16:14:00,30.16,722.88,,,,
50,02/26/2023 16:16:00,30.07,716.48,,,,
51,02/26/2023 16:18:00,30.07,710.08,,,,
52,02/26/2023 16:20:00,30.07,713.92,,,,
53,02/26/2023 16:22:00,30.07,708.48,,,,
54,02/26/2023 16:24:00,30.07,713.92,,,,
55,02/26/2023 16:26:00,30.07,694.40,,,,
56,02/26/2023 16:28:00,30.07,682.24,,,,
57,02/26/2023 16:30:00,30.03,665.60,,,,
58,02/26/2023 16:32:00,29.98,641.76,,,,
59,02/26/2023 16:34:00,29.98,639.04,,,,
60,02/26/2023 16:36:00,29.94,631.68,,,,
61,02/26/2023 16:38:00,29.90,623.36,,,,
62,02/26/2023 16:40:00,29.86,616.48,,,,
63,02/26/2023 16:42:00,29.94,602.72,,,,
64,02/26/2023 16:44:00,29.90,591.68,,,,
65,02/26/2023 16:46:00,29.90,585.28,,,,
66,02/26/2023 16:48:00,29.86,581.60,,,,
67,02/26/2023 16:50:00,29.81,573.28,,,,
68,02/26/2023 16:52:00,29.81,565.92,,,,
69,02/26/2023 16:54:00,29.73,539.36,,,,
70,02/26/2023 16:56:00,29.73,522.40,,,,
71,02/26/2023 16:58:00,29.68,501.12,,,,
72,02/26/2023 17:00:00,29.73,500.32,,,,
73,02/26/2023 17:02:00,29.68,494.72,,,,
74,02/26/2023 17:04:00,29.68,499.36,,,,
75,02/26/2023 17:06:00,29.60,463.04,,,,
