7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1656691320, +2.74, +24.988, +18.62192, +64.000, +1217.000, +707.000
1656691440, +2.74, +24.980, +19.05235, +76.000, +1304.000, +684.000
1656691560, +2.74, +24.963, +20.33433, +62.000, +1246.000, +718.000
1656691680, +2.74, +24.963, +21.27260, +62.000, +1241.000, +716.000
1656691800, +2.74, +24.971, +21.74018, +80.000, +1315.000, +664.000
1656691920, +2.74, +24.938, +22.67845, +65.000, +1264.000, +718.000
1656692040, +2.74, +24.946, +22.83947, +76.000, +1308.000, +678.000
1656692160, +2.74, +24.905, +23.57646, +76.000, +1310.000, +683.000
1656692280, +2.74, +24.963, +23.78393, +80.000, +1320.000, +656.000
1656692400, +2.74, +24.938, +25.13404, +72.000, +1297.000, +696.000
1656692520, +2.74, +24.946, +26.15281, +62.000, +1240.000, +716.000
1656692640, +2.74, +24.938, +26.02895, +72.000, +1292.000, +704.000
1656692760, +2.74, +24.930, +27.08489, +78.000, +1319.000, +662.000
1656692880, +2.74, +24.938, +27.27997, +71.000, +1295.000, +700.000
1656693000, +2.74, +24.946, +28.45048, +76.000, +1304.000, +688.000
1656693120, +2.74, +24.938, +28.62079, +76.000, +1304.000, +688.000
1656693240, +2.74, +24.921, +30.26817, +65.000, +1260.000, +720.000
1656693360, +2.74, +24.930, +32.58752, +64.000, +1251.000, +719.000
1656693480, +2.74, +24.930, +39.24827, +72.000, +1296.000, +696.000
1656693600, +2.74, +24.930, +40.98855, +71.000, +1287.000, +704.000
1656693720, +2.74, +24.905, +50.30307, +80.000, +1321.000, +659.000
1656693840, +2.74, +24.921, +72.71614, +80.000, +1320.000, +659.000
1656693960, +2.74, +24.896, +46.15984, +86.000, +1336.000, +624.000
1656694080, +2.74, +24.930, +36.57901, +76.000, +1315.000, +672.000
1656694200, +2.74, +24.921, +60.14401, +80.000, +1324.000, +657.000
1656694320, +2.74, +24.888, +40.31349, +72.000, +1295.000, +700.000
1656694440, +2.74, +24.880, +54.27289, +68.000, +1278.000, +712.000
1656694560, +2.74, +24.930, +54.38127, +67.000, +1264.000, +716.000
1656694680, +2.74, +24.921, +47.40467, +76.000, +1299.000, +692.000
1656694800, +2.74, +24.921, +44.99862, +80.000, +1320.000, +663.000
1656694920, +2.74, +24.905, +52.69982, +72.000, +1304.000, +688.000
1656695040, +2.74, +24.946, +50.67156, +78.000, +1315.000, +672.000
1656695160, +2.74, +24.930, +51.91949, +78.000, +1318.000, +668.000
1656695280, +2.74, +24.913, +44.05726, +72.000, +1308.000, +684.000
1656695400, +2.74, +24.930, +55.25760, +68.000, +1278.000, +712.000
1656695520, +2.74, +24.930, +50.56009, +62.000, +1238.000, +716.000
1656695640, +2.74, +24.930, +35.58191, +62.000, +1240.000, +719.000
1656695760, +2.74, +24.921, +38.48031, +72.000, +1297.000, +696.000
1656695880, +2.74, +24.905, +48.83219, +76.000, +1304.000, +688.000
1656696000, +2.74, +24.946, +41.47781, +76.000, +1320.000, +659.000
1656696120, +2.74, +24.930, +46.67387, +64.000, +1254.000, +720.000
1656696240, +2.74, +24.955, +42.53374, +62.000, +1235.000, +718.000
1656696360, +2.74, +24.955, +48.99631, +63.000, +1227.000, +711.000
1656696480, +2.74, +24.946, +38.75281, +63.000, +1219.000, +704.000
1656696600, +2.74, +24.938, +42.92391, +80.000, +1321.000, +659.000
1656696720, +2.74, +24.963, +63.55954, +62.000, +1223.000, +708.000
1656696840, +2.74, +24.963, +70.97276, +67.000, +1264.000, +716.000
1656696960, +2.74, +24.971, +76.31437, +70.000, +1281.000, +711.000
1656697080, +2.74, +24.980, +58.00427, +64.000, +1248.000, +720.000
1656697200, +2.74, +24.971, +73.90833, +63.000, +1225.000, +711.000
1656697320, +2.74, +24.988, +64.30892, +72.000, +1296.000, +696.000
1656697440, +2.74, +24.980, +60.49083, +72.000, +1286.000, +708.000
1656697560, +2.74, +25.013, +70.00044, +63.000, +1219.000, +705.000
1656697680, +2.74, +25.030, +44.36692, +63.000, +1228.000, +713.000
1656697800, +2.74, +25.013, +66.31241, +63.000, +1223.000, +707.000
1656697920, +2.74, +25.046, +80.87254, +70.000, +1283.000, +711.000
1656698040, +2.74, +25.055, +62.15060, +64.000, +1248.000, +720.000
1656698160, +2.74, +25.080, +64.78269, +65.000, +1222.000, +705.000
1656698280, +2.74, +25.063, +83.98461, +64.000, +1223.000, +707.000
1656698400, +2.74, +25.071, +59.46586, +63.000, +1219.000, +707.000
