7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1654095720, +2.84, +23.621,  +0.02694, +1100.000, +177.000, +279.000
1654095840, +2.84, +23.621,  -0.02261, +1103.000, +183.000, +279.000
1654095960, +2.84, +23.604,  -0.03499, +1100.000, +226.000, +224.000
1654096080, +2.84, +23.621,  -0.01641, +1100.000, +199.000, +259.000
1654096200, +2.84, +23.579,  -0.05667, +1096.000, +228.000, +230.000
1654096320, +2.84, +23.604,  -0.02880, +992.000, +176.000, +390.000
1654096440, +2.84, +23.621,  +0.00836, +993.000, +176.000, +391.000
1654096560, +2.84, +23.596,  -0.01332, +992.000, +179.000, +387.000
1654096680, +2.84, +23.596,  +0.03004, +991.000, +179.000, +390.000
1654096800, +2.84, +23.604,  -0.01332, +995.000, +179.000, +392.000
1654096920, +2.84, +23.570,  -0.00403, +992.000, +176.000, +384.000
1654097040, +2.84, +23.604,  +0.02384, +992.000, +176.000, +387.000
1654097160, +2.84, +23.612,  -0.07215, +1102.000, +179.000, +279.000
1654097280, +2.84, +23.612,  +0.02075, +992.000, +179.000, +390.000
1654097400, +2.84, +23.621,  -0.04428, +992.000, +179.000, +390.000
1654097520, +2.84, +23.621,  +0.01146, +992.000, +177.000, +387.000
1654097640, +2.84, +23.629,  -0.03189, +1084.000, +227.000, +268.000
1654097760, +2.84, +23.629,  -0.02261, +991.000, +176.000, +388.000
1654097880, +2.84, +23.637,  -0.03189, +1102.000, +204.000, +236.000
1654098000, +2.84, +23.629,  -0.01022, +991.000, +179.000, +384.000
1654098120, +2.84, +23.646,  -0.04428, +1100.000, +225.000, +224.000
1654098240, +2.84, +23.637,  +0.01146, +1094.000, +230.000, +240.000
1654098360, +2.84, +23.637,  -0.02261, +1102.000, +219.000, +227.000
1654098480, +2.84, +23.629,  +0.03313, +992.000, +179.000, +384.000
1654098600, +2.84, +23.646,  +0.01455, +991.000, +177.000, +387.000
1654098720, +2.84, +23.654,  -0.03499, +1097.000, +224.000, +220.000
1654098840, +2.84, +23.654,  -0.00093, +991.000, +176.000, +385.000
1654098960, +2.84, +23.646,  -0.01641, +1103.000, +204.000, +241.000
1654099080, +2.84, +23.654,  +0.01455, +992.000, +176.000, +387.000
1654099200, +2.84, +23.654,  -0.00093, +992.000, +179.000, +387.000
1654099320, +2.84, +23.671,  +0.02075, +1099.000, +184.000, +271.000
1654099440, +2.84, +23.637,  -0.03809, +992.000, +177.000, +385.000
1654099560, +2.84, +23.671,  -0.03809, +1084.000, +224.000, +264.000
1654099680, +2.84, +23.662,  -0.01951, +1100.000, +227.000, +224.000
1654099800, +2.84, +23.671,  -0.01022, +1102.000, +185.000, +271.000
1654099920, +2.84, +23.671,  -0.05667, +991.000, +177.000, +390.000
1654100040, +2.84, +23.654,  -0.05047, +992.000, +179.000, +384.000
1654100160, +2.84, +23.654,  -0.00403, +1100.000, +193.000, +251.000
1654100280, +2.84, +23.679,  +0.04862, +1102.000, +195.000, +247.000
1654100400, +2.84, +23.654,  -0.01332, +1100.000, +184.000, +271.000
1654100520, +2.84, +23.662,  +4.33738, +990.000, +179.000, +390.000
1654100640, +2.84, +23.662,  +4.73065, +1100.000, +209.000, +227.000
1654100760, +2.84, +23.646,  +4.73375, +1103.000, +216.000, +224.000
1654100880, +2.84, +23.662,  +4.77400, +992.000, +177.000, +387.000
1654101000, +2.84, +23.687,  +4.74304, +1103.000, +198.000, +233.000
1654101120, +2.84, +23.679,  +4.75852, +1102.000, +192.000, +263.000
1654101240, +2.84, +23.687,  +4.77710, +1102.000, +216.000, +225.000
1654101360, +2.84, +23.704,  +4.70588, +1102.000, +214.000, +230.000
1654101480, +2.84, +23.687,  +4.69968, +1100.000, +192.000, +263.000
1654101600, +2.84, +23.696,  +4.83593, +1100.000, +220.000, +224.000
1654101720, +2.84, +23.704,  +4.81116, +1080.000, +225.000, +284.000
1654101840, +2.84, +23.729,  +4.65324, +1100.000, +216.000, +224.000
1654101960, +2.84, +23.696,  +4.62846, +1096.000, +225.000, +224.000
1654102080, +2.84, +23.712,  +4.70278, +992.000, +176.000, +388.000
1654102200, +2.84, +23.754,  +4.89787, +1100.000, +184.000, +271.000
1654102320, +2.84, +23.754,  +4.86380, +1103.000, +217.000, +224.000
1654102440, +2.84, +23.754,  +4.87000, +1100.000, +184.000, +271.000
1654102560, +2.84, +23.737,  +4.92264, +1100.000, +216.000, +224.000
