CowTagID,SeepCode,Tide,Day_Night,Date,Salinity_In_Lab
C_Roadside_Endmember,,,,6/11/2021,0.938
C1,,Low,Night,8/9/2021,35.9
C1,,High,Day,8/9/2021,36.17
C1,,High,Night,8/9/2021,36.17
C10,,Low,Night,8/9/2021,36.04
C10,,High,Night,8/9/2021,36.19
C10,,High,Day,8/9/2021,36.24
C11,,Low,Night,8/9/2021,36.17
C11,,High,Day,8/9/2021,36.27
C11,,High,Night,8/9/2021,36.25
C12,,High,Night,8/9/2021,36.26
C12,,High,Day,8/9/2021,36.33
C13,,Low,Night,8/9/2021,35.3
C13,,High,Night,8/9/2021,36.23
C13,,High,Day,8/9/2021,36.12
C14,,High,Day,8/9/2021,36.28
C15,,High,Day,8/9/2021,36.26
C16,,Low,Night,8/9/2021,35.96
C16,,High,Night,8/9/2021,36.19
C16,,High,Day,8/9/2021,36.19
C17,,High,Day,8/9/2021,36.16
C17,,Low,Night,8/9/2021,36.1
C17,,High,Night,8/9/2021,36.22
C18,,Low,Night,8/9/2021,35.99
C18,,High,Night,8/9/2021,36.39
C18,,High,Day,8/9/2021,36.36
C19,,High,Night,8/9/2021,36.39
C19,,Low,Night,8/9/2021,36.13
C19,,High,Day,8/9/2021,36.36
C2,,High,Night,8/9/2021,36.16
C2,,High,Day,8/9/2021,36.18
C2,,Low,Night,8/9/2021,36.01
C20,,High,Night,8/9/2021,36.03
C20,,High,Day,8/9/2021,36.17
C20,,Low,Night,8/9/2021,36.15
C3,,High,Night,8/9/2021,36.17
C3,,Low,Night,8/9/2021,36.12
C3,,High,Day,8/9/2021,36.24
C4,,Low,Night,8/9/2021,36.08
C4,,High,Night,8/9/2021,36.04
C4,,High,Day,8/9/2021,36.21
C5,,Low,Night,8/9/2021,35.81
C5,,High,Day,8/9/2021,36.34
C5,,High,Night,8/9/2021,36.23
C6,,High,Night,8/9/2021,36.27
C6,,Low,Night,8/9/2021,36.17
C6,,High,Day,8/9/2021,36.38
C7,,High,Day,8/9/2021,36.27
C8,,Low,Night,8/9/2021,35.98
C8,,High,Night,8/9/2021,36.17
C8,,High,Day,8/9/2021,36.18
C9,,Low,Night,8/9/2021,36.25
C9,,High,Day,8/9/2021,36.27
C9,,High,Night,8/9/2021,36.25
Cabral_Inland_Endmember,,,,6/11/2021,0.652
CSEEP,L,,,,35.46
CSEEP,C,,,,35.76
CSEEP,J,,,,35.54
CSEEP,B,,,,35.72
CSEEP,K,,,,35.71
CSEEP,D,,,,35.12
CSEEP,H,,,,35.49
CSEEP,G,,,,36.18
CSEEP,E,,,,30.06
CSEEP,bottle2,,,8/9/2021,35.45
CSEEP,F,,,,35.71
CSEEP,I,,,,31.23
CSEEP,M,,,,32.75
CSEEP,A,,,,32.75
CSEEP,Bottle1,,,8/9/2021,9.073
CSEEP_filtered,A,,,8/9/2021,9.058
CSPRING_Filtered,,,,8/9/2021,2.816
CSPRING_HgCl2,,,,8/9/2021,2.819
Offshore,,,,8/10/2021,15.42
V1,,High,Night,8/5/2021,36.41
V1,,High,Day,8/5/2021,36.45
V1,,Low,Night,8/8/2021,36.22
V1,,Low,Day,8/6/2021,36.41
V1,,Low,Day,8/8/2021,36.52
V10,,Low,Day,8/8/2021,36.28
V10,,High,Night,8/5/2021,36.36
V10,,High,Day,8/5/2021,36.46
V10,,Low,Night,8/8/2021,36.33
V10,,Low,Day,8/6/2021,36.5
V11,,High,Day,8/5/2021,36.43
V11,,High,Night,8/5/2021,36.45
V11,,Low,Night,8/8/2021,36.12
V11,,Low,Day,8/8/2021,36.53
V12,,Low,Day,8/8/2021,36.28
V12,,High,Night,8/5/2021,36.38
V12,,High,Day,8/5/2021,36.44
V12,,Low,Night,8/8/2021,36.28
V13,,High,Night,8/5/2021,36.52
V13,,High,Day,8/5/2021,36.43
V13,,Low,Day,8/6/2021,36.4
V13,,Low,Night,8/8/2021,36.52
V13,,Low,Day,8/8/2021,36.57
V14,,High,Night,8/5/2021,36.29
V14,,High,Day,8/5/2021,36.38
V14,,Low,Day,8/8/2021,36.35
V14,,Low,Night,8/8/2021,36.28
V15,,High,Day,8/5/2021,36.43
V15,,High,Night,8/5/2021,36.44
V15,,Low,Day,8/8/2021,36.45
V15,,Low,Day,8/6/2021,36.45
V15,,Low,Night,8/8/2021,36.15
V16,,High,Day,8/5/2021,36.43
V16,,Low,Night,8/8/2021,36.4
V16,,High,Night,8/5/2021,36.49
V16,,Low,Day,8/8/2021,36.59
V17,,High,Night,8/5/2021,36.02
V17,,High,Day,8/5/2021,36.28
V17,,Low,Day,8/8/2021,36.46
V17,,Low,Night,8/8/2021,37.05
V18,,High,Day,8/5/2021,36.46
V18,,High,Night,8/5/2021,36.47
V18,,Low,Day,8/8/2021,36.57
V18,,Low,Night,8/8/2021,36.13
V19,,High,Night,8/5/2021,36.27
V19,,High,Day,8/5/2021,36.43
V19,,Low,Day,8/6/2021,36.44
V19,,Low,Night,8/8/2021,36.52
V19,,Low,Day,8/8/2021,36.63
V2,,High,Night,8/5/2021,36.4
V2,,Low,Day,8/8/2021,36.34
V2,,Low,Night,8/8/2021,36.09
V2,,High,Day,8/5/2021,36.4
V2,,Low,Day,8/6/2021,36.52
V20,,High,Night,8/5/2021,36.39
V20,,High,Day,8/5/2021,36.29
V20,,Low,Night,8/8/2021,36.48
V20,,Low,Day,8/8/2021,36.53
V3,,High,Night,8/6/2021,36.28
V3,,High,Day,8/5/2021,36.41
V3,,Low,Night,8/8/2021,36.35
V3,,Low,Day,8/8/2021,36.52
V3,,Low,Day,8/6/2021,36.52
V4,,High,Day,8/5/2021,36.46
V4,,High,Night,8/5/2021,36.49
V4,,Low,Night,8/8/2021,36.4
V4,,Low,Day,8/8/2021,36.53
V5,,Low,Day,8/8/2021,36.39
