Serial Number:20555838 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-04-04 10:28:00,24.62,58, , , , , 
2022-04-04 10:30:00,24.58,58, , , , , 
2022-04-04 10:32:00,24.84,37, , , , , 
2022-04-04 10:34:00,24.41,110, , , , , 
2022-04-04 10:36:00,23.98,30, , , , , 
2022-04-04 10:38:00,23.72,34, , , , , 
2022-04-04 10:40:00,23.46,114, , , , , 
2022-04-04 10:42:00,23.42,130, , , , , 
2022-04-04 10:44:00,23.08,83, , , , , 
2022-04-04 10:46:00,22.95,98, , , , , 
2022-04-04 10:48:00,22.73,81, , , , , 
2022-04-04 10:50:00,22.52,80, , , , , 
2022-04-04 10:52:00,22.26,82, , , , , 
2022-04-04 10:54:00,22.18,79, , , , , 
2022-04-04 10:56:00,22.01,81, , , , , 
2022-04-04 10:58:00,21.92,78, , , , , 
2022-04-04 11:00:00,21.83,79, , , , , 
2022-04-04 11:02:00,21.79,78, , , , , 
2022-04-04 11:04:00,21.79,78, , , , , 
2022-04-04 11:06:00,21.70,79, , , , , 
2022-04-04 11:08:00,21.58,77, , , , , 
2022-04-04 11:10:00,21.53,79, , , , , 
2022-04-04 11:12:00,21.62,79, , , , , 
2022-04-04 11:14:00,21.70,80, , , , , 
2022-04-04 11:16:00,21.83,84, , , , , 
2022-04-04 11:18:00,22.01,86, , , , , 
2022-04-04 11:20:00,22.13,85, , , , , 
2022-04-04 11:22:00,22.22,85, , , , , 
2022-04-04 11:24:00,22.35,78, , , , , 
2022-04-04 11:26:00,22.52,79, , , , , 
2022-04-04 11:28:00,22.61,79, , , , , 
2022-04-04 11:30:00,22.73,79, , , , , 
2022-04-04 11:32:00,22.82,80, , , , , 
2022-04-04 11:34:00,22.91,81, , , , , 
2022-04-04 11:36:00,23.46,23, , , , , 
2022-04-04 11:38:00,23.38,113, , , , , 
2022-04-04 11:40:00,23.38,69, , , , , 
2022-04-04 11:42:00,23.38,85, , , , , 
2022-04-04 11:44:00,23.25,127, , , , , 
2022-04-04 11:46:00,23.12,118, , , , , 
2022-04-04 11:48:00,23.03,135, , , , , 
2022-04-04 11:50:00,22.86,137, , , , , 
2022-04-04 11:52:00,22.73,135, , , , , 
2022-04-04 11:54:00,22.61,137, , , , , 
2022-04-04 11:56:00,22.56,274, , , , , 
2022-04-04 11:58:00,24.79,99, , , , , 
2022-04-04 12:00:00,25.87,106, , , , , 
2022-04-04 12:02:00,26.85,118, , , , , 
2022-04-04 12:04:00,27.58,97, , , , , 
2022-04-04 12:06:00,28.27,100, , , , , 
2022-04-04 12:08:00,28.83,130, , , , , 
2022-04-04 12:10:00,29.34,132, , , , , 
2022-04-04 12:12:00,29.77,120, , , , , 
2022-04-04 12:14:00,30.07,114, , , , , 
2022-04-04 12:16:00,30.46,111, , , , , 
2022-04-04 12:18:00,30.76,123, , , , , 
2022-04-04 12:20:00,31.10,136, , , , , 
2022-04-04 12:22:00,31.31,145, , , , , 
2022-04-04 12:24:00,31.57,112, , , , , 
2022-04-04 12:26:00,31.83,113, , , , , 
2022-04-04 12:28:00,32.04,123, , , , , 
2022-04-04 12:30:00,32.13,129, , , , , 
2022-04-04 12:32:00,31.14,254, , , , , 
2022-04-04 12:34:00,28.78,172, , , , , 
2022-04-04 12:36:00,26.77,"1,115", , , , , 
2022-04-04 12:38:00,25.09,153, , , , , 
2022-04-04 12:40:00,23.64,216, , , , , 
2022-04-04 12:42:00,22.78,467, , , , , 
2022-04-04 12:44:00,22.26,428, , , , , 
2022-04-04 12:46:00,21.88,342, , , , , 
2022-04-04 12:48:00,21.49,309, , , , , 
2022-04-04 12:50:00,21.19,221, , , , , 
2022-04-04 12:52:00,22.43,"12,964", , , , , 
2022-04-04 12:54:00,25.91,"6,833", , , , , 
2022-04-04 12:56:00,27.32,"2,096", , , , , 
2022-04-04 12:58:00,29.04,"19,953", , , , , 
2022-04-04 13:00:00,29.86,"16,604", , , , , 
2022-04-04 13:02:00,30.41,"17,613", , , , , 
2022-04-04 13:04:00,31.57,"48,886", , , , , 
2022-04-04 13:06:00,31.53,"52,818", , , , , 
2022-04-04 13:08:00,31.06,"23,388", , , , , 
2022-04-04 13:10:00,31.06,"44,667", , , , , 
2022-04-04 13:12:00,30.84,"25,057", , , , , 
2022-04-04 13:14:00,31.27,"52,388", , , , , 
2022-04-04 13:16:00,31.61,"68,055", , , , , 
2022-04-04 13:18:00,31.36,"32,246", , , , , 
2022-04-04 13:20:00,31.31,"61,440", , , , , 
2022-04-04 13:22:00,30.93,"21,207", , , , , 
2022-04-04 13:24:00,30.80,"21,279", , , , , 
2022-04-04 13:26:00,31.23,"54,333", , , , , 
2022-04-04 13:28:00,31.19,"49,132", , , , , 
2022-04-04 13:30:00,31.01,"33,935", , , , , 
2022-04-04 13:32:00,30.84,"17,418", , , , , 
2022-04-04 13:34:00,30.63,"14,413", , , , , 
2022-04-04 13:36:00,30.59,"15,396", , , , , 
2022-04-04 13:38:00,30.59,"19,364", , , , , 
2022-04-04 13:40:00,31.01,"25,416", , , , , 
2022-04-04 13:42:00,30.71,"18,836", , , , , 
2022-04-04 13:44:00,30.63,"18,724", , , , , 
2022-04-04 13:46:00,30.59,"19,164", , , , , 
2022-04-04 13:48:00,30.63,"19,149", , , , , 
2022-04-04 13:50:00,30.63,"20,045", , , , , 
2022-04-04 13:52:00,30.67,"22,620", , , , , 
2022-04-04 13:54:00,30.80,"26,522", , , , , 
2022-04-04 13:56:00,30.84,"22,968", , , , , 
2022-04-04 13:58:00,30.80,"24,371", , , , , 
2022-04-04 14:00:00,30.84,"26,972", , , , , 
2022-04-04 14:02:00,31.01,"25,160", , , , , 
2022-04-04 14:04:00,30.93,"30,372", , , , , 
2022-04-04 14:06:00,30.89,"23,081", , , , , 
2022-04-04 14:08:00,30.93,"39,014", , , , , 
2022-04-04 14:10:00,31.01,"20,301", , , , , 
2022-04-04 14:12:00,30.76,"16,666", , , , , 
2022-04-04 14:14:00,30.71,"14,751", , , , , 
2022-04-04 14:16:00,30.76,"13,885", , , , , 
2022-04-04 14:18:00,30.67,"14,879", , , , , 
2022-04-04 14:20:00,30.71,"14,669", , , , , 
2022-04-04 14:22:00,30.63,"12,887", , , , , 
2022-04-04 14:24:00,30.63,"12,447", , , , , 
2022-04-04 14:26:00,30.59,"11,802", , , , , 
2022-04-04 14:28:00,30.59,"11,448", , , , , 
2022-04-04 14:30:00,30.59,"10,619", , , , , 
2022-04-04 14:32:00,30.54,"11,244", , , , , 
2022-04-04 14:34:00,30.59,"11,735", , , , , 
2022-04-04 14:36:00,30.59,"11,950", , , , , 
2022-04-04 14:38:00,30.63,"12,165", , , , , 
2022-04-04 14:40:00,30.54,"10,278", , , , , 
2022-04-04 14:42:00,30.50,"9,823", , , , , 
2022-04-04 14:44:00,30.50,"9,987", , , , , 
2022-04-04 14:46:00,30.50,"10,906", , , , , 
2022-04-04 14:48:00,30.54,"12,150", , , , , 
2022-04-04 14:50:00,30.54,"13,932", , , , , 
2022-04-04 14:52:00,30.63,"15,672", , , , , 
2022-04-04 14:54:00,30.63,"16,507", , , , , 
2022-04-04 14:56:00,30.63,"15,985", , , , , 
2022-04-04 14:58:00,30.71,"30,710", , , , , 
2022-04-04 15:00:00,30.67,"13,998", , , , , 
2022-04-04 15:02:00,30.59,"11,310", , , , , 
2022-04-04 15:04:00,30.54,"10,593", , , , , 
2022-04-04 15:06:00,30.46,"10,327", , , , , 
2022-04-04 15:08:00,30.41,"9,718", , , , , 
2022-04-04 15:10:00,30.37,"8,172", , , , , 
2022-04-04 15:12:00,30.33,"6,502", , , , , 
2022-04-04 15:14:00,30.33,"6,216", , , , , 
2022-04-04 15:16:00,30.28,"5,996", , , , , 
2022-04-04 15:18:00,30.24,"5,507", , , , , 
2022-04-04 15:20:00,30.28,"5,691", , , , , 
2022-04-04 15:22:00,30.24,"6,129", , , , , 
2022-04-04 15:24:00,30.24,"6,469", , , , , 
2022-04-04 15:26:00,30.28,"6,907", , , , , 
2022-04-04 15:28:00,30.33,"7,334", , , , , 
2022-04-04 15:30:00,30.28,"7,959", , , , , 
2022-04-04 15:32:00,30.33,"9,341", , , , , 
2022-04-04 15:34:00,30.37,"10,588", , , , , 
2022-04-04 15:36:00,30.41,"10,427", , , , , 
2022-04-04 15:38:00,30.46,"11,146", , , , , 
2022-04-04 15:40:00,30.37,"11,284", , , , , 
2022-04-04 15:42:00,30.41,"10,803", , , , , 
2022-04-04 15:44:00,30.46,"14,152", , , , , 
2022-04-04 15:46:00,30.67,"19,103", , , , , 
2022-04-04 15:48:00,30.59,"12,447", , , , , 
2022-04-04 15:50:00,30.50,"11,899", , , , , 
2022-04-04 15:52:00,30.46,"11,085", , , , , 
2022-04-04 15:54:00,30.41,"11,633", , , , , 
2022-04-04 15:56:00,30.41,"10,721", , , , , 
2022-04-04 15:58:00,30.46,"13,937", , , , , 
2022-04-04 16:00:00,30.54,"13,629", , , , , 
2022-04-04 16:02:00,30.54,"12,232", , , , , 
2022-04-04 16:04:00,30.46,"11,028", , , , , 
