"","DateTime","Battery","Heading","Pitch","Roll","Pressure","Temperature","AnalogIn1","AnalogIn2","Speed.1.0.150m.","Dir.1.0.150m.","Speed.2.0.200m.","Dir.2.0.200m.","Speed.3.0.250m.","Dir.3.0.250m.","Speed.4.0.300m.","Dir.4.0.300m.","Speed.5.0.350m.","Dir.5.0.350m.","Speed.6.0.400m.","Dir.6.0.400m.","Speed.7.0.450m.","Dir.7.0.450m.","Speed.8.0.500m.","Dir.8.0.500m.","Speed.9.0.550m.","Dir.9.0.550m.","Speed.10.0.600m.","Dir.10.0.600m.","Speed.11.0.650m.","Dir.11.0.650m.","Speed.12.0.700m.","Dir.12.0.700m.","Speed.13.0.750m.","Dir.13.0.750m.","Speed.14.0.800m.","Dir.14.0.800m.","Speed.15.0.850m.","Dir.15.0.850m.","Speed.16.0.900m.","Dir.16.0.900m.","Speed.17.0.950m.","Dir.17.0.950m.","X"
"16",2022-03-29 14:06:00,11.9,139.1,3.3,5.5,2.549,28.99,0,0,0.011,41.19,0.011,41.19,0.011,45,0.01,60.95,0.01,60.95,0.011,41.19,0.013,41.99,0.016,50.19,0.018,49.4,0.018,45,0.016,45,0.017,45,0.016,50.19,0.016,45,0.016,55.3,0.013,63.43,0.01,60.95,NA
"17",2022-03-29 14:08:00,11.9,139.2,3.3,5.5,2.545,28.99,0,0,0.003,270,0.004,255.96,0.002,243.43,0.004,255.96,0.003,270,0.005,306.87,0.01,354.29,0.01,5.71,0.011,15.26,0.014,17.1,0.01,29.05,0.007,33.69,0.004,45,0.003,108.43,0.002,180,0.002,180,0.004,255.96,NA
"18",2022-03-29 14:10:00,11.9,139.1,3.3,5.5,2.54,29.02,0,0,0.01,73.3,0.011,68.2,0.012,55.01,0.011,41.19,0.013,51.34,0.013,41.99,0.013,41.99,0.013,51.34,0.014,45,0.014,50.71,0.017,35.54,0.019,34.51,0.016,26.57,0.016,21.8,0.014,24.78,0.014,30.26,0.013,22.62,NA
"19",2022-03-29 14:12:00,11.9,139.3,3.3,5.5,2.54,29.01,0,0,0.018,63.43,0.018,67.62,0.018,63.43,0.019,57.99,0.024,53.62,0.027,45,0.028,37.69,0.02,32.91,0.021,37.41,0.021,48.81,0.024,53.62,0.021,45,0.021,45,0.02,40.91,0.017,45,0.017,45,0.017,49.76,NA
"20",2022-03-29 14:14:00,11.9,139.1,3.3,5.5,2.553,28.99,0,0,0.002,26.57,0.002,63.43,0.002,63.43,0.004,56.31,0.002,333.43,0.002,333.43,0.004,345.96,0.004,14.04,0.005,0,0.004,14.04,0.001,45,0.004,56.31,0.006,59.04,0.008,50.19,0.004,345.96,0.001,0,0.004,345.96,NA
"21",2022-03-29 14:16:00,11.9,139.2,3.3,5.5,2.54,28.99,0,0,0.023,265.03,0.022,262.23,0.021,259.22,0.02,249.78,0.02,255.26,0.02,255.26,0.022,254.05,0.023,254.74,0.021,253.3,0.022,259.7,0.02,258.69,0.024,265.24,0.022,264.81,0.021,261.87,0.019,261.03,0.019,276.01,0.02,278.53,NA
"22",2022-03-29 14:18:00,11.9,139.1,3.3,5.5,2.52,28.98,0,0,0.009,324.46,0.009,319.4,0.007,315,0.006,341.57,0.004,0,0.004,14.04,0.007,8.13,0.005,21.8,0.008,7.13,0.008,7.13,0.009,0,0.009,0,0.008,7.13,0.004,14.04,0.004,26.57,0.005,68.2,0.002,90,NA
"23",2022-03-29 14:20:00,11.9,139.2,3.3,5.5,2.54,28.98,0,0,0.018,49.4,0.022,59.93,0.022,59.93,0.02,59.53,0.019,55.49,0.02,59.53,0.017,57.26,0.021,52.59,0.022,50.53,0.019,51.34,0.019,47.12,0.017,35.54,0.02,40.91,0.027,45,0.026,38.66,0.024,45,0.025,36.87,NA
"24",2022-03-29 14:22:00,11.9,139.1,3.3,5.5,2.537,28.97,0,0,0.005,21.8,0.005,36.87,0.004,56.31,0.003,108.43,0.004,116.57,0.008,129.81,0.008,113.2,0.005,111.8,0.004,90,0.006,38.66,0.004,33.69,0.004,26.57,0.005,0,0.005,0,0.004,14.04,0.006,38.66,0.007,26.57,NA
"25",2022-03-29 14:24:00,11.9,139.2,3.3,5.5,2.538,28.98,0,0,0.022,50.53,0.021,52.59,0.022,59.93,0.019,64.8,0.018,67.62,0.02,69.78,0.017,64.98,0.016,55.3,0.021,52.59,0.02,57.09,0.017,57.26,0.02,53.13,0.02,53.13,0.021,52.59,0.025,58.24,0.027,55.71,0.027,56.89,NA
