DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.150m);Dir#1(0.150m);Speed#2(0.200m);Dir#2(0.200m);Speed#3(0.250m);Dir#3(0.250m);Speed#4(0.300m);Dir#4(0.300m);Speed#5(0.350m);Dir#5(0.350m);Speed#6(0.400m);Dir#6(0.400m);Speed#7(0.450m);Dir#7(0.450m);Speed#8(0.500m);Dir#8(0.500m);Speed#9(0.550m);Dir#9(0.550m);Speed#10(0.600m);Dir#10(0.600m);Speed#11(0.650m);Dir#11(0.650m);Speed#12(0.700m);Dir#12(0.700m);Speed#13(0.750m);Dir#13(0.750m);Speed#14(0.800m);Dir#14(0.800m);Speed#15(0.850m);Dir#15(0.850m);Speed#16(0.900m);Dir#16(0.900m);Speed#17(0.950m);Dir#17(0.950m);
3/29/2022 13:00:00; 12.0; 29.4;-11.2;  0.7;  0.038; 31.39;    0;    0;  0.731; 250.25;  0.261; 240.58;  0.407; 245.64;  0.500; 271.37;  0.575; 225.35;  0.305; 228.46;  0.507; 220.20;  0.325; 236.16;  0.718; 229.12;  0.467; 232.74;  0.529; 240.67;  0.755; 254.71;  0.413; 254.42;  0.640; 258.37;  0.583; 237.26;  0.186; 249.52;  0.387; 256.25;
3/29/2022 13:02:00; 12.0;318.9; -1.6; -7.5;  0.042; 31.35;    0;    0;  0.405; 242.80;  0.856; 243.79;  0.765; 230.78;  0.567; 240.63;  0.988; 246.63;  0.732; 246.48;  0.776; 250.75;  0.950; 246.29;  0.758; 266.14;  0.866; 241.27;  0.977; 256.39;  0.781; 235.01;  0.795; 266.32;  0.835; 255.36;  0.729; 249.35;  0.615; 261.96;  0.581; 245.16;
3/29/2022 13:04:00; 12.0;319.0; -1.6; -7.6;  0.040; 31.45;    0;    0;  0.535; 132.27;  0.262; 144.49;  0.411; 137.57;  0.322; 170.54;  0.594; 132.61;  0.353; 125.54;  0.469; 134.05;  0.478; 170.01;  0.687; 119.55;  0.340; 157.51;  0.554; 132.00;  0.531; 120.09;  0.491; 143.20;  0.316; 131.66;  0.428; 142.78;  0.458; 116.34;  0.261; 161.91;
3/29/2022 13:06:00; 12.0;319.0; -1.6; -7.6;  0.038; 31.60;    0;    0;  0.831; 204.90;  0.978; 212.60;  0.707; 195.77;  0.550; 192.49;  0.613; 192.54;  0.898; 209.48;  0.640; 206.24;  0.892; 194.82;  0.879; 191.22;  0.823; 193.78;  0.533; 204.74;  0.489; 194.43;  0.653; 219.34;  0.440; 199.67;  0.650; 201.95;  0.589; 194.34;  0.878; 223.20;
3/29/2022 13:08:00; 12.0;318.9; -1.6; -7.5;  0.032; 32.20;    0;    0;  0.673;  66.37;  0.530;  58.50;  0.656;  48.71;  1.080;  59.64;  0.841;  68.87;  0.816;  66.07;  0.842;  48.66;  0.757;  40.45;  0.770;  59.24;  0.877;  53.16;  0.642;  84.19;  1.037;  52.25;  0.849;  72.38;  0.783;  57.47;  0.622;  70.95;  0.858;  48.21;  0.551;  47.28;
3/29/2022 13:10:00; 12.0;318.8; -1.6; -7.4;  0.019; 33.12;    0;    0;  1.107;  46.94;  0.907;  38.46;  1.222;  44.80;  1.038;  45.94;  0.920;  57.38;  1.053;  72.87;  0.679;  40.04;  1.150;  41.58;  0.964;  48.57;  1.239;  49.61;  0.701;  41.99;  1.264;  60.15;  0.974;  61.54;  1.061;  34.51;  0.901;  48.06;  1.136;  52.87;  1.177;  41.63;
3/29/2022 13:12:00; 12.0;318.8; -1.6; -7.3;  0.010; 33.61;    0;    0;  0.928;  63.16;  0.966;  67.28;  1.112;  73.28;  1.133;  79.01;  1.130;  70.30;  0.632;  73.63;  1.105;  70.88;  0.987;  70.96;  0.922;  71.92;  1.065;  75.43;  0.936;  62.09;  0.927;  65.87;  0.853;  70.91;  0.877;  74.79;  0.994;  65.39;  0.897;  80.37;  0.988;  56.73;
3/29/2022 13:14:00; 12.0;318.7; -1.6; -7.2;  0.008; 33.70;    0;    0;  0.383; 143.49;  0.501; 199.85;  0.414; 156.22;  0.490; 172.50;  0.620; 153.15;  0.588; 178.25;  0.206; 211.92;  0.628; 166.47;  0.660; 163.46;  0.419; 176.44;  0.448; 186.92;  0.323; 224.62;  0.591; 174.76;  0.593; 179.90;  0.665; 175.34;  0.376; 177.87;  0.430; 157.73;
3/29/2022 13:16:00; 12.0;182.9;  1.6;-20.2;  0.009; 33.68;    0;    0;  0.714;  57.94;  0.590;  50.43;  0.665;  68.57;  0.789;  70.46;  0.697;  44.42;  0.738;  56.16;  0.594;  56.60;  0.805;  48.33;  0.518;  57.94;  0.705;  40.22;  1.016;  52.68;  0.729;  46.89;  0.927;  42.38;  0.881;  74.59;  0.723;  54.51;  0.860;  60.30;  0.801;  43.58;
3/29/2022 13:18:00; 12.0;220.3;-13.1; -9.8;  0.019; 32.86;    0;    0;  0.996; 175.85;  1.140; 149.95;  0.870; 166.51;  1.088; 157.02;  1.051; 152.66;  1.237; 157.23;  0.902; 153.12;  0.746; 170.20;  0.871; 158.38;  0.863; 148.32;  0.741; 152.61;  1.074; 167.31;  0.947; 144.85;  0.738; 155.24;  1.017; 155.91;  1.109; 154.13;  0.917; 142.13;
