DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/30/2022,1:20:50 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.9,6.49,7.96,-73.9,0.34,0,29,56205.4,52259.2,34.29,51827.1,33969,17.8,21.5,21.5,0.45,0.309,0.318
3/30/2022,1:20:51 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.8,6.48,7.96,-73.9,0.35,0,28.9,56202.1,52259.2,34.29,51827.4,33968,17.8,21.5,21.6,0.449,0.309,0.313
3/30/2022,1:20:52 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.7,6.47,7.96,-73.9,0.36,0,28.9,56200.2,52260,34.29,51828.6,33969,17.8,21.5,21.6,0.451,0.31,0.309
3/30/2022,1:20:53 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.5,6.47,7.96,-74,0.37,0,28.9,56197.1,52258.9,34.29,51827.7,33968,17.8,21.5,21.6,0.458,0.315,0.317
3/30/2022,1:20:54 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.5,6.46,7.96,-74,0.38,0,28.9,56195.4,52258.8,34.29,51827.8,33968,17.8,21.6,21.6,0.468,0.322,0.336
3/30/2022,1:20:55 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.4,6.46,7.96,-74,0.37,0,28.9,56194,52258.4,34.29,51827.5,33968,17.8,21.6,21.6,0.469,0.323,0.327
3/30/2022,1:20:56 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.3,6.45,7.96,-74,0.36,0,28.9,56191.5,52256.7,34.29,51825.9,33967,17.8,21.6,21.6,0.472,0.325,0.318
3/30/2022,1:20:57 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.3,6.45,7.96,-74,0.36,0,28.9,56190.6,52256.2,34.29,51825.5,33967,17.8,21.6,21.6,0.478,0.329,0.321
3/30/2022,1:20:58 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.3,6.45,7.96,-74.1,0.38,0,28.9,56190.4,52255.8,34.29,51825.1,33966,17.8,21.6,21.6,0.474,0.326,0.284
3/30/2022,1:20:59 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.3,6.45,7.96,-74.1,0.37,0,28.9,56190.4,52255.3,34.29,51824.5,33966,17.8,21.6,21.6,0.469,0.323,0.283
3/30/2022,1:21:00 PM,Cabral,PitProfile_1PM,-17.51661 °,-149.91379 °,758.5,101.2,6.45,7.96,-74.1,0.39,0,28.9,56191,52255.1,34.29,51824.2,33966,17.8,21.6,21.6,0.465,0.32,0.296
3/30/2022,1:21:01 PM,Cabral,PitProfile_1PM,-17.51660 °,-149.91379 °,758.6,101.2,6.45,7.96,-74.2,0.38,0,28.9,56191.2,52254.5,34.29,51823.5,33965,17.8,21.6,21.6,0.462,0.318,0.282
