DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/30/2022,7:16:52 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91385 °,758.7,115.1,7.33,8.07,-80.5,0.58,0,29,56016.5,52021.2,34.11,51583.4,33814,17.9,21.4,21.4,0.001,0.001,-0.002
3/30/2022,7:16:53 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91385 °,758.7,115.2,7.33,8.07,-80.5,0.59,0,29,56019.6,52020.4,34.11,51582.1,33813,17.9,21.4,21.4,0.003,0.002,0.009
3/30/2022,7:16:54 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91385 °,758.7,115.2,7.34,8.07,-80.4,0.59,0,29,56023.5,52020.6,34.11,51581.8,33813,17.8,21.4,21.4,0,0,-0.009
3/30/2022,7:16:55 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.6,115.3,7.34,8.07,-80.4,0.59,0,29,56033.3,52027.6,34.12,51588.5,33818,17.8,21.4,21.4,0.001,0.001,-0.01
3/30/2022,7:16:56 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.7,115.3,7.34,8.07,-80.4,0.6,0,29,56039.6,52036.4,34.13,51597.6,33824,17.8,21.4,21.4,0.003,0.002,-0.005
3/30/2022,7:16:57 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.7,115.4,7.35,8.07,-80.4,0.59,0,29,56058.6,52054.7,34.14,51615.9,33836,17.8,21.4,21.4,0.006,0.004,0.009
3/30/2022,7:16:58 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.7,115.5,7.35,8.07,-80.3,0.6,0,29,56077.5,52069.4,34.15,51630.1,33845,17.8,21.4,21.4,0.003,0.002,0.002
3/30/2022,7:16:59 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.6,115.5,7.35,8.07,-80.3,0.61,0,29,56094.3,52082.2,34.16,51642.5,33853,17.8,21.4,21.4,0.002,0.001,-0.004
3/30/2022,7:17:00 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.6,115.6,7.36,8.07,-80.3,0.6,0,29,56116.2,52100.4,34.17,51660.2,33865,17.8,21.4,21.4,0.003,0.002,-0.003
3/30/2022,7:17:01 PM,Cabral,PitProfile_7PM,-17.51659 °,-149.91386 °,758.8,115.6,7.36,8.07,-80.3,0.62,0,29,56134.7,52116,34.18,51675.5,33875,17.8,21.4,21.4,0.006,0.004,-0.001
3/30/2022,7:17:02 PM,Cabral,PitProfile_7PM,-17.51659 °,-149.91386 °,758.6,115.7,7.36,8.07,-80.3,0.6,0,29,56163.6,52134.4,34.2,51692.7,33887,17.8,21.4,21.4,0.009,0.006,0.008
3/30/2022,7:17:03 PM,Cabral,PitProfile_7PM,-17.51658 °,-149.91386 °,758.7,115.8,7.36,8.07,-80.3,0.6,0,29.1,56180.6,52145,34.21,51702.5,33894,17.8,21.5,21.5,0.008,0.005,0.01
