DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/31/2022,7:57:00 AM,Cabral,PitProfile_8AM_0331,0.00000 °,0.00000 °,758.8,95.4,7.47,7.91,-71,3.93,0,28.1,31187.8,29426.7,18.12,29236,19127,32.1,9.7,9.7,0.001,0.001,0.018
3/31/2022,7:57:01 AM,Cabral,PitProfile_8AM_0332,0.00000 °,0.00000 °,758.8,92.7,5.99,7.86,-67.9,3.17,0,28.2,54863.9,51741.7,33.94,51403.5,33632,18.2,21.5,21.5,0.018,0.013,0.142
3/31/2022,7:57:02 AM,Cabral,PitProfile_8AM_0333,0.00000 °,0.00000 °,758.8,92.7,5.99,7.85,-67.1,0.72,0,28.2,55178.2,52039.9,34.16,51699.9,33826,18.1,21.7,21.7,0.018,0.013,0.142
3/31/2022,7:57:03 AM,Cabral,PitProfile_8AM_0334,0.00000 °,0.00000 °,758.8,90.8,5.87,7.84,-66.7,0.72,0,28.2,55178.2,52039.9,34.16,51699.9,33826,18.1,21.7,21.7,0.112,0.077,0.239
3/31/2022,7:57:04 AM,Cabral,PitProfile_8AM_0335,0.00000 °,0.00000 °,758.8,89.7,5.8,7.84,-66.6,0.82,0,28.1,55155.3,52069.2,34.18,51735.2,33845,18.1,21.7,21.7,0.259,0.178,0.227
3/31/2022,7:57:05 AM,Cabral,PitProfile_8AM_0336,0.00000 °,0.00000 °,758.8,89.3,5.77,7.84,-66.5,0.86,0,28.1,55160.3,52090.4,34.2,51758.3,33859,18.1,21.8,21.8,0.303,0.209,0.187
3/31/2022,7:57:06 AM,Cabral,PitProfile_8AM_0337,0.00000 °,0.00000 °,758.8,89,5.75,7.84,-66.5,0.86,0,28.1,55166,52111.3,34.21,51780.9,33872,18.1,21.8,21.8,0.283,0.195,0.145
3/31/2022,7:57:07 AM,Cabral,PitProfile_8AM_0338,0.00000 °,0.00000 °,758.9,88.7,5.73,7.84,-66.6,0.86,0,28.1,55167.5,52124.5,34.22,51795.4,33881,18.1,21.8,21.8,0.241,0.166,0.104
3/31/2022,7:57:08 AM,Cabral,PitProfile_8AM_0339,0.00000 °,0.00000 °,758.9,88.4,5.71,7.84,-66.7,0.86,0,28.1,55172.6,52118.3,34.22,51787.9,33877,18.1,21.8,21.8,0.206,0.142,0.07
3/31/2022,7:57:09 AM,Cabral,PitProfile_8AM_0340,0.00000 °,0.00000 °,758.9,88.2,5.7,7.84,-66.7,0.85,0,28.1,55177.5,52111.2,34.21,51779.4,33872,18.1,21.8,21.8,0.193,0.133,0.054
3/31/2022,7:57:10 AM,Cabral,PitProfile_8AM_0341,0.00000 °,0.00000 °,758.9,87.5,5.65,7.84,-66.8,0.84,0,28.1,55186,52107.1,34.21,51773.9,33870,18.1,21.8,21.8,0.171,0.118,0.051
