DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/30/2022,10:08:11 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91382 °,760.3,80.8,5.18,7.81,-65.2,0.53,0,28.5,55732.2,52249.9,34.3,51871,33962,17.9,21.7,21.7,0.171,0.118,0.073
3/30/2022,10:08:12 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91382 °,760.2,80.6,5.17,7.82,-65.3,0.53,0,28.5,55733.9,52249.9,34.3,51870.8,33962,17.9,21.7,21.7,0.157,0.108,0.103
3/30/2022,10:08:13 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91382 °,760.3,80.4,5.16,7.82,-65.5,0.53,0,28.5,55734.4,52248.2,34.3,51868.9,33961,17.9,21.7,21.7,0.151,0.104,0.117
3/30/2022,10:08:14 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91382 °,760.3,80.2,5.14,7.82,-65.6,0.55,0,28.5,55734.9,52245.1,34.3,51865.3,33959,17.9,21.7,21.7,0.152,0.105,0.161
3/30/2022,10:08:15 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91382 °,760.3,79.9,5.12,7.82,-65.7,0.58,0,28.5,55734.8,52241.9,34.29,51861.8,33957,17.9,21.7,21.7,0.146,0.1,0.176
3/30/2022,10:08:16 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91383 °,760.2,79.6,5.11,7.82,-65.8,0.59,0,28.5,55736.7,52241.3,34.29,51860.9,33957,17.9,21.7,21.7,0.153,0.105,0.251
3/30/2022,10:08:17 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91383 °,760.3,79.3,5.08,7.83,-66,0.6,0,28.5,55738.5,52241.4,34.29,51860.8,33957,17.9,21.7,21.7,0.17,0.117,0.291
3/30/2022,10:08:18 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91383 °,760.3,79,5.07,7.83,-66.1,0.59,0,28.5,55738.4,52240.9,34.29,51860.2,33957,17.9,21.7,21.7,0.203,0.14,0.296
3/30/2022,10:08:19 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91383 °,760.3,78.8,5.05,7.83,-66.2,0.6,0,28.5,55736.7,52241.5,34.29,51861.1,33957,17.9,21.7,21.7,0.254,0.175,0.358
3/30/2022,10:08:20 AM,Cabral,PitProfile_10AM,-17.51651 °,-149.91383 °,760.3,78.7,5.05,7.83,-66.3,0.61,0,28.5,55735.2,52243.2,34.3,51863.2,33958,17.9,21.7,21.7,0.292,0.201,0.404
