DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/30/2022,4:02:42 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.8,106.5,6.75,7.95,-73.6,0.48,0,29.3,56438.5,52200.8,34.24,51735,33931,17.7,21.4,21.4,0.087,0.06,0.049
3/30/2022,4:02:43 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,106.5,6.75,7.96,-73.7,0.49,0,29.2,56431.9,52195.6,34.24,51729.9,33927,17.7,21.4,21.4,0.093,0.064,0.045
3/30/2022,4:02:44 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,106.5,6.75,7.96,-73.7,0.48,0,29.2,56424.8,52190.1,34.23,51724.7,33924,17.7,21.4,21.4,0.094,0.065,0.031
3/30/2022,4:02:45 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.8,106.7,6.76,7.96,-73.8,0.49,0,29.2,56423.4,52192.1,34.23,51727,33925,17.7,21.4,21.4,0.094,0.065,0.053
3/30/2022,4:02:46 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,106.8,6.77,7.96,-73.9,0.48,0,29.2,56427.5,52195.4,34.24,51730.2,33927,17.7,21.4,21.4,0.096,0.066,0.091
3/30/2022,4:02:47 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.8,106.9,6.78,7.96,-74,0.47,0,29.2,56436.1,52200.1,34.24,51734.5,33930,17.7,21.4,21.4,0.124,0.085,0.188
3/30/2022,4:02:48 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,106.9,6.78,7.96,-74.1,0.47,0,29.3,56441.5,52202.1,34.24,51736.1,33931,17.7,21.4,21.4,0.142,0.098,0.229
3/30/2022,4:02:49 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107,6.78,7.96,-74.2,0.47,0,29.3,56453.4,52208.9,34.25,51742.3,33936,17.7,21.4,21.4,0.176,0.121,0.278
3/30/2022,4:02:50 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.1,6.79,7.97,-74.2,0.47,0,29.3,56462.5,52212.2,34.25,51744.9,33938,17.7,21.4,21.4,0.213,0.147,0.297
3/30/2022,4:02:51 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.1,6.79,7.97,-74.3,0.46,0,29.3,56471,52216.9,34.25,51749.2,33941,17.7,21.4,21.4,0.246,0.169,0.317
3/30/2022,4:02:52 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.8,107.2,6.79,7.97,-74.4,0.48,0,29.3,56486.3,52226.8,34.26,51758.5,33947,17.7,21.4,21.4,0.313,0.215,0.363
3/30/2022,4:02:53 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.3,6.8,7.97,-74.5,0.47,0,29.3,56498.3,52234.2,34.26,51765.3,33952,17.7,21.4,21.4,0.362,0.249,0.398
3/30/2022,4:02:54 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.3,6.8,7.97,-74.5,0.48,0,29.3,56504.6,52236.9,34.27,51767.6,33954,17.7,21.4,21.4,0.406,0.28,0.406
3/30/2022,4:02:55 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.3,6.8,7.97,-74.6,0.47,0,29.3,56507.1,52237.2,34.27,51767.6,33954,17.7,21.4,21.4,0.479,0.33,0.422
3/30/2022,4:02:56 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.3,6.8,7.97,-74.7,0.47,0,29.3,56505.9,52235.8,34.26,51766.3,33953,17.7,21.4,21.4,0.518,0.356,0.421
3/30/2022,4:02:57 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.3,6.8,7.97,-74.7,0.46,0,29.3,56503.7,52235.4,34.26,51766.1,33953,17.7,21.4,21.4,0.553,0.381,0.458
3/30/2022,4:02:58 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.3,6.8,7.97,-74.7,0.46,0,29.3,56503.3,52235.9,34.26,51766.7,33953,17.7,21.4,21.4,0.579,0.399,0.48
3/30/2022,4:02:59 PM,Cabral,PitProfile_4PM,0.00000 °,0.00000 °,757.9,107.4,6.8,7.97,-74.8,0.47,0,29.3,56502.7,52236,34.26,51766.8,33953,17.7,21.4,21.4,0.62,0.427,0.512
3/30/2022,4:03:00 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91386 °,757.9,107.4,6.8,7.98,-74.8,0.48,0,29.3,56502.6,52236.3,34.27,51767.2,33954,17.7,21.4,21.4,0.648,0.446,0.514
3/30/2022,4:03:01 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91386 °,757.8,107.4,6.8,7.98,-74.9,0.47,0,29.3,56501.2,52235.6,34.26,51766.6,33953,17.7,21.4,21.4,0.671,0.462,0.524
3/30/2022,4:03:02 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91386 °,757.8,107.4,6.8,7.98,-74.9,0.47,0,29.3,56500.9,52236.1,34.27,51767.2,33953,17.7,21.4,21.4,0.697,0.48,0.527
3/30/2022,4:03:03 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91386 °,757.9,107.4,6.8,7.98,-74.9,0.46,0,29.3,56500.1,52236.2,34.27,51767.3,33954,17.7,21.4,21.4,0.719,0.495,0.543
3/30/2022,4:03:04 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91386 °,757.9,107.4,6.8,7.98,-75,0.46,0,29.3,56500.2,52235.9,34.26,51767,33953,17.7,21.4,21.4,0.733,0.505,0.535
3/30/2022,4:03:05 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91385 °,757.9,107.4,6.8,7.98,-75,0.47,0,29.3,56500.6,52236.1,34.26,51767.2,33953,17.7,21.4,21.4,0.756,0.521,0.558
3/30/2022,4:03:06 PM,Cabral,PitProfile_4PM,-17.51648 °,-149.91385 °,757.9,107.4,6.8,7.98,-75.1,0.46,0,29.3,56502.4,52237.7,34.27,51768.8,33955,17.7,21.4,21.4,0.775,0.534,0.548
