DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/31/2022,1:13:16 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.4,99.8,6.41,8,-75.9,0.59,0,28.5,55552,52094.6,34.19,51718.4,33861,18,21.6,21.6,0.062,0.043,0.054
3/31/2022,1:13:17 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.4,99.7,6.4,8,-76,0.57,0,28.5,55557,52093.4,34.19,51716.6,33861,18,21.6,21.6,0.075,0.052,0.067
3/31/2022,1:13:18 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.5,99.6,6.39,8,-76,0.57,0,28.5,55558.8,52090.6,34.18,51713.3,33859,18,21.6,21.6,0.08,0.055,0.046
3/31/2022,1:13:19 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.5,99.5,6.39,8,-76.1,0.56,0,28.5,55560.4,52090.4,34.18,51712.9,33859,18,21.6,21.6,0.086,0.059,0.04
3/31/2022,1:13:20 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.5,99.4,6.38,8,-76.2,0.56,0,28.5,55567.6,52088.1,34.18,51709.4,33857,18,21.6,21.6,0.101,0.07,0.101
3/31/2022,1:13:21 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.5,99.2,6.37,8,-76.3,0.55,0,28.5,55586.6,52098.1,34.19,51718.4,33864,18,21.6,21.6,0.116,0.08,0.172
3/31/2022,1:13:22 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.4,99.1,6.36,8,-76.3,0.55,0,28.5,55608.3,52104.3,34.19,51722.8,33868,18,21.6,21.6,0.137,0.094,0.205
3/31/2022,1:13:23 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.4,99.1,6.36,8,-76.4,0.54,0,28.5,55622.9,52107,34.19,51724.2,33870,18,21.6,21.6,0.161,0.111,0.233
3/31/2022,1:13:24 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.5,99,6.35,8,-76.4,0.52,0,28.5,55631.8,52107.1,34.19,51723.3,33870,18,21.6,21.6,0.196,0.135,0.315
3/31/2022,1:13:25 AM,Cabral,PitProfile_1AM,0.00000 °,0.00000 °,758.4,99,6.35,8.01,-76.4,0.52,0,28.6,55648.3,52114,34.2,51729.1,33874,18,21.6,21.6,0.261,0.179,0.423
