MiniDOT Logger Concatenated Data File
Sensor:             7450-735719
Concatenation Date: 2021Jan19 13:54:14 HST

DO concentration compensated for salinity: 34.0 (ppt)
Saturation computed at elevation: -0.8 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Hawaii Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1583374380,           2020-03-05 02:13:00,           2020-03-04 16:13:00,      3.330000,     23.397000,          6.523904,                    93.183452,      0.974000"
"                1583374440,           2020-03-05 02:14:00,           2020-03-04 16:14:00,      3.340000,     22.510000,          6.776794,                    95.300112,      0.975000"
"                1583374500,           2020-03-05 02:15:00,           2020-03-04 16:15:00,      3.350000,     21.958000,          6.864921,                    95.598643,      0.975000"
"                1583374560,           2020-03-05 02:16:00,           2020-03-04 16:16:00,      3.350000,     21.590000,          6.930119,                    95.874264,      0.977000"
"                1583374620,           2020-03-05 02:17:00,           2020-03-04 16:17:00,      3.360000,     21.306000,          6.938700,                    95.504850,      0.975000"
"                1583374680,           2020-03-05 02:18:00,           2020-03-04 16:18:00,      3.360000,     21.105000,          6.972698,                    95.625872,      0.976000"
"                1583374740,           2020-03-05 02:19:00,           2020-03-04 16:19:00,      3.360000,     20.946000,          6.994814,                    95.654013,      0.976000"
"                1583374800,           2020-03-05 02:20:00,           2020-03-04 16:20:00,      3.370000,     20.846000,          7.001965,                    95.578636,      0.975000"
"                1583374860,           2020-03-05 02:21:00,           2020-03-04 16:21:00,      3.370000,     20.746000,          7.019761,                    95.647985,      0.977000"
"                1583374920,           2020-03-05 02:22:00,           2020-03-04 16:22:00,      3.370000,     20.704000,          7.028331,                    95.691775,      0.977000"
"                1583374980,           2020-03-05 02:23:00,           2020-03-04 16:23:00,      3.370000,     20.654000,          7.029443,                    95.620053,      0.977000"
"                1583375040,           2020-03-05 02:24:00,           2020-03-04 16:24:00,      3.380000,     20.628000,          7.034084,                    95.637976,      0.977000"
"                1583375100,           2020-03-05 02:25:00,           2020-03-04 16:25:00,      3.380000,     20.587000,          7.035290,                    95.583094,      0.977000"
"                1583375160,           2020-03-05 02:26:00,           2020-03-04 16:26:00,      3.380000,     20.570000,          7.041662,                    95.640086,      0.978000"
"                1583375220,           2020-03-05 02:27:00,           2020-03-04 16:27:00,      3.380000,     20.536000,          7.045398,                    95.631635,      0.978000"
"                1583375280,           2020-03-05 02:28:00,           2020-03-04 16:28:00,      3.380000,     20.520000,          7.043591,                    95.579268,      0.978000"
"                1583375340,           2020-03-05 02:29:00,           2020-03-04 16:29:00,      3.380000,     20.503000,          7.041774,                    95.525034,      0.977000"
"                1583375400,           2020-03-05 02:30:00,           2020-03-04 16:30:00,      3.390000,     20.503000,          7.042593,                    95.536142,      0.978000"
"                1583375460,           2020-03-05 02:31:00,           2020-03-04 16:31:00,      3.390000,     20.495000,          7.041690,                    95.509971,      0.978000"
"                1583375520,           2020-03-05 02:32:00,           2020-03-04 16:32:00,      3.390000,     20.495000,          7.039233,                    95.476654,      0.978000"
"                1583375580,           2020-03-05 02:33:00,           2020-03-04 16:33:00,      3.390000,     20.478000,          7.033322,                    95.366942,      0.977000"
"                1583375640,           2020-03-05 02:34:00,           2020-03-04 16:34:00,      3.390000,     20.469000,          7.048784,                    95.560920,      0.979000"
"                1583375700,           2020-03-05 02:35:00,           2020-03-04 16:35:00,      3.390000,     20.469000,          7.047965,                    95.549819,      0.979000"
"                1583375760,           2020-03-05 02:36:00,           2020-03-04 16:36:00,      3.390000,     20.453000,          7.042884,                    95.453090,      0.978000"
"                1583375820,           2020-03-05 02:37:00,           2020-03-04 16:37:00,      3.390000,     20.444000,          7.050157,                    95.535995,      0.979000"
"                1583375880,           2020-03-05 02:38:00,           2020-03-04 16:38:00,      3.390000,     20.453000,          7.042065,                    95.441993,      0.979000"
"                1583375940,           2020-03-05 02:39:00,           2020-03-04 16:39:00,      3.390000,     20.436000,          7.036973,                    95.343429,      0.978000"
"                1583376000,           2020-03-05 02:40:00,           2020-03-04 16:40:00,      3.400000,     20.436000,          7.052529,                    95.554194,      0.979000"
"                1583376060,           2020-03-05 02:41:00,           2020-03-04 16:41:00,      3.400000,     20.444000,          7.046063,                    95.480521,      0.979000"
"                1583376120,           2020-03-05 02:42:00,           2020-03-04 16:42:00,      3.400000,     20.428000,          7.043438,                    95.417108,      0.979000"
"                1583376180,           2020-03-05 02:43:00,           2020-03-04 16:43:00,      3.400000,     20.453000,          7.030602,                    95.286640,      0.978000"
"                1583376240,           2020-03-05 02:44:00,           2020-03-04 16:44:00,      3.400000,     20.428000,          7.044257,                    95.428199,      0.979000"
"                1583376300,           2020-03-05 02:45:00,           2020-03-04 16:45:00,      3.400000,     20.444000,          7.038695,                    95.380670,      0.979000"
"                1583376360,           2020-03-05 02:46:00,           2020-03-04 16:46:00,      3.400000,     20.419000,          7.046618,                    95.444517,      0.979000"
"                1583376420,           2020-03-05 02:47:00,           2020-03-04 16:47:00,      3.400000,     20.436000,          7.038610,                    95.365615,      0.978000"
"                1583376480,           2020-03-05 02:48:00,           2020-03-04 16:48:00,      3.400000,     20.428000,          7.037707,                    95.339470,      0.978000"
"                1583376540,           2020-03-05 02:49:00,           2020-03-04 16:49:00,      3.400000,     20.419000,          7.043343,                    95.400161,      0.979000"
"                1583376600,           2020-03-05 02:50:00,           2020-03-04 16:50:00,      3.400000,     20.411000,          7.043258,                    95.385097,      0.979000"
"                1583376660,           2020-03-05 02:51:00,           2020-03-04 16:51:00,      3.400000,     20.428000,          7.040982,                    95.383834,      0.979000"
"                1583376720,           2020-03-05 02:52:00,           2020-03-04 16:52:00,      3.400000,     20.411000,          7.043258,                    95.385097,      0.979000"
"                1583376780,           2020-03-05 02:53:00,           2020-03-04 16:53:00,      3.400000,     20.428000,          7.038526,                    95.350561,      0.979000"
"                1583376840,           2020-03-05 02:54:00,           2020-03-04 16:54:00,      3.400000,     20.428000,          7.040982,                    95.383834,      0.979000"
"                1583376900,           2020-03-05 02:55:00,           2020-03-04 16:55:00,      3.400000,     20.419000,          7.041705,                    95.377982,      0.979000"
"                1583376960,           2020-03-05 02:56:00,           2020-03-04 16:56:00,      3.410000,     20.428000,          7.039344,                    95.361652,      0.979000"
"                1583377020,           2020-03-05 02:57:00,           2020-03-04 16:57:00,      3.410000,     20.419000,          7.040887,                    95.366893,      0.978000"
"                1583377080,           2020-03-05 02:58:00,           2020-03-04 16:58:00,      3.410000,     20.436000,          7.042704,                    95.421079,      0.979000"
"                1583377140,           2020-03-05 02:59:00,           2020-03-04 16:59:00,      3.410000,     20.428000,          7.045075,                    95.439290,      0.979000"
"                1583377200,           2020-03-05 03:00:00,           2020-03-04 17:00:00,      3.410000,     20.428000,          7.047532,                    95.472563,      0.979000"
"                1583377260,           2020-03-05 03:01:00,           2020-03-04 17:01:00,      3.410000,     20.428000,          7.036069,                    95.317287,      0.978000"
"                1583377320,           2020-03-05 03:02:00,           2020-03-04 17:02:00,      3.410000,     20.436000,          7.036973,                    95.343429,      0.979000"
"                1583377380,           2020-03-05 03:03:00,           2020-03-04 17:03:00,      3.410000,     20.444000,          7.039513,                    95.391764,      0.979000"
"                1583377440,           2020-03-05 03:04:00,           2020-03-04 17:04:00,      3.410000,     20.444000,          7.040332,                    95.402859,      0.979000"
"                1583377500,           2020-03-05 03:05:00,           2020-03-04 17:05:00,      3.410000,     20.428000,          7.042619,                    95.406017,      0.979000"
"                1583377560,           2020-03-05 03:06:00,           2020-03-04 17:06:00,      3.410000,     20.444000,          7.041970,                    95.425048,      0.979000"
"                1583377620,           2020-03-05 03:07:00,           2020-03-04 17:07:00,      3.410000,     20.444000,          7.043607,                    95.447237,      0.979000"
"                1583377680,           2020-03-05 03:08:00,           2020-03-04 17:08:00,      3.410000,     20.436000,          7.040248,                    95.387801,      0.979000"
"                1583377740,           2020-03-05 03:09:00,           2020-03-04 17:09:00,      3.410000,     20.436000,          7.040248,                    95.387801,      0.979000"
"                1583377800,           2020-03-05 03:10:00,           2020-03-04 17:10:00,      3.410000,     20.436000,          7.041066,                    95.398894,      0.979000"
"                1583377860,           2020-03-05 03:11:00,           2020-03-04 17:11:00,      3.410000,     20.444000,          7.042788,                    95.436143,      0.979000"
"                1583377920,           2020-03-05 03:12:00,           2020-03-04 17:12:00,      3.410000,     20.444000,          7.046882,                    95.491616,      0.980000"
"                1583377980,           2020-03-05 03:13:00,           2020-03-04 17:13:00,      3.410000,     20.444000,          7.040332,                    95.402859,      0.979000"
"                1583378040,           2020-03-05 03:14:00,           2020-03-04 17:14:00,      3.410000,     20.436000,          7.042704,                    95.421079,      0.979000"
"                1583378100,           2020-03-05 03:15:00,           2020-03-04 17:15:00,      3.410000,     20.436000,          7.049254,                    95.509823,      0.980000"
"                1583378160,           2020-03-05 03:16:00,           2020-03-04 17:16:00,      3.410000,     20.461000,          7.041331,                    95.445957,      0.979000"
"                1583378220,           2020-03-05 03:17:00,           2020-03-04 17:17:00,      3.410000,     20.453000,          7.039609,                    95.408703,      0.979000"
"                1583378280,           2020-03-05 03:18:00,           2020-03-04 17:18:00,      3.410000,     20.453000,          7.034696,                    95.342123,      0.979000"
"                1583378340,           2020-03-05 03:19:00,           2020-03-04 17:19:00,      3.410000,     20.453000,          7.035515,                    95.353220,      0.979000"
"                1583378400,           2020-03-05 03:20:00,           2020-03-04 17:20:00,      3.420000,     20.428000,          7.049988,                    95.505837,      0.980000"
"                1583378460,           2020-03-05 03:21:00,           2020-03-04 17:21:00,      3.420000,     20.453000,          7.042065,                    95.441993,      0.979000"
"                1583378520,           2020-03-05 03:22:00,           2020-03-04 17:22:00,      3.420000,     20.453000,          7.039609,                    95.408703,      0.979000"
"                1583378580,           2020-03-05 03:23:00,           2020-03-04 17:23:00,      3.420000,     20.461000,          7.033143,                    95.334974,      0.979000"
"                1583378640,           2020-03-05 03:24:00,           2020-03-04 17:24:00,      3.420000,     20.444000,          7.037876,                    95.369575,      0.979000"
"                1583378700,           2020-03-05 03:25:00,           2020-03-04 17:25:00,      3.420000,     20.461000,          7.041331,                    95.445957,      0.979000"
"                1583378760,           2020-03-05 03:26:00,           2020-03-04 17:26:00,      3.420000,     20.453000,          7.045340,                    95.486379,      0.979000"
"                1583378820,           2020-03-05 03:27:00,           2020-03-04 17:27:00,      3.420000,     20.461000,          7.038874,                    95.412662,      0.979000"
"                1583378880,           2020-03-05 03:28:00,           2020-03-04 17:28:00,      3.420000,     20.453000,          7.037152,                    95.375413,      0.979000"
