date,TempInSitu,mV,pH,pH_Serial
2023-05-29T19:12:00Z,28.62,-85.92,8.2,pH_195
2023-05-29T19:14:00Z,28.59,-84.49,8.18,pH_195
2023-05-29T19:16:00Z,28.54,-84.5,8.18,pH_195
2023-05-29T19:18:00Z,28.57,-84.78,8.18,pH_195
2023-05-29T19:20:00Z,28.54,-84.16,8.17,pH_195
2023-05-29T19:22:00Z,28.54,-84.88,8.19,pH_195
2023-05-29T19:24:00Z,28.54,-85,8.19,pH_195
2023-05-29T19:26:00Z,28.54,-84.46,8.18,pH_195
2023-05-29T19:28:00Z,28.57,-85.27,8.19,pH_195
2023-05-29T19:30:00Z,28.54,-85.5,8.2,pH_195
2023-05-29T19:32:00Z,28.54,-84.24,8.17,pH_195
2023-05-29T19:34:00Z,28.57,-85.42,8.2,pH_195
2023-05-29T19:36:00Z,28.54,-85.13,8.19,pH_195
2023-05-29T19:38:00Z,28.52,-83.3,8.16,pH_195
2023-05-29T19:40:00Z,28.54,-85.28,8.19,pH_195
2023-05-29T19:42:00Z,28.52,-84.97,8.19,pH_195
2023-05-29T19:44:00Z,28.49,-84.89,8.19,pH_195
2023-05-29T19:46:00Z,28.49,-84.63,8.18,pH_195
2023-05-29T19:48:00Z,28.49,-84.38,8.18,pH_195
2023-05-29T19:50:00Z,28.49,-85.11,8.19,pH_195
2023-05-29T19:52:00Z,28.52,-85.38,8.19,pH_195
2023-05-29T19:54:00Z,28.49,-84.89,8.19,pH_195
2023-05-29T19:56:00Z,28.49,-85.72,8.2,pH_195
2023-05-29T19:58:00Z,28.47,-85.02,8.19,pH_195
2023-05-29T20:00:00Z,28.44,-85.28,8.19,pH_195
2023-05-29T20:02:00Z,28.42,-84.44,8.18,pH_195
2023-05-29T20:04:00Z,28.37,-83.66,8.16,pH_195
2023-05-29T20:06:00Z,28.39,-84.6,8.18,pH_195
2023-05-29T20:08:00Z,28.42,-85,8.19,pH_195
2023-05-29T20:10:00Z,28.42,-85.1,8.19,pH_195
2023-05-29T20:12:00Z,28.37,-83.78,8.17,pH_195
2023-05-29T20:14:00Z,28.39,-85.39,8.2,pH_195
2023-05-29T20:16:00Z,28.39,-85.39,8.2,pH_195
2023-05-29T20:18:00Z,28.39,-85.08,8.19,pH_195
2023-05-29T20:20:00Z,28.42,-85.57,8.2,pH_195
2023-05-29T20:22:00Z,28.37,-84.64,8.18,pH_195
2023-05-29T20:24:00Z,28.39,-85.14,8.19,pH_195
2023-05-29T20:26:00Z,28.39,-84.92,8.19,pH_195
2023-05-29T20:28:00Z,28.39,-85.28,8.19,pH_195
2023-05-29T20:30:00Z,28.37,-84.72,8.18,pH_195
2023-05-29T20:32:00Z,28.39,-85.5,8.2,pH_195
2023-05-29T20:34:00Z,28.39,-84.75,8.18,pH_195
2023-05-29T20:36:00Z,28.39,-85.1,8.19,pH_195
2023-05-29T20:38:00Z,28.39,-85.11,8.19,pH_195
2023-05-29T20:40:00Z,28.42,-85.55,8.2,pH_195
2023-05-29T20:42:00Z,28.39,-84.74,8.18,pH_195
2023-05-29T20:44:00Z,28.37,-85.25,8.19,pH_195
2023-05-29T20:46:00Z,28.34,-84.66,8.18,pH_195
2023-05-29T20:48:00Z,28.37,-84.38,8.18,pH_195
2023-05-29T20:50:00Z,28.37,-85.03,8.19,pH_195
2023-05-29T20:52:00Z,28.39,-85.83,8.2,pH_195
2023-05-29T20:54:00Z,28.39,-85.42,8.2,pH_195
2023-05-29T20:56:00Z,28.37,-85.27,8.19,pH_195
2023-05-29T20:58:00Z,28.34,-85.35,8.19,pH_195
2023-05-29T21:00:00Z,28.34,-85.46,8.2,pH_195
2023-05-29T21:02:00Z,28.34,-84.61,8.18,pH_195
2023-05-29T21:04:00Z,28.37,-85.5,8.2,pH_195
2023-05-29T21:06:00Z,28.39,-85.58,8.2,pH_195
2023-05-29T21:08:00Z,28.34,-85.08,8.19,pH_195
2023-05-29T21:10:00Z,28.39,-86.14,8.21,pH_195
2023-05-29T21:12:00Z,28.39,-85.41,8.2,pH_195
2023-05-29T21:14:00Z,28.39,-85.1,8.19,pH_195
2023-05-29T21:16:00Z,28.42,-86,8.21,pH_195
2023-05-29T21:18:00Z,28.39,-85.99,8.21,pH_195
2023-05-29T21:20:00Z,28.37,-85.58,8.2,pH_195
2023-05-29T21:22:00Z,28.37,-85.13,8.19,pH_195
2023-05-29T21:24:00Z,28.39,-85.77,8.2,pH_195
2023-05-29T21:26:00Z,28.37,-84.75,8.18,pH_195
2023-05-29T21:28:00Z,28.39,-85.78,8.2,pH_195
2023-05-29T21:30:00Z,28.39,-85.35,8.19,pH_195
2023-05-29T21:32:00Z,28.39,-85.27,8.19,pH_195
2023-05-29T21:34:00Z,28.39,-86.08,8.21,pH_195
2023-05-29T21:36:00Z,28.42,-86.07,8.21,pH_195
2023-05-29T21:38:00Z,28.39,-85.99,8.21,pH_195
2023-05-29T21:40:00Z,28.39,-85.66,8.2,pH_195
2023-05-29T21:42:00Z,28.37,-85.88,8.2,pH_195
2023-05-29T21:44:00Z,28.39,-85.92,8.2,pH_195
2023-05-29T21:46:00Z,28.42,-85.83,8.2,pH_195
2023-05-29T21:48:00Z,28.37,-85.16,8.19,pH_195
2023-05-29T21:50:00Z,28.39,-85.92,8.2,pH_195
2023-05-29T21:52:00Z,28.37,-85.35,8.19,pH_195
2023-05-29T21:54:00Z,28.39,-85.78,8.2,pH_195
2023-05-29T21:56:00Z,28.32,-85.16,8.19,pH_195
2023-05-29T21:58:00Z,28.39,-85.8,8.2,pH_195
2023-05-29T22:00:00Z,28.34,-85.03,8.19,pH_195
2023-05-29T22:02:00Z,28.39,-85.94,8.21,pH_195
2023-05-29T22:04:00Z,28.34,-84.63,8.18,pH_195
2023-05-29T22:06:00Z,28.34,-84.46,8.18,pH_195
2023-05-29T22:08:00Z,28.39,-85.86,8.2,pH_195
2023-05-29T22:10:00Z,28.34,-84.67,8.18,pH_195
2023-05-29T22:12:00Z,28.34,-84.99,8.19,pH_195
2023-05-29T22:14:00Z,28.37,-85.57,8.2,pH_195
2023-05-29T22:16:00Z,28.39,-85.67,8.2,pH_195
2023-05-29T22:18:00Z,28.34,-85.16,8.19,pH_195
2023-05-29T22:20:00Z,28.34,-85.16,8.19,pH_195
2023-05-29T22:22:00Z,28.34,-84.85,8.19,pH_195
2023-05-29T22:24:00Z,28.34,-84.78,8.18,pH_195
2023-05-29T22:26:00Z,28.34,-85.17,8.19,pH_195
2023-05-29T22:28:00Z,28.32,-85.14,8.19,pH_195
2023-05-29T22:30:00Z,28.34,-84.86,8.19,pH_195
2023-05-29T22:32:00Z,28.32,-84.66,8.18,pH_195
2023-05-29T22:34:00Z,28.34,-85.71,8.2,pH_195
2023-05-29T22:36:00Z,28.34,-85.49,8.2,pH_195
2023-05-29T22:38:00Z,28.34,-85.24,8.19,pH_195
2023-05-29T22:40:00Z,28.32,-85.39,8.2,pH_195
2023-05-29T22:42:00Z,28.34,-85.28,8.19,pH_195
2023-05-29T22:44:00Z,28.34,-85.47,8.2,pH_195
2023-05-29T22:46:00Z,28.32,-84.89,8.19,pH_195
2023-05-29T22:48:00Z,28.32,-84.92,8.19,pH_195
2023-05-29T22:50:00Z,28.3,-85.03,8.19,pH_195
2023-05-29T22:52:00Z,28.32,-85.42,8.2,pH_195
2023-05-29T22:54:00Z,28.3,-84.92,8.19,pH_195
2023-05-29T22:56:00Z,28.32,-85.22,8.19,pH_195
2023-05-29T22:58:00Z,28.32,-85.13,8.19,pH_195
2023-05-29T23:00:00Z,28.3,-84.83,8.19,pH_195
2023-05-29T23:02:00Z,28.3,-85.17,8.19,pH_195
2023-05-29T23:04:00Z,28.27,-84.39,8.18,pH_195
2023-05-29T23:06:00Z,28.32,-85.33,8.19,pH_195
2023-05-29T23:08:00Z,28.3,-84.78,8.18,pH_195
2023-05-29T23:10:00Z,28.3,-84.85,8.19,pH_195
2023-05-29T23:12:00Z,28.32,-85.22,8.19,pH_195
2023-05-29T23:14:00Z,28.3,-85.33,8.19,pH_195
2023-05-29T23:16:00Z,28.3,-84.94,8.19,pH_195
2023-05-29T23:18:00Z,28.32,-85.36,8.2,pH_195
2023-05-29T23:20:00Z,28.32,-85.27,8.19,pH_195
2023-05-29T23:22:00Z,28.32,-85.35,8.19,pH_195
2023-05-29T23:24:00Z,28.3,-84.64,8.18,pH_195
2023-05-29T23:26:00Z,28.25,-84.67,8.18,pH_195
2023-05-29T23:28:00Z,28.27,-84.47,8.18,pH_195
2023-05-29T23:30:00Z,28.27,-84.72,8.18,pH_195
2023-05-29T23:32:00Z,28.25,-84.08,8.17,pH_195
2023-05-29T23:34:00Z,28.3,-85.55,8.2,pH_195
2023-05-29T23:36:00Z,28.3,-85.02,8.19,pH_195
2023-05-29T23:38:00Z,28.27,-85,8.19,pH_195
2023-05-29T23:40:00Z,28.25,-84.75,8.18,pH_195
2023-05-29T23:42:00Z,28.25,-84.41,8.18,pH_195
2023-05-29T23:44:00Z,28.27,-85.35,8.19,pH_195
2023-05-29T23:46:00Z,28.22,-83.64,8.16,pH_195
