date,DO_mg_L,Temperature
2023-05-29T16:02:00Z,9.334,28.973
2023-05-29T16:04:00Z,9.422,28.999
2023-05-29T16:06:00Z,9.501,29.024
2023-05-29T16:08:00Z,9.48,29.024
2023-05-29T16:10:00Z,9.495,29.05
2023-05-29T16:12:00Z,9.476,29.041
2023-05-29T16:14:00Z,9.426,29.041
2023-05-29T16:16:00Z,9.486,29.05
2023-05-29T16:18:00Z,9.543,29.059
2023-05-29T16:20:00Z,9.6,29.05
2023-05-29T16:22:00Z,9.518,29.041
2023-05-29T16:24:00Z,9.602,29.067
2023-05-29T16:26:00Z,9.577,29.041
2023-05-29T16:28:00Z,9.609,29.041
2023-05-29T16:30:00Z,9.505,29.041
2023-05-29T16:32:00Z,9.461,29.041
2023-05-29T16:34:00Z,9.567,29.041
2023-05-29T16:36:00Z,9.512,29.041
2023-05-29T16:38:00Z,9.638,29.05
2023-05-29T16:40:00Z,9.689,29.067
2023-05-29T16:42:00Z,9.62,29.076
2023-05-29T16:44:00Z,9.527,29.059
2023-05-29T16:46:00Z,9.588,29.05
2023-05-29T16:48:00Z,9.628,29.05
2023-05-29T16:50:00Z,9.729,29.059
2023-05-29T16:52:00Z,9.691,29.067
2023-05-29T16:54:00Z,9.728,29.041
2023-05-29T16:56:00Z,9.684,29.041
2023-05-29T16:58:00Z,9.664,29.059
2023-05-29T17:00:00Z,9.657,29.041
2023-05-29T17:02:00Z,9.638,29.016
2023-05-29T17:04:00Z,9.679,29.016
2023-05-29T17:06:00Z,9.649,29.016
2023-05-29T17:08:00Z,9.592,28.999
2023-05-29T17:10:00Z,9.644,28.999
2023-05-29T17:12:00Z,9.564,28.981
2023-05-29T17:14:00Z,9.485,28.981
2023-05-29T17:16:00Z,9.502,28.964
2023-05-29T17:18:00Z,9.424,28.947
2023-05-29T17:20:00Z,9.435,28.947
2023-05-29T17:22:00Z,9.381,28.947
2023-05-29T17:24:00Z,9.342,28.947
2023-05-29T17:26:00Z,9.265,28.921
