"Plot Title: Depth_012221_877_wRAD"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810877, SEN S/N: 20810877)","Temp, °C (LGR S/N: 20810877, SEN S/N: 20810877)","Water Level, meters (LGR S/N: 20810877)","Coupler Detached (LGR S/N: 20810877)","Coupler Attached (LGR S/N: 20810877)","Host Connected (LGR S/N: 20810877)","Stopped (LGR S/N: 20810877)","End Of File (LGR S/N: 20810877)"
1,01/22/21 12:00:00 PM,101.422,26.097,0.080,Logged,,,,
2,01/22/21 12:01:00 PM,101.422,26.097,0.080,,,,,
3,01/22/21 12:02:00 PM,101.404,26.097,0.078,,,,,
4,01/22/21 12:03:00 PM,101.422,26.097,0.080,,,,,
5,01/22/21 12:04:00 PM,101.407,26.195,0.078,,,,,
6,01/22/21 12:05:00 PM,101.336,26.195,0.071,,,,,
7,01/22/21 12:06:00 PM,101.425,26.195,0.080,,,,,
8,01/22/21 12:07:00 PM,101.443,26.195,0.082,,,,,
9,01/22/21 12:08:00 PM,101.443,26.195,0.082,,,,,
10,01/22/21 12:09:00 PM,101.443,26.195,0.082,,,,,
11,01/22/21 12:10:00 PM,101.443,26.195,0.082,,,,,
12,01/22/21 12:11:00 PM,101.443,26.195,0.082,,,,,
13,01/22/21 12:12:00 PM,101.482,26.292,0.086,,,,,
14,01/22/21 12:13:00 PM,101.482,26.292,0.086,,,,,
15,01/22/21 12:14:00 PM,101.500,26.292,0.088,,,,,
16,01/22/21 12:15:00 PM,101.500,26.292,0.088,,,,,
17,01/22/21 12:16:00 PM,101.536,26.292,0.091,,,,,
18,01/22/21 12:17:00 PM,101.468,26.390,0.084,,,,,
19,01/22/21 12:18:00 PM,101.542,27.567,0.092,,,,,
20,01/22/21 12:19:00 PM,101.549,28.853,0.093,,,,,
21,01/22/21 12:20:00 PM,101.563,30.356,0.094,,,,,
22,01/22/21 12:21:00 PM,101.615,31.880,0.099,,,,,
23,01/22/21 12:22:00 PM,101.661,33.222,0.104,,,,,
24,01/22/21 12:23:00 PM,101.675,34.691,0.105,,,,,
25,01/22/21 12:24:00 PM,101.720,35.971,0.110,,,,,
26,01/22/21 12:25:00 PM,101.743,37.165,0.112,,,,,
27,01/22/21 12:26:00 PM,101.818,38.268,0.119,,,,,
28,01/22/21 12:27:00 PM,101.806,38.938,0.118,,,,,
29,01/22/21 12:28:00 PM,101.808,39.502,0.118,,,,,
30,01/22/21 12:29:00 PM,101.875,39.843,0.125,,,,,
31,01/22/21 12:30:00 PM,101.866,39.615,0.124,,,,,
32,01/22/21 12:31:00 PM,101.624,38.379,0.100,,,,,
33,01/22/21 12:32:00 PM,101.549,34.691,0.093,,,,,
34,01/22/21 12:33:00 PM,101.477,33.118,0.085,,,,,
35,01/22/21 12:34:00 PM,101.650,32.394,0.103,,,,,
