"Plot Title: Depth_012221_870_wGPS"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810870, SEN S/N: 20810870)","Temp, °C (LGR S/N: 20810870, SEN S/N: 20810870)","Water Level, meters (LGR S/N: 20810870)","Coupler Detached (LGR S/N: 20810870)","Coupler Attached (LGR S/N: 20810870)","Host Connected (LGR S/N: 20810870)","Stopped (LGR S/N: 20810870)","End Of File (LGR S/N: 20810870)"
1,01/22/21 12:00:00 PM,101.366,25.902,0.100,Logged,,,,
2,01/22/21 12:00:10 PM,101.348,25.902,0.098,,,,,
3,01/22/21 12:00:20 PM,101.312,25.902,0.095,,,,,
4,01/22/21 12:00:30 PM,101.330,25.902,0.096,,,,,
5,01/22/21 12:00:40 PM,101.330,25.902,0.096,,,,,
6,01/22/21 12:00:50 PM,101.330,25.902,0.096,,,,,
7,01/22/21 12:01:00 PM,101.330,25.902,0.096,,,,,
8,01/22/21 12:01:10 PM,101.330,25.902,0.096,,,,,
9,01/22/21 12:01:20 PM,101.348,25.902,0.098,,,,,
10,01/22/21 12:01:30 PM,101.333,26.000,0.097,,,,,
11,01/22/21 12:01:40 PM,101.315,26.000,0.095,,,,,
12,01/22/21 12:01:50 PM,101.315,26.000,0.095,,,,,
13,01/22/21 12:02:00 PM,101.315,26.000,0.095,,,,,
14,01/22/21 12:02:10 PM,101.315,26.000,0.095,,,,,
15,01/22/21 12:02:20 PM,101.297,26.000,0.093,,,,,
16,01/22/21 12:02:30 PM,101.315,26.000,0.095,,,,,
17,01/22/21 12:02:40 PM,101.315,26.000,0.095,,,,,
18,01/22/21 12:02:50 PM,101.315,26.000,0.095,,,,,
19,01/22/21 12:03:00 PM,101.315,26.000,0.095,,,,,
20,01/22/21 12:03:10 PM,101.333,26.000,0.097,,,,,
21,01/22/21 12:03:20 PM,101.315,26.000,0.095,,,,,
22,01/22/21 12:03:30 PM,101.297,26.000,0.093,,,,,
23,01/22/21 12:03:40 PM,101.315,26.000,0.095,,,,,
24,01/22/21 12:03:50 PM,101.315,26.000,0.095,,,,,
25,01/22/21 12:04:00 PM,101.315,26.000,0.095,,,,,
