"","DateTime","Battery","Heading","Pitch","Roll","Pressure","Temperature","AnalogIn1","AnalogIn2","Speed.1.0.150m.","Dir.1.0.150m.","Speed.2.0.200m.","Dir.2.0.200m.","Speed.3.0.250m.","Dir.3.0.250m.","Speed.4.0.300m.","Dir.4.0.300m.","Speed.5.0.350m.","Dir.5.0.350m.","Speed.6.0.400m.","Dir.6.0.400m.","Speed.7.0.450m.","Dir.7.0.450m.","Speed.8.0.500m.","Dir.8.0.500m.","Speed.9.0.550m.","Dir.9.0.550m.","Speed.10.0.600m.","Dir.10.0.600m.","Speed.11.0.650m.","Dir.11.0.650m.","Speed.12.0.700m.","Dir.12.0.700m.","Speed.13.0.750m.","Dir.13.0.750m.","Speed.14.0.800m.","Dir.14.0.800m.","Speed.15.0.850m.","Dir.15.0.850m.","Speed.16.0.900m.","Dir.16.0.900m.","Speed.17.0.950m.","Dir.17.0.950m.","X"
"1",2021-08-08 17:00:00,11.4,354.9,-2.8,0.7,1.681,27.73,0,0,0.016,104.04,0.022,90,0.028,83.88,0.033,81.38,0.035,76.76,0.033,81.38,0.042,78.96,0.024,55.01,0.033,61.11,0.032,69.86,0.028,64.36,0.018,70.56,0.015,61.7,0.012,34.99,0.007,33.69,0.004,56.31,0.002,63.43,NA
"2",2021-08-08 17:02:00,11.4,354.8,-2.8,0.7,1.674,27.72,0,0,0.06,95.71,0.056,93.07,0.051,91.12,0.055,88.96,0.056,85.91,0.056,85.91,0.056,84.9,0.047,75.07,0.05,80.73,0.047,77.74,0.051,80.91,0.047,77.74,0.049,79.38,0.044,75.65,0.045,79.7,0.048,74.22,0.049,75.68,NA
"3",2021-08-08 17:04:00,11.4,354.8,-2.8,0.7,1.648,27.74,0,0,0.016,93.58,0.016,90,0.013,85.6,0.013,85.6,0.012,85.24,0.008,66.8,0.011,68.2,0.019,42.88,0.015,61.7,0.016,60.26,0.017,64.98,0.018,73.61,0.019,64.8,0.016,60.26,0.011,63.43,0.01,66.04,0.01,45,NA
"4",2021-08-08 17:06:00,11.4,354.8,-2.8,0.7,1.668,27.75,0,0,0.012,75.96,0.01,78.69,0.01,90,0.011,105.26,0.012,104.04,0.015,105.95,0.017,107.35,0.006,59.04,0.004,116.57,0.007,146.31,0.01,143.13,0.01,113.96,0.009,102.53,0.005,68.2,0.006,59.04,0.007,63.43,0.005,68.2,NA
"5",2021-08-08 17:08:00,11.4,354.8,-2.8,0.7,1.67,27.75,0,0,0.042,78.96,0.044,82.23,0.041,83.05,0.041,83.05,0.043,84.69,0.041,83.05,0.04,78.41,0.041,83.05,0.041,81.67,0.039,78.11,0.041,80.07,0.038,83.99,0.036,85.24,0.036,80.54,0.032,75.53,0.027,77.01,0.027,74.93,NA
"6",2021-08-08 17:10:00,11.4,354.9,-2.8,0.7,1.653,27.74,0,0,0.037,263.83,0.037,263.83,0.04,267.14,0.039,262.69,0.041,261.67,0.036,260.27,0.038,250.14,0.046,258.69,0.046,254.74,0.049,255.96,0.049,255.96,0.049,255.96,0.052,256.76,0.052,256.76,0.053,260.18,0.054,261.42,0.055,261.57,NA
"7",2021-08-08 17:12:00,11.4,354.9,-2.8,0.7,1.65,27.75,0,0,0.021,104.04,0.019,108.43,0.015,113.2,0.016,104.04,0.02,95.71,0.023,94.97,0.023,94.97,0.022,84.81,0.021,87.27,0.017,83.29,0.012,80.54,0.01,78.69,0.006,59.04,0.004,75.96,0.004,75.96,0.004,104.04,0.003,135,NA
"8",2021-08-08 17:14:00,11.4,354.9,-2.8,0.7,1.646,27.76,0,0,0.083,79.63,0.082,80.19,0.082,80.19,0.079,79.11,0.078,79.7,0.078,80.42,0.063,83.66,0.071,83.57,0.076,83.16,0.072,84.45,0.076,81.66,0.073,82.87,0.073,82.87,0.071,83.57,0.071,81.07,0.075,79.29,0.075,79.29,NA
"9",2021-08-08 17:16:00,11.4,355,-2.8,0.6,1.638,27.74,0,0,0.034,69.44,0.036,69.08,0.034,69.44,0.034,78.02,0.03,80.54,0.031,75.07,0.024,73.07,0.027,74.93,0.028,75.47,0.024,73.07,0.024,77.74,0.021,79.22,0.022,87.4,0.021,79.22,0.021,92.73,0.021,92.73,0.021,90,NA
"10",2021-08-08 17:18:00,11.4,354.9,-2.8,0.6,1.629,27.75,0,0,0.03,76.43,0.031,76.87,0.027,74.93,0.027,77.01,0.026,76.5,0.028,64.36,0.02,63.43,0.024,60.26,0.021,70.71,0.022,76.61,0.018,77.47,0.016,68.2,0.018,77.47,0.016,68.2,0.015,66.8,0.016,75.96,0.012,75.96,NA
