"Plot Title: CT_739_CTD_Casting"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)","Specific Conductance, μS/cm (LGR S/N: 20494739)","Salinity, ppt (LGR S/N: 20494739)"
1,05/13/21 08:00:00 AM,0.0,26.53,0.0,0.0123
2,05/13/21 08:00:03 AM,0.0,26.54,0.0,0.0123
3,05/13/21 08:00:06 AM,0.0,26.53,0.0,0.0123
4,05/13/21 08:00:09 AM,0.0,26.53,0.0,0.0123
5,05/13/21 08:00:12 AM,0.0,26.52,0.0,0.0123
6,05/13/21 08:00:15 AM,0.0,26.53,0.0,0.0123
7,05/13/21 08:00:18 AM,0.0,26.52,0.0,0.0123
8,05/13/21 08:00:21 AM,0.0,26.51,0.0,0.0123
9,05/13/21 08:00:24 AM,0.0,26.51,0.0,0.0123
10,05/13/21 08:00:27 AM,0.0,26.51,0.0,0.0123
11,05/13/21 08:00:30 AM,0.0,26.51,0.0,0.0123
12,05/13/21 08:00:33 AM,0.0,26.51,0.0,0.0123
13,05/13/21 08:00:36 AM,0.0,26.51,0.0,0.0123
14,05/13/21 08:00:39 AM,0.0,26.49,0.0,0.0123
15,05/13/21 08:00:42 AM,0.0,26.49,0.0,0.0123
16,05/13/21 08:00:45 AM,0.0,26.48,0.0,0.0123
17,05/13/21 08:00:48 AM,0.0,26.49,0.0,0.0123
18,05/13/21 08:00:51 AM,0.0,26.48,0.0,0.0123
19,05/13/21 08:00:54 AM,0.0,26.48,0.0,0.0123
20,05/13/21 08:00:57 AM,0.0,26.48,0.0,0.0123
21,05/13/21 08:01:00 AM,0.0,26.47,0.0,0.0123
22,05/13/21 08:01:03 AM,0.0,26.47,0.0,0.0123
23,05/13/21 08:01:06 AM,0.0,26.47,0.0,0.0123
24,05/13/21 08:01:09 AM,0.0,26.46,0.0,0.0123
25,05/13/21 08:01:12 AM,0.0,26.47,0.0,0.0123
26,05/13/21 08:01:15 AM,0.0,26.46,0.0,0.0123
27,05/13/21 08:01:18 AM,0.0,26.46,0.0,0.0123
28,05/13/21 08:01:21 AM,0.0,26.46,0.0,0.0123
29,05/13/21 08:01:24 AM,0.0,26.46,0.0,0.0123
30,05/13/21 08:01:27 AM,0.0,26.46,0.0,0.0123
31,05/13/21 08:01:30 AM,0.0,26.45,0.0,0.0123
32,05/13/21 08:01:33 AM,0.0,26.44,0.0,0.0123
33,05/13/21 08:01:36 AM,0.0,26.45,0.0,0.0123
34,05/13/21 08:01:39 AM,0.0,26.44,0.0,0.0123
35,05/13/21 08:01:42 AM,0.0,26.44,0.0,0.0123
36,05/13/21 08:01:45 AM,0.0,26.44,0.0,0.0123
37,05/13/21 08:01:48 AM,0.0,26.43,0.0,0.0123
38,05/13/21 08:01:51 AM,0.0,26.44,0.0,0.0123
39,05/13/21 08:01:54 AM,0.0,26.43,0.0,0.0123
40,05/13/21 08:01:57 AM,0.0,26.44,0.0,0.0123
41,05/13/21 08:02:00 AM,0.0,26.43,0.0,0.0123
42,05/13/21 08:02:03 AM,0.0,26.41,0.0,0.0123
43,05/13/21 08:02:06 AM,0.0,26.40,0.0,0.0123
44,05/13/21 08:02:09 AM,0.0,26.40,0.0,0.0123
45,05/13/21 08:02:12 AM,0.0,26.40,0.0,0.0123
46,05/13/21 08:02:15 AM,0.0,26.40,0.0,0.0123
47,05/13/21 08:02:18 AM,0.0,26.40,0.0,0.0123
48,05/13/21 08:02:21 AM,0.0,26.40,0.0,0.0123
49,05/13/21 08:02:24 AM,0.0,26.40,0.0,0.0123
