date,TempInSitu,AbsPressure,Depth,LoggerID
2022-06-13T12:46:00Z,28.258,105.703,0.409,WL_876_VSled_20220607
2022-06-13T12:48:00Z,28.258,105.789,0.418,WL_876_VSled_20220607
2022-06-13T12:50:00Z,28.258,105.858,0.425,WL_876_VSled_20220607
2022-06-13T12:52:00Z,28.258,105.772,0.416,WL_876_VSled_20220607
2022-06-13T12:54:00Z,28.357,105.809,0.421,WL_876_VSled_20220607
2022-06-13T12:56:00Z,28.357,105.705,0.41,WL_876_VSled_20220607
2022-06-13T12:58:00Z,28.357,105.791,0.419,WL_876_VSled_20220607
2022-06-13T13:00:00Z,28.456,105.88,0.428,WL_876_VSled_20220607
2022-06-13T13:02:00Z,28.456,105.777,0.418,WL_876_VSled_20220607
2022-06-13T13:04:00Z,28.456,105.536,0.393,WL_876_VSled_20220607
2022-06-13T13:06:00Z,28.456,105.725,0.412,WL_876_VSled_20220607
2022-06-13T13:08:00Z,28.456,105.674,0.407,WL_876_VSled_20220607
2022-06-13T13:10:00Z,28.456,105.605,0.4,WL_876_VSled_20220607
2022-06-13T13:12:00Z,28.456,105.484,0.388,WL_876_VSled_20220607
2022-06-13T13:14:00Z,28.456,105.639,0.403,WL_876_VSled_20220607
2022-06-13T13:16:00Z,28.555,105.625,0.402,WL_876_VSled_20220607
2022-06-13T13:18:00Z,28.555,105.521,0.392,WL_876_VSled_20220607
2022-06-13T13:20:00Z,28.456,105.536,0.393,WL_876_VSled_20220607
2022-06-13T13:22:00Z,28.456,105.57,0.396,WL_876_VSled_20220607
2022-06-13T13:24:00Z,28.456,105.432,0.382,WL_876_VSled_20220607
2022-06-13T13:26:00Z,28.456,105.501,0.389,WL_876_VSled_20220607
2022-06-13T13:28:00Z,28.456,105.381,0.377,WL_876_VSled_20220607
2022-06-13T13:30:00Z,28.456,105.415,0.38,WL_876_VSled_20220607
2022-06-13T13:32:00Z,28.456,105.346,0.373,WL_876_VSled_20220607
2022-06-13T13:34:00Z,28.456,105.432,0.382,WL_876_VSled_20220607
2022-06-13T13:36:00Z,28.456,105.415,0.38,WL_876_VSled_20220607
2022-06-13T13:38:00Z,28.456,105.467,0.386,WL_876_VSled_20220607
2022-06-13T13:40:00Z,28.456,105.45,0.384,WL_876_VSled_20220607
2022-06-13T13:42:00Z,28.456,105.295,0.368,WL_876_VSled_20220607
2022-06-13T13:44:00Z,28.456,105.45,0.384,WL_876_VSled_20220607
2022-06-13T13:46:00Z,28.456,105.432,0.382,WL_876_VSled_20220607
2022-06-13T13:48:00Z,28.456,105.26,0.365,WL_876_VSled_20220607
2022-06-13T13:50:00Z,28.456,105.277,0.366,WL_876_VSled_20220607
2022-06-13T13:52:00Z,28.456,105.415,0.38,WL_876_VSled_20220607
2022-06-13T13:54:00Z,28.456,105.226,0.361,WL_876_VSled_20220607
2022-06-13T13:56:00Z,28.456,105.398,0.379,WL_876_VSled_20220607
2022-06-13T13:58:00Z,28.456,105.191,0.358,WL_876_VSled_20220607
2022-06-13T14:00:00Z,28.456,105.26,0.365,WL_876_VSled_20220607
2022-06-13T14:02:00Z,28.456,105.157,0.354,WL_876_VSled_20220607
2022-06-13T14:04:00Z,28.555,105.159,0.355,WL_876_VSled_20220607
2022-06-13T14:06:00Z,28.555,105.142,0.353,WL_876_VSled_20220607
2022-06-13T14:08:00Z,28.555,105.004,0.339,WL_876_VSled_20220607
2022-06-13T14:10:00Z,28.555,105.159,0.355,WL_876_VSled_20220607
2022-06-13T14:12:00Z,28.555,105.022,0.341,WL_876_VSled_20220607
2022-06-13T14:14:00Z,28.555,105.004,0.339,WL_876_VSled_20220607
2022-06-13T14:16:00Z,28.655,105.076,0.346,WL_876_VSled_20220607
2022-06-13T14:18:00Z,28.655,105.128,0.352,WL_876_VSled_20220607
2022-06-13T14:20:00Z,28.655,105.093,0.348,WL_876_VSled_20220607
