TrisCalDate,mVTris,pH,TTris
3/10/2023,-94.3,8.47,16
3/10/2023,-89.6,8.37,19.7
3/10/2023,-86.5,8.31,21.9
3/10/2023,-83.9,8.25,23.7
3/10/2023,-81.1,8.2,25.8
3/10/2023,-78.3,8.14,27.8
3/10/2023,-76.1,8.1,29.4
3/10/2023,-74.7,8.07,30.4
3/10/2023,-73.2,8.04,31.5
3/10/2023,-72.2,8.02,32.1
3/10/2023,-71.2,8,32.9
3/10/2023,-70.7,7.99,33.3
