date,TempInSitu,AbsPressure,Depth,WL_Serial
2023-02-27T12:00:00Z,29.752,105.26,0.401,WL_876
2023-02-27T12:02:00Z,29.752,106.226,0.497,WL_876
2023-02-27T12:04:00Z,29.853,105.659,0.44,WL_876
2023-02-27T12:06:00Z,29.853,105.298,0.405,WL_876
2023-02-27T12:08:00Z,29.853,105.642,0.439,WL_876
2023-02-27T12:10:00Z,29.853,105.504,0.425,WL_876
2023-02-27T12:12:00Z,29.853,105.315,0.406,WL_876
2023-02-27T12:14:00Z,29.853,105.608,0.435,WL_876
2023-02-27T12:16:00Z,29.853,105.625,0.437,WL_876
2023-02-27T12:18:00Z,29.853,105.815,0.456,WL_876
2023-02-27T12:20:00Z,29.853,105.711,0.446,WL_876
2023-02-27T12:22:00Z,29.853,105.573,0.432,WL_876
2023-02-27T12:24:00Z,29.853,106.194,0.494,WL_876
2023-02-27T12:26:00Z,29.953,105.645,0.439,WL_876
2023-02-27T12:28:00Z,29.853,106.383,0.512,WL_876
2023-02-27T12:30:00Z,29.853,105.728,0.447,WL_876
2023-02-27T12:32:00Z,29.953,105.938,0.468,WL_876
2023-02-27T12:34:00Z,29.853,105.659,0.44,WL_876
2023-02-27T12:36:00Z,29.853,106.021,0.476,WL_876
2023-02-27T12:38:00Z,29.853,105.952,0.47,WL_876
2023-02-27T12:40:00Z,29.953,105.404,0.415,WL_876
2023-02-27T12:42:00Z,29.953,105.352,0.41,WL_876
2023-02-27T12:44:00Z,29.953,105.714,0.446,WL_876
2023-02-27T12:46:00Z,29.953,106.628,0.537,WL_876
2023-02-27T12:48:00Z,30.054,105.613,0.436,WL_876
2023-02-27T12:50:00Z,29.953,105.903,0.465,WL_876
2023-02-27T12:52:00Z,29.953,106.093,0.484,WL_876
2023-02-27T12:54:00Z,29.953,106.197,0.494,WL_876
2023-02-27T12:56:00Z,30.054,105.786,0.453,WL_876
2023-02-27T12:58:00Z,29.953,105.748,0.449,WL_876
2023-02-27T13:00:00Z,29.953,106.403,0.514,WL_876
2023-02-27T13:02:00Z,29.953,106.041,0.478,WL_876
2023-02-27T13:04:00Z,29.953,105.697,0.444,WL_876
2023-02-27T13:06:00Z,29.953,105.679,0.442,WL_876
2023-02-27T13:08:00Z,29.953,105.421,0.417,WL_876
2023-02-27T13:10:00Z,30.054,106.268,0.501,WL_876
2023-02-27T13:12:00Z,30.054,106.079,0.482,WL_876
2023-02-27T13:14:00Z,30.054,105.906,0.465,WL_876
2023-02-27T13:16:00Z,29.953,106.265,0.501,WL_876
2023-02-27T13:18:00Z,29.953,105.628,0.437,WL_876
2023-02-27T13:20:00Z,30.054,105.889,0.463,WL_876
2023-02-27T13:22:00Z,30.054,106.372,0.511,WL_876
2023-02-27T13:24:00Z,30.054,105.923,0.467,WL_876
2023-02-27T13:26:00Z,30.054,105.579,0.432,WL_876
2023-02-27T13:28:00Z,30.054,106.113,0.486,WL_876
2023-02-27T13:30:00Z,30.054,106.354,0.51,WL_876
2023-02-27T13:32:00Z,30.054,106.01,0.475,WL_876
2023-02-27T13:34:00Z,30.054,105.837,0.458,WL_876
2023-02-27T13:36:00Z,30.054,105.544,0.429,WL_876
2023-02-27T13:38:00Z,30.054,106.044,0.479,WL_876
2023-02-27T13:40:00Z,30.054,105.854,0.46,WL_876
2023-02-27T13:42:00Z,30.054,106.165,0.491,WL_876
2023-02-27T13:44:00Z,30.054,106.079,0.482,WL_876
2023-02-27T13:46:00Z,30.054,106.458,0.52,WL_876
2023-02-27T13:48:00Z,30.054,105.63,0.438,WL_876
2023-02-27T13:50:00Z,30.054,106.441,0.518,WL_876
2023-02-27T13:52:00Z,29.953,106.369,0.511,WL_876
2023-02-27T13:54:00Z,29.953,105.662,0.441,WL_876
2023-02-27T13:56:00Z,29.953,106.265,0.501,WL_876
2023-02-27T13:58:00Z,29.953,105.921,0.466,WL_876
2023-02-27T14:00:00Z,29.953,106.472,0.521,WL_876
2023-02-27T14:02:00Z,29.953,106.162,0.49,WL_876
2023-02-27T14:04:00Z,29.953,106.576,0.532,WL_876
2023-02-27T14:06:00Z,29.953,106.696,0.544,WL_876
2023-02-27T14:08:00Z,29.953,107.007,0.575,WL_876
2023-02-27T14:10:00Z,29.953,106.024,0.477,WL_876
2023-02-27T14:12:00Z,29.953,106.783,0.552,WL_876
2023-02-27T14:14:00Z,29.953,106.041,0.478,WL_876
2023-02-27T14:16:00Z,29.953,106.438,0.518,WL_876
2023-02-27T14:18:00Z,29.953,106.49,0.523,WL_876
2023-02-27T14:20:00Z,29.953,106.455,0.52,WL_876
2023-02-27T14:22:00Z,29.953,106.283,0.502,WL_876
2023-02-27T14:24:00Z,29.953,105.99,0.473,WL_876
2023-02-27T14:26:00Z,29.953,106.559,0.53,WL_876
2023-02-27T14:28:00Z,29.953,106.162,0.49,WL_876
2023-02-27T14:30:00Z,30.054,106.044,0.479,WL_876
2023-02-27T14:32:00Z,30.054,106.475,0.522,WL_876
2023-02-27T14:34:00Z,29.953,106.3,0.504,WL_876
2023-02-27T14:36:00Z,29.953,106.455,0.52,WL_876
2023-02-27T14:38:00Z,29.953,105.766,0.451,WL_876
2023-02-27T14:40:00Z,30.054,106.165,0.491,WL_876
2023-02-27T14:42:00Z,30.054,106.182,0.492,WL_876
2023-02-27T14:44:00Z,30.054,105.992,0.474,WL_876
2023-02-27T14:46:00Z,29.953,105.852,0.46,WL_876
2023-02-27T14:48:00Z,30.054,106.441,0.518,WL_876
2023-02-27T14:50:00Z,30.054,107.096,0.583,WL_876
2023-02-27T14:52:00Z,30.054,106.061,0.48,WL_876
2023-02-27T14:54:00Z,30.054,106.837,0.558,WL_876
2023-02-27T14:56:00Z,30.054,106.354,0.51,WL_876
2023-02-27T14:58:00Z,30.054,106.079,0.482,WL_876
2023-02-27T15:00:00Z,30.054,106.492,0.523,WL_876
2023-02-27T15:02:00Z,30.054,106.32,0.506,WL_876
2023-02-27T15:04:00Z,30.054,105.906,0.465,WL_876
2023-02-27T15:06:00Z,29.953,106.283,0.502,WL_876
2023-02-27T15:08:00Z,29.953,106.541,0.528,WL_876
2023-02-27T15:10:00Z,30.054,106.027,0.477,WL_876
2023-02-27T15:12:00Z,30.054,106.63,0.537,WL_876
2023-02-27T15:14:00Z,30.054,105.734,0.448,WL_876
2023-02-27T15:16:00Z,30.054,106.544,0.528,WL_876
2023-02-27T15:18:00Z,30.054,106.889,0.563,WL_876
