7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1643162160, +3.06, +28.574, +118.97910, +952.000, -421.000, +335.000
1643162280, +3.06, +28.566, +117.23882, +952.000, -424.000, +334.000
1643162400, +3.06, +28.558, +119.21444, +953.000, -424.000, +335.000
1643162520, +3.06, +28.550, +93.29913, +952.000, -423.000, +335.000
1643162640, +3.06, +28.566, +76.70144, +952.000, -424.000, +334.000
1643162760, +3.06, +28.582, +71.00992, +952.000, -420.000, +335.000
1643162880, +3.06, +28.550, +83.59444, +952.000, -423.000, +335.000
1643163000, +3.06, +28.542, +80.10149, +952.000, -424.000, +334.000
1643163120, +3.06, +28.542, +74.14986, +952.000, -423.000, +335.000
1643163240, +3.06, +28.574, +70.42467, +952.000, -423.000, +339.000
1643163360, +3.06, +28.550, +65.08926, +952.000, -420.000, +337.000
1643163480, +3.06, +28.509, +65.40511, +952.000, -421.000, +336.000
1643163600, +3.06, +28.492, +61.93693, +952.000, -424.000, +335.000
1643163720, +3.06, +28.484, +61.12563, +952.000, -423.000, +335.000
1643163840, +3.06, +28.484, +63.19415, +953.000, -424.000, +335.000
1643163960, +3.06, +28.476, +62.65224, +953.000, -424.000, +335.000
1643164080, +3.06, +28.460, +63.07957, +951.000, -424.000, +339.000
1643164200, +3.06, +28.443, +66.30931, +952.000, -424.000, +336.000
1643164320, +3.06, +28.443, +61.40122, +953.000, -424.000, +342.000
1643164440, +3.06, +28.443, +65.82005, +952.000, -424.000, +336.000
1643164560, +3.06, +28.435, +66.29692, +953.000, -424.000, +339.000
1643164680, +3.06, +28.443, +63.58122, +952.000, -424.000, +337.000
1643164800, +3.06, +28.419, +72.81833, +952.000, -424.000, +339.000
1643164920, +3.06, +28.427, +60.57444, +952.000, -424.000, +335.000
1643165040, +3.06, +28.427, +54.89840, +952.000, -424.000, +335.000
1643165160, +3.06, +28.411, +51.00290, +952.000, -423.000, +336.000
1643165280, +3.06, +28.394, +48.82910, +952.000, -424.000, +335.000
1643165400, +3.06, +28.386, +53.81769, +952.000, -424.000, +335.000
1643165520, +3.06, +28.370, +56.47146, +951.000, -424.000, +337.000
1643165640, +3.06, +28.337, +50.83878, +952.000, -424.000, +337.000
1643165760, +3.06, +28.296, +44.00152, +952.000, -424.000, +337.000
1643165880, +3.06, +28.304, +36.52637, +1017.000, -428.000, +272.000
1643166000, +3.06, +28.304, +37.83932, +952.000, -424.000, +336.000
1643166120, +3.06, +28.279, +37.23549, +951.000, -424.000, +335.000
1643166240, +3.06, +28.271, +32.53487, +953.000, -424.000, +337.000
1643166360, +3.06, +28.247, +31.09187, +953.000, -424.000, +336.000
1643166480, +3.06, +28.271, +27.36977, +952.000, -424.000, +339.000
1643166600, +3.06, +28.279, +23.64768, +952.000, -424.000, +337.000
1643166720, +3.06, +28.247, +20.32195, +952.000, -424.000, +337.000
1643166840, +3.06, +28.230, +17.41426, +952.000, -424.000, +336.000
1643166960, +3.06, +28.206, +14.75119, +952.000, -424.000, +339.000
1643167080, +3.06, +28.197, +12.15316, +951.000, -424.000, +339.000
1643167200, +3.06, +28.165,  +9.69757, +952.000, -425.000, +336.000
1643167320, +3.06, +28.156,  +7.79317, +952.000, -424.000, +335.000
1643167440, +3.06, +28.173,  +5.20752, +952.000, -424.000, +336.000
1643167560, +3.06, +28.148,  +4.80187, +1016.000, -428.000, +280.000
1643167680, +3.06, +28.140,  +3.56324, +953.000, -424.000, +339.000
1643167800, +3.06, +28.124,  +2.67762, +951.000, -425.000, +336.000
1643167920, +3.06, +28.124,  +1.99946, +1017.000, -428.000, +275.000
1643168040, +3.06, +28.156,  +1.27486, +952.000, -424.000, +336.000
1643168160, +3.06, +28.140,  +0.92495, +952.000, -424.000, +336.000
1643168280, +3.06, +28.148,  +0.57194, +1016.000, -432.000, +278.000
1643168400, +3.06, +28.165,  +0.37066, +1017.000, -429.000, +273.000
1643168520, +3.06, +28.148,  +0.22512, +1020.000, -429.000, +270.000
1643168640, +3.06, +28.140,  +0.09197, +1054.000, -424.000, +168.000
1643168760, +3.06, +28.115,  +0.01455, +956.000, -424.000, +337.000
1643168880, +3.06, +28.099,  +0.12293, +952.000, -423.000, +339.000
1643169000, +3.06, +28.115,  +0.04862, +1024.000, -424.000, +264.000
1643169120, +3.06, +28.115,  -0.01641, +1020.000, -428.000, +264.000
1643169240, +3.06, +28.099,  -0.09073, +1036.000, -416.000, +217.000
1643169360, +3.06, +28.107,  +0.05481, +1017.000, -429.000, +272.000
1643169480, +3.06, +28.132,  -0.08454, +1020.000, -424.000, +268.000
1643169600, +3.06, +28.115,  -0.02261, +952.000, -424.000, +334.000
1643169720, +3.06, +28.132,  -0.09073, +1020.000, -424.000, +268.000
1643169840, +3.06, +28.156,  -0.04118, +960.000, -432.000, +342.000
1643169960, +3.06, +28.189,  +0.04242, +1016.000, -428.000, +270.000
1643170080, +3.06, +28.189,  -0.01641, +1020.000, -428.000, +268.000
1643170200, +3.06, +28.165,  -0.11860, +955.000, -432.000, +339.000
1643170320, +3.06, +28.181,  -0.02261, +953.000, -425.000, +336.000
1643170440, +3.06, +28.197,  -0.04118, +952.000, -424.000, +335.000
1643170560, +3.06, +28.189,  -0.00403, +952.000, -424.000, +336.000
1643170680, +3.06, +28.189,  -0.04428, +1020.000, -424.000, +268.000
1643170800, +3.06, +28.181,  -0.11550, +1024.000, -424.000, +264.000
1643170920, +3.06, +28.173,  -0.08144, +952.000, -425.000, +336.000
1643171040, +3.06, +28.165,  -0.02880, +1024.000, -424.000, +256.000
1643171160, +3.06, +28.148,  +0.03004, +1017.000, -426.000, +270.000
1643171280, +3.06, +28.165,  -0.01951, +952.000, -424.000, +336.000
1643171400, +3.06, +28.132,  -0.10312, +1016.000, -429.000, +272.000
1643171520, +3.06, +28.140,  -0.05047, +952.000, -425.000, +337.000
1643171640, +3.06, +28.140,  -0.04738, +952.000, -424.000, +335.000
1643171760, +3.06, +28.124,  -0.02570, +952.000, -424.000, +336.000
1643171880, +3.06, +28.156,  +0.01765, +951.000, -425.000, +336.000
1643172000, +3.06, +28.156,  -0.09692, +952.000, -424.000, +336.000
1643172120, +3.06, +28.140,  -0.09383, +1033.000, -416.000, +230.000
1643172240, +3.06, +28.140,  +0.07029, +1024.000, -424.000, +262.000
1643172360, +3.06, +28.140,  -0.08144, +1024.000, -426.000, +271.000
1643172480, +3.06, +28.156,  -0.09692, +952.000, -424.000, +337.000
1643172600, +3.06, +28.156,  -0.10002, +1016.000, -429.000, +280.000
1643172720, +3.06, +28.173,  -0.01332, +1020.000, -429.000, +270.000
1643172840, +3.06, +28.181,  -0.03189, +952.000, -424.000, +339.000
1643172960, +3.06, +28.173,  -0.00093, +1024.000, -424.000, +265.000
1643173080, +3.06, +28.181,  -0.05667, +1027.000, -424.000, +252.000
1643173200, +3.06, +28.181,  +0.02694, +952.000, -424.000, +335.000
1643173320, +3.06, +28.189,  +0.03623, +1016.000, -428.000, +276.000
1643173440, +3.06, +28.206,  -0.04118, +952.000, -424.000, +337.000
1643173560, +3.06, +28.189,  -0.03809, +1020.000, -426.000, +268.000
1643173680, +3.06, +28.189,  +0.09197, +1056.000, -36.000, +174.000
1643173800, +3.06, +28.230,  -0.02261, +967.000, +163.000, +551.000
1643173920, +3.06, +28.312,  -0.03499, +967.000, +167.000, +550.000
1643174040, +3.06, +28.468,  -0.01641, +966.000, +167.000, +551.000
1643174160, +3.06, +28.648,  -0.01641, +967.000, +164.000, +551.000
1643174280, +3.06, +28.779,  -0.05357, +1070.000, +164.000, +447.000
1643174400, +3.06, +28.909,  -0.17124, +1072.000, +176.000, +443.000
1643174520, +3.06, +29.040,  -0.05357, +1072.000, +166.000, +447.000
1643174640, +3.06, +29.113,  +0.03004, +1072.000, +176.000, +440.000
1643174760, +3.06, +29.203,  +0.03933, +1072.000, +176.000, +435.000
1643174880, +3.06, +29.276,  -0.02261, +1068.000, +179.000, +439.000
1643175000, +3.06, +29.325,  +0.01146, +1073.000, +176.000, +432.000
1643175120, +3.06, +29.373,  -0.05976, +1072.000, +172.000, +440.000
1643175240, +3.06, +29.390,  -0.10312, +1072.000, +179.000, +429.000
1643175360, +3.06, +29.430,  +0.01146, +1072.000, +176.000, +425.000
1643175480, +3.06, +29.471,  -0.14337, +1072.000, +179.000, +428.000
1643175600, +3.06, +29.495,  +0.07649, +1072.000, +176.000, +424.000
1643175720, +3.06, +29.511,  -0.04118, +1070.000, +176.000, +430.000
1643175840, +3.06, +29.520,  +0.02075, +1072.000, +176.000, +433.000
1643175960, +3.06, +29.544,  -0.05047, +1072.000, +182.000, +428.000
1643176080, +3.06, +29.552,  -0.08763, +1072.000, +176.000, +425.000
1643176200, +3.06, +29.560,  +0.08268, +1072.000, +176.000, +423.000
1643176320, +3.06, +29.552,  -0.01022, +1072.000, +178.000, +428.000
1643176440, +3.06, +29.576,  -0.09383, +1072.000, +192.000, +412.000
1643176560, +3.06, +29.576,  +0.00836, +1072.000, +184.000, +416.000
1643176680, +3.06, +29.576,  -0.03189, +1072.000, +180.000, +424.000
1643176800, +3.06, +29.568,  -0.07215, +1072.000, +176.000, +446.000
1643176920, +3.06, +29.536,  +0.01455, +1072.000, +176.000, +433.000
1643177040, +3.06, +29.544,  -0.09073, +1072.000, +180.000, +430.000
1643177160, +3.06, +29.528,  +0.00526, +1072.000, +176.000, +428.000
1643177280, +3.06, +29.511,  -0.14028, +1072.000, +180.000, +424.000
1643177400, +3.06, +29.495,  -0.03499, +1072.000, +176.000, +425.000
1643177520, +3.06, +29.495,  -0.02261, +1072.000, +176.000, +427.000
1643177640, +3.06, +29.471,  -0.11550, +1072.000, +188.000, +416.000
1643177760, +3.06, +29.463,  -0.08454, +1072.000, +178.000, +428.000
1643177880, +3.06, +29.438,  +0.00836, +1072.000, +182.000, +425.000
1643178000, +3.06, +29.438,  -0.04118, +1072.000, +176.000, +439.000
1643178120, +3.06, +29.422,  -0.04118, +1073.000, +176.000, +428.000
1643178240, +3.06, +29.422,  -0.10002, +1070.000, +184.000, +430.000
1643178360, +3.06, +29.390,  +0.01455, +1072.000, +176.000, +435.000
1643178480, +3.06, +29.398,  +0.00836, +1072.000, +179.000, +428.000
1643178600, +3.06, +29.382,  -0.02261, +1072.000, +176.000, +432.000
1643178720, +3.06, +29.357,  -0.07525, +1072.000, +176.000, +432.000
1643178840, +3.06, +29.333,  -0.00403, +1072.000, +176.000, +432.000
1643178960, +3.06, +29.292,  +0.02694, +1072.000, +176.000, +439.000
1643179080, +3.06, +29.268,  +0.02694, +1072.000, +176.000, +444.000
1643179200, +3.06, +29.260,  -0.05047, +1070.000, +176.000, +444.000
1643179320, +3.06, +29.243,  -0.06286, +1072.000, +168.000, +447.000
1643179440, +3.06, +29.203,  -0.06286, +1072.000, +174.000, +440.000
1643179560, +3.06, +29.194,  +0.02694, +1068.000, +161.000, +447.000
1643179680, +3.06, +29.146,  -0.13099, +1072.000, +167.000, +448.000
1643179800, +3.06, +29.137,  -0.15266, +1070.000, +163.000, +447.000
1643179920, +3.06, +29.121,  -0.05047, +1072.000, +172.000, +447.000
1643180040, +3.06, +29.146,  -0.01641, +1072.000, +176.000, +444.000
1643180160, +3.06, +29.137,  -0.05667, +1072.000, +172.000, +447.000
1643180280, +3.06, +29.137,  +0.03313, +1072.000, +166.000, +447.000
1643180400, +3.06, +29.154,  +0.04242, +1070.000, +162.000, +455.000
1643180520, +3.06, +29.194,  -0.04738, +1072.000, +168.000, +447.000
1643180640, +3.06, +29.211,  -0.00712, +1048.000, +78.000, +551.000
1643180760, +3.06, +29.235,  -0.01022, +1048.000, +79.000, +545.000
1643180880, +3.06, +29.243,  -0.05357, +1048.000, +79.000, +551.000
1643181000, +3.06, +29.260,  -0.01951, +1048.000, +66.000, +556.000
1643181120, +3.06, +29.276,  -0.04428, +1051.000, +76.000, +544.000
1643181240, +3.06, +29.308,  -0.11550, +1048.000, +80.000, +551.000
1643181360, +3.06, +29.308,  +0.00836, +1049.000, +80.000, +540.000
1643181480, +3.06, +29.325,  -0.10621, +1048.000, +79.000, +544.000
1643181600, +3.06, +29.333,  -0.04738, +1048.000, +79.000, +551.000
1643181720, +3.06, +29.325,  -0.10621, +1048.000, +78.000, +551.000
1643181840, +3.06, +29.325,  -0.04738, +1048.000, +76.000, +547.000
1643181960, +3.06, +29.333,  -0.10931, +1048.000, +72.000, +559.000
1643182080, +3.06, +29.325,  -0.01022, +1048.000, +81.000, +540.000
1643182200, +3.06, +29.325,  +0.02384, +1046.000, +79.000, +543.000
1643182320, +3.06, +29.308,  -0.03189, +1048.000, +76.000, +555.000
1643182440, +3.06, +29.284,  +0.03623, +1048.000, +72.000, +561.000
1643182560, +3.06, +29.300,  -0.08144, +1048.000, +78.000, +555.000
1643182680, +3.06, +29.268,  -0.19601, +1048.000, +76.000, +556.000
1643182800, +3.06, +29.260,  -0.07834, +1047.000, +64.000, +561.000
1643182920, +3.06, +29.235,  -0.09692, +1048.000, +72.000, +559.000
1643183040, +3.06, +29.235,  -0.06596, +1048.000, +70.000, +559.000
1643183160, +3.06, +29.219,  -0.02570, +1048.000, +79.000, +551.000
1643183280, +3.06, +29.194,  -0.00093, +1048.000, +73.000, +545.000
1643183400, +3.06, +29.170,  -0.07215, +1048.000, +78.000, +547.000
1643183520, +3.06, +29.137,  -0.07215, +1048.000, +64.000, +560.000
1643183640, +3.06, +29.089,  -0.11241, +1048.000, +68.000, +563.000
1643183760, +3.06, +29.032,  +0.02384, +1051.000, +68.000, +567.000
1643183880, +3.06, +29.023,  -0.01951, +1048.000, +64.000, +563.000
1643184000, +3.06, +28.958,  -0.06905, +1049.000, +65.000, +569.000
1643184120, +3.06, +28.958,  -0.04118, +1048.000, +70.000, +561.000
1643184240, +3.06, +28.909,  +0.00526, +1049.000, +72.000, +559.000
1643184360, +3.06, +28.926,  -0.09692, +1048.000, +67.000, +563.000
1643184480, +3.06, +28.893,  -0.10931, +944.000, +72.000, +655.000
1643184600, +3.06, +28.909,  -0.05976, +947.000, +71.000, +655.000
1643184720, +3.06, +28.885,  +0.02075, +944.000, +71.000, +655.000
1643184840, +3.06, +28.877,  -0.07525, +947.000, +72.000, +655.000
1643184960, +3.06, +28.860,  -0.06905, +944.000, +72.000, +654.000
1643185080, +3.06, +28.852,  -0.02261, +944.000, +73.000, +652.000
1643185200, +3.06, +28.828,  -0.02570, +947.000, +71.000, +655.000
1643185320, +3.06, +28.811,  -0.02880, +944.000, +73.000, +655.000
1643185440, +3.06, +28.787,  +0.02694, +1048.000, +71.000, +567.000
1643185560, +3.06, +28.803,  -0.07215, +947.000, +71.000, +654.000
1643185680, +3.06, +28.803,  -0.07834, +1048.000, +64.000, +569.000
1643185800, +3.06, +28.811,  -0.09073, +945.000, +71.000, +654.000
1643185920, +3.06, +28.803,  -0.12789, +1048.000, +64.000, +561.000
1643186040, +3.06, +28.836,  -0.01641, +1048.000, +70.000, +563.000
1643186160, +3.06, +28.819,  +0.00526, +945.000, +71.000, +655.000
1643186280, +3.06, +28.844,  +0.08578, +945.000, +71.000, +655.000
1643186400, +3.06, +28.828,  -0.09073, +1048.000, +63.000, +563.000
1643186520, +3.06, +28.828,  +0.04552, +945.000, +71.000, +655.000
